1,1
2,3
3,4
3,8
4,3
5,8
6,1
7,2
8,3
9,2
10,1
11,5
12,9
13,1
13,7
14,8
15,1
15,5
16,7
17,8
18,1
18,2
19,5
20,7
21,8
22,7
23,5
24,4
25,7
26,7
27,4
28,9
29,5
29,8
30,2
31,7
32,7
33,8
34,2
34,3
34,7
34,8
35,4
36,1
36,2
36,3
36,4
36,6
36,7
36,8
37,2
37,7
37,8
38,6
39,1
40,7
41,4
42,2
42,3
42,6
42,7
42,8
43,9
44,7
45,7
46,7
47,4
48,7
49,7
50,1
51,1
51,3
52,7
53,8
54,7
54,8
55,7
56,2
56,4
56,5
56,6
57,8
58,4
59,7
60,3
61,8
62,7
63,7
64,7
65,1
66,2
66,5
66,7
66,9
67,7
68,7
69,8
70,5
70,7
71,7
72,7
73,4
73,5
73,7
74,2
75,1
76,8
77,7
77,9
78,4
78,7
79,7
80,5
81,1
81,2
81,3
81,5
81,8
82,7
83,1
84,7
85,8
86,2
86,7
86,8
87,2
87,3
87,5
87,6
88,2
89,7
90,8
91,1
91,2
91,3
91,5
91,7
91,8
92,7
93,2
94,8
95,8
96,7
96,8
97,1
97,6
98,7
99,1
100,7
101,4
102,9
103,7
104,1
104,6
105,7
106,7
107,7
108,4
109,1
110,4
110,7
110,8
111,2
111,5
112,8
113,1
114,2
114,3
114,5
115,7
116,8
117,2
117,5
118,7
119,7
120,5
121,8
122,7
123,5
124,1
125,4
126,3
126,4
127,2
127,4
127,7
128,2
128,7
129,7
130,1
131,2
131,5
132,5
133,2
133,4
133,5
134,7
135,7
136,3
136,7
136,9
137,3
137,7
138,7
139,3
139,4
139,7
139,9
140,7
141,1
141,2
141,6
142,4
143,2
144,7
145,7
146,5
147,8
148,1
149,8
150,7
151,2
151,7
152,2
152,4
153,5
153,7
154,7
155,1
156,5
157,5
158,5
159,4
160,7
161,8
162,4
163,1
163,7
164,3
164,7
165,2
166,8
167,7
168,4
169,5
170,2
171,7
172,7
173,7
174,1
175,1
176,7
177,8
178,7
179,2
180,5
180,8
181,7
182,8
183,7
184,9
185,1
186,1
187,1
188,7
189,3
190,7
191,1
191,2
191,5
191,7
191,8
192,9
193,7
194,2
195,7
196,7
197,1
197,5
198,7
199,2
199,4
199,5
200,7
201,5
202,3
203,7
204,1
