200 cigarettes takes place on new year's eve 1981 . 	Translation	Positive	Negative	EmotionRationale
monica , played by martha plimpton is having a huge new year's party . 	monica , played by martha plimpton is having a huge new year's party .	1	-1	 monica[0] played[0] by[0] martha[0] plimpton[0] is[0] having[0] a[0] huge[0] new[0] year's[0] party[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone in town is trying to get there , but some are caught up in other things . 	everyone in town is trying to get there , but some are caught up in other things .	1	-1	 everyone[0] in[0] town[0] is[0] trying[0] to[0] get[0] there[0] but[0] some[0] are[0] caught[0] up[0] in[0] other[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the basic plot of 200 cigarettes . 	this is the basic plot of 200 cigarettes .	1	-1	 this[0] is[0] the[0] basic[0] plot[0] of[0] 200[0] cigarettes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as we meet the characters headed towards the party , we are sent into many subplots which are unoriginal , and not interesting at all . 	as we meet the characters headed towards the party , we are sent into many subplots which are unoriginal , and not interesting at all .	1	-2	 as[0] we[0] meet[0] the[0] characters[0] headed[0] towards[0] the[0] party[0] we[0] are[0] sent[0] into[0] many[0] subplots[0] which[0] are[0] unoriginal[0] and[0] not[0] interesting[1][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this disappointed me greatly . 	this disappointed me greatly .	3	-2	 this[0] disappointed[-1] me[0] greatly[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film should have been more about the party than the people trying to get there in my opinion . 	the film should have been more about the party than the people trying to get there in my opinion .	1	-1	 the[0] film[0] should[0] have[0] been[0] more[0] about[0] the[0] party[0] than[0] the[0] people[0] trying[0] to[0] get[0] there[0] in[0] my[0] opinion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lucy , played by courtney love , is with kevin , played by paul rudd . 	lucy , played by courtney love , is with kevin , played by paul rudd .	3	-1	 lucy[0] played[0] by[0] courtney[0] love[2] is[0] with[0] kevin[0] played[0] by[0] paul[0] rudd[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the two are in a relationship that is more of a friendship , but starts to blossom into something more than that . 	the two are in a relationship that is more of a friendship , but starts to blossom into something more than that .	2	-1	 the[0] two[0] are[0] in[0] a[0] relationship[0] that[0] is[0] more[0] of[0] a[0] friendship[1] but[0] starts[0] to[0] blossom[0] into[0] something[0] more[0] than[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this subplot is extremely boring and dull , and i am getting quite sick of plots like that . 	this subplot is extremely boring and dull , and i am getting quite sick of plots like that .	2	-4	 this[0] subplot[0] is[0] extremely[0] boring[-1][-2 LastWordBoosterStrength] and[0] dull[-1] and[0] i[0] am[0] getting[0] quite[0] sick[-1] of[0] plots[0] like[1] that[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
janeane garofalo is involved in another subplot , dealing with kevin . 	janeane garofalo is involved in another subplot , dealing with kevin .	1	-1	 janeane[0] garofalo[0] is[0] involved[0] in[0] another[0] subplot[0] dealing[0] with[0] kevin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she plays ellie , an ex-girlfriend of kevin's . 	she plays ellie , an ex-girlfriend of kevin's .	2	-1	 she[0] plays[1] ellie[0] an[0] ex[0] girlfriend[0] of[0] kevin's[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this subplot is completely a waste of garofalo's talent . 	this subplot is completely a waste of garofalo's talent .	2	-2	 this[0] subplot[0] is[0] completely[0] a[0] waste[-1] of[0] garofalo's[0] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there was no point to it at all , and it was hardly even in the movie . 	there was no point to it at all , and it was hardly even in the movie .	1	-1	 there[0] was[0] no[0] point[0] to[0] it[0] at[0] all[0] and[0] it[0] was[0] hardly[0] even[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
