i have no real tangible proof of this , but i swear that there are a lot of producers in hollywood who adamantly believe that if you take a bad script , written by a bad writer and give the project it to an equally bad director , then it is actually possible to make a good movie . 	Translation	Positive	Negative	EmotionRationale
using their logic , all that really needs be done to change the bad movie into a good movie is cast a bunch of super-famous actors and provide an almost unlimited production budget . 	using their logic , all that really needs be done to change the bad movie into a good movie is cast a bunch of super-famous actors and provide an almost unlimited production budget .	3	-2	 using[0] their[0] logic[0] all[0] that[0] really[0] needs[0] be[0] done[0] to[0] change[0] the[0] bad[-1] movie[0] into[0] a[0] good[1] movie[0] is[0] cast[0] a[0] bunch[0] of[0] super[2] famous[0] actors[0] and[0] provide[0] an[0] almost[0] unlimited[0] production[0] budget[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is the only way i can fathom how 20th century fox hired jon amiel in order to direct this eighty million dollar waste of my time ( not counting the time it took me to get to and from the theatre ) . 	this is the only way i can fathom how 20th century fox hired jon amiel in order to direct this eighty million dollar waste of my time ( not counting the time it took me to get to and from the theatre ) .	1	-2	 this[0] is[0] the[0] only[0] way[0] i[0] can[0] fathom[0] how[0] 20th[0] century[0] fox[0] hired[0] jon[0] amiel[0] in[0] order[0] to[0] direct[0] this[0] eighty[0] million[0] dollar[0] waste[-1] of[0] my[0] time[0] not[0] counting[0] the[0] time[0] it[0] took[0] me[0] to[0] get[0] to[0] and[0] from[0] the[0] theatre[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now , before i continue to ferociously attack what's wrong with this film , i just want to point out that one of the reasons it fails so miserably is because it does have the potential to be an exciting thriller . 	now , before i continue to ferociously attack what's wrong with this film , i just want to point out that one of the reasons it fails so miserably is because it does have the potential to be an exciting thriller .	3	-4	 now[0] before[0] i[0] continue[0] to[0] ferociously[-3] attack[-2][-1 MultiplePositiveWords] what's[0] wrong[-1] with[0] this[0] film[0] i[0] just[0] want[0] to[0] point[0] out[0] that[0] one[0] of[0] the[0] reasons[0] it[0] fails[-2] so[0] miserably[-2] is[0] because[0] it[0] does[0] have[0] the[0] potential[0] to[0] be[0] an[0] exciting[2] thriller[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
catherine zeta-jones plays virginia baker , an insurance investigator tracking down an infamous art thief named robert macdougal ( sean connery ) . 	catherine zeta-jones plays virginia baker , an insurance investigator tracking down an infamous art thief named robert macdougal ( sean connery ) .	2	-2	 catherine[0] zeta[0] jones[0] plays[1] virginia[0] baker[0] an[0] insurance[0] investigator[0] tracking[0] down[0] an[0] infamous[-1] art[0] thief[-1] named[0] robert[0] macdougal[0] sean[0] connery[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you've ever seen any hollywood blockbuster before , i really don't have to spend too much time on frivolous plot details : the two team up for various jobs , stealing various things for various purposes . 	if you've ever seen any hollywood blockbuster before , i really don't have to spend too much time on frivolous plot details : the two team up for various jobs , stealing various things for various purposes .	1	-3	 if[0] you've[0] ever[0] seen[0] any[0] hollywood[0] blockbuster[-1] before[0] i[0] really[0] don't[0] have[0] to[0] spend[0] too[0] much[0] time[0] on[0] frivolous[-1] plot[0] details[0] the[0] two[0] team[0] up[0] for[0] various[0] jobs[0] stealing[-2] various[0] things[0] for[0] various[0] purposes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the problem we come to is that we've all seen this a few billion times before and this film doesn't break any new ground in the big-budget/hollywood/action genre . 	the problem we come to is that we've all seen this a few billion times before and this film doesn't break any new ground in the big-budget/hollywood/action genre .	1	-2	 the[0] problem[-1] we[0] come[0] to[0] is[0] that[0] we've[0] all[0] seen[0] this[0] a[0] few[0] billion[0] times[0] before[0] and[0] this[0] film[0] doesn't[0] break[0] any[0] new[0] ground[0] in[0] the[0] big[0] budget/hollywood/action[0] genre[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result is that the entire production feels contrived . 	the result is that the entire production feels contrived .	1	-1	 the[0] result[0] is[0] that[0] the[0] entire[0] production[0] feels[0] contrived[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm going to be completely honest here : pretty much the only thing keeping me awake throughout the run-time was looking at catherine zeta-jones . 	i'm going to be completely honest here : pretty much the only thing keeping me awake throughout the run-time was looking at catherine zeta-jones .	3	-1	 i'm[0] going[0] to[0] be[0] completely[0] honest[0] here[0] pretty[2] much[0] the[0] only[0] thing[0] keeping[0] me[0] awake[0] throughout[0] the[0] run[0] time[0] was[0] looking[0] at[0] catherine[0] zeta[0] jones[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now while this may be a compliment for ms . zeta-jones , it certainly isn't for either the writers or the director , who are not nearly as clever as they think they are . 	now while this may be a compliment for ms .<br> zeta-jones , it certainly isn't for either the writers or the director , who are not nearly as clever as they think they are .	2	-1	 now[0] while[0] this[0] may[0] be[0] a[0] compliment[1] for[0] ms[0] [[Sentence=-1,2=word max, 1-5]] zeta[0] jones[0] it[0] certainly[0] isn't[0] for[0] either[0] the[0] writers[0] or[0] the[0] director[0] who[0] are[0] not[0] nearly[0] as[0] clever[0] as[0] they[0] think[0] they[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
just about the most profound thought they can inject into this film is when they have macdougal lecture baker on the semantic difference between " entrapment " and " blackmail " . 	just about the most profound thought they can inject into this film is when they have macdougal lecture baker on the semantic difference between " entrapment " and " blackmail " .	1	-3	 just[0] about[0] the[0] most[0] profound[0] thought[0] they[0] can[0] inject[0] into[0] this[0] film[0] is[0] when[0] they[0] have[0] macdougal[0] lecture[0] baker[0] on[0] the[0] semantic[0] difference[0] between[0] entrapment[0] and[0] blackmail[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with an eighty million dollar budget , you'd think that entrapment would at least feature edge-of-your seat action scenes or breathtaking special f/x . 	with an eighty million dollar budget , you'd think that entrapment would at least feature edge-of-your seat action scenes or breathtaking special f/x .	2	-1	 with[0] an[0] eighty[0] million[0] dollar[0] budget[0] you'd[0] think[0] that[0] entrapment[0] would[0] at[0] least[0] feature[0] edge[0] of[0] your[0] seat[0] action[0] scenes[0] or[0] breathtaking[0] special[1] f/x[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , you'd be wrong . 	well , you'd be wrong .	1	-2	 well[0] you'd[0] be[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the action that is present in this film takes place in a huge skyscraper and is relatively unspectacular . 	the action that is present in this film takes place in a huge skyscraper and is relatively unspectacular .	1	-1	 the[0] action[0] that[0] is[0] present[0] in[0] this[0] film[0] takes[0] place[0] in[0] a[0] huge[0] skyscraper[0] and[0] is[0] relatively[0] unspectacular[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately for all those involved with entrapment , die hard narrowly beat it to the screen by ? 11 years . 	unfortunately for all those involved with entrapment , die hard narrowly beat it to the screen by ?<br> 11 years .	1	-2	 unfortunately[-1] for[0] all[0] those[0] involved[0] with[0] entrapment[0] die[0] hard[0] narrowly[0] beat[0] it[0] to[0] the[0] screen[0] by[0] [[Sentence=-2,1=word max, 1-5]] 11[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the reality is that after 15 minutes of watching this picture , you know exactly what's going to happen , despite rather pathetic attempts in the screenplay to throw in plot twists . 	the reality is that after 15 minutes of watching this picture , you know exactly what's going to happen , despite rather pathetic attempts in the screenplay to throw in plot twists .	1	-3	 the[0] reality[0] is[0] that[0] after[0] 15[0] minutes[0] of[0] watching[0] this[0] picture[0] you[0] know[0] exactly[0] what's[0] going[0] to[0] happen[0] despite[0] rather[0] pathetic[-2] attempts[0] in[0] the[0] screenplay[0] to[0] throw[0] in[0] plot[0] twists[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
many scenes seem to exist merely as a reason to outfit zeta-jones in extremely tight-fitting clothing . 	many scenes seem to exist merely as a reason to outfit zeta-jones in extremely tight-fitting clothing .	1	-1	 many[0] scenes[0] seem[0] to[0] exist[0] merely[0] as[0] a[0] reason[0] to[0] outfit[0] zeta[0] jones[0] in[0] extremely[0] tight[0] fitting[0] clothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one particular scene features baker crawling around trying to avoid laser-beams while she tries to steal an ancient chinese mask . 	one particular scene features baker crawling around trying to avoid laser-beams while she tries to steal an ancient chinese mask .	1	-3	 one[0] particular[0] scene[0] features[0] baker[0] crawling[0] around[0] trying[0] to[0] avoid[-1] laser[0] beams[0] while[0] she[0] tries[0] to[0] steal[-2] an[0] ancient[0] chinese[0] mask[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nothing wrong with that , but she entered the room from the floor and knew exactly where the mask was - so why didn't she and macdougal tunnel in directly under the mask instead of the other side of the room ? 	nothing wrong with that , but she entered the room from the floor and knew exactly where the mask was - so why didn't she and macdougal tunnel in directly under the mask instead of the other side of the room ?	1	-2	 nothing[0] wrong[-1] with[0] that[0] but[0] she[0] entered[0] the[0] room[0] from[0] the[0] floor[0] and[0] knew[0] exactly[0] where[0] the[0] mask[0] was[0] so[0] why[0] didn't[0] she[0] and[0] macdougal[0] tunnel[0] in[0] directly[0] under[0] the[0] mask[0] instead[0] of[0] the[0] other[0] side[0] of[0] the[0] room[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'll tell you why : because it's a great excuse to photograph zeta-jones' posterior as it slides underneath those beams ( and it also allows a second scene of the exact same thing - the rehearsal ) . 	i'll tell you why : because it's a great excuse to photograph zeta-jones' posterior as it slides underneath those beams ( and it also allows a second scene of the exact same thing - the rehearsal ) .	3	-1	 i'll[0] tell[0] you[0] why[0] because[0] it's[0] a[0] great[2] excuse[0] to[0] photograph[0] zeta[0] jones'[0] posterior[0] as[0] it[0] slides[0] underneath[0] those[0] beams[0] and[0] it[0] also[0] allows[0] a[0] second[0] scene[0] of[0] the[0] exact[0] same[0] thing[0] the[0] rehearsal[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
