wolfgang petersen's latest , the perfect storm , is like a pineapple . 	Translation	Positive	Negative	EmotionRationale
it only tastes good after arduous peeling and digging - if you try to eat the fruit , spikes and all , it's going to hurt ? quite a bit . 	it only tastes good after arduous peeling and digging - if you try to eat the fruit , spikes and all , it's going to hurt ?<br> quite a bit .	2	-3	 it[0] only[0] tastes[0] good[1] after[0] arduous[-1] peeling[0] and[0] digging[0] if[0] you[0] try[0] to[0] eat[0] the[0] fruit[0] spikes[0] and[0] all[0] it's[0] going[0] to[0] hurt[-2] [[Sentence=-3,2=word max, 1-5]] quite[0] a[0] bit[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
ok , maybe that was a confusing analogy , so here's my main complaint about the latest man battles nature flick : there isn't really much of a story to tell . 	ok , maybe that was a confusing analogy , so here's my main complaint about the latest man battles nature flick : there isn't really much of a story to tell .	1	-2	 ok[0] maybe[0] that[0] was[0] a[0] confusing[-1] analogy[0] so[0] here's[0] my[0] main[0] complaint[-1] about[0] the[0] latest[0] man[0] battles[-1] nature[0] flick[0] there[0] isn't[0] really[0] much[0] of[0] a[0] story[0] to[0] tell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
basically , a massachusetts fishing crew goes out to sea on a small boat , called the andrea gail , and gets stuck in the middle of " the storm of the century . " 	basically , a massachusetts fishing crew goes out to sea on a small boat , called the andrea gail , and gets stuck in the middle of " the storm of the century .<br> "	1	-2	 basically[0] a[0] massachusetts[0] fishing[0] crew[0] goes[0] out[0] to[0] sea[0] on[0] a[0] small[0] boat[0] called[0] the[0] andrea[0] gail[0] and[0] gets[0] stuck[0] in[0] the[0] middle[0] of[0] the[0] storm[-1] of[0] the[0] century[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how much time does it take for petersen to tell this story ? 	how much time does it take for petersen to tell this story ?	1	-1	 how[0] much[0] time[0] does[0] it[0] take[0] for[0] petersen[0] to[0] tell[0] this[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not nearly enough . 	not nearly enough .	1	-1	 not[0] nearly[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so he spends the majority of the film developing pointless side stories which all eventually become superfluous . 	so he spends the majority of the film developing pointless side stories which all eventually become superfluous .	1	-2	 so[0] he[0] spends[0] the[0] majority[0] of[0] the[0] film[0] developing[0] pointless[-1] side[0] stories[0] which[0] all[0] eventually[0] become[0] superfluous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
audiences want to see the storm , they want to see a fight for survival but what they get is a lot of cliched , maudlin drivel . 	audiences want to see the storm , they want to see a fight for survival but what they get is a lot of cliched , maudlin drivel .	1	-3	 audiences[0] want[0] to[0] see[0] the[0] storm[-1] they[0] want[0] to[0] see[0] a[0] fight[-2] for[0] survival[0] but[0] what[0] they[0] get[0] is[0] a[0] lot[0] of[0] cliched[0] maudlin[0] drivel[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the last quarter of the perfect storm is utterly perfect in every aspect , but just try lasting the first three-quarters . 	the last quarter of the perfect storm is utterly perfect in every aspect , but just try lasting the first three-quarters .	2	-2	 the[0] last[0] quarter[0] of[0] the[0] perfect[1] storm[-1] is[0] utterly[0] perfect[1] in[0] every[0] aspect[0] but[0] just[0] try[0] lasting[0] the[0] first[0] three[0] quarters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i have yet to read sebastian junger's the perfect storm , but from what i have heard it is an unforgettable tale . 	i have yet to read sebastian junger's the perfect storm , but from what i have heard it is an unforgettable tale .	2	-2	 i[0] have[0] yet[0] to[0] read[0] sebastian[0] junger's[0] the[0] perfect[1] storm[-1] but[0] from[0] what[0] i[0] have[0] heard[0] it[0] is[0] an[0] unforgettable[0] tale[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
based on a true story , the book must have found some other way to introduce the characters because in the movie version , the approach is weak . 	based on a true story , the book must have found some other way to introduce the characters because in the movie version , the approach is weak .	2	-2	 based[0] on[0] a[0] true[1] story[0] the[0] book[0] must[0] have[0] found[0] some[0] other[0] way[0] to[0] introduce[0] the[0] characters[0] because[0] in[0] the[0] movie[0] version[0] the[0] approach[0] is[0] weak[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
