it seems like i'm reviewing cheeseball horror movies on a monthly basis now . 	Translation	Positive	Negative	EmotionRationale
scream revitalized a genre the studios are now intent on burying into the ground again-the serial killers in these new slasher movies have nothing on sony and miramax in the " relentless " department . 	scream revitalized a genre the studios are now intent on burying into the ground again-the serial killers in these new slasher movies have nothing on sony and miramax in the " relentless " department .	1	-4	 scream[-3] revitalized[0] a[0] genre[0] the[0] studios[0] are[0] now[0] intent[0] on[0] burying[0] into[0] the[0] ground[0] again[0] the[0] serial[0] killers[0] in[0] these[0] new[0] slasher[-1] movies[0] have[0] nothing[0] on[0] sony[0] and[0] miramax[0] in[0] the[0] relentless[0] department[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i still know what you did last summer is a terrible film in many respects , but in the wake of the stupefyingly bad urban legend , it's citizen hook . 	i still know what you did last summer is a terrible film in many respects , but in the wake of the stupefyingly bad urban legend , it's citizen hook .	3	-4	 i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] is[0] a[0] terrible[-3] film[0] in[0] many[0] respects[2] but[0] in[0] the[0] wake[0] of[0] the[0] stupefyingly[0] bad[-1] urban[0] legend[0] it's[0] citizen[0] hook[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
jennifer love-hewitt reprises her role as buxom teenager julie james-who apparently escaped certain doom at the end of the last movie by . . . waking 	jennifer love-hewitt reprises her role as buxom teenager julie james-who apparently escaped certain doom at the end of the last movie by .<br> .<br> .<br> waking	3	-2	 jennifer[0] love[2] hewitt[0] reprises[0] her[0] role[0] as[0] buxom[0] teenager[0] julie[0] james[0] who[0] apparently[0] escaped[0] certain[0] doom[-1] at[0] the[0] end[0] of[0] the[0] last[0] movie[0] by[0] [[Sentence=-2,3=word max, 1-5]] waking[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
up . 	up .	1	-1	 up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she lives in fear of ben willis , the vengeful fisherman-victim of a hit and run by julie and her pals . 	she lives in fear of ben willis , the vengeful fisherman-victim of a hit and run by julie and her pals .	1	-4	 she[0] lives[0] in[0] fear[-3] of[0] ben[0] willis[0] the[0] vengeful[0] fisherman[0] victim[-2] of[0] a[0] hit[0] and[0] run[0] by[0] julie[0] and[0] her[0] pals[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
paranoid and beat , she accepts a free trip to the bahamas from her friend karla ( norwood ) , winner of the local radio station's 4th of july getaway giveaway . 	paranoid and beat , she accepts a free trip to the bahamas from her friend karla ( norwood ) , winner of the local radio station's 4th of july getaway giveaway .	2	-3	 paranoid[-2] and[0] beat[0] she[0] accepts[0] a[0] free[0] trip[0] to[0] the[0] bahamas[0] from[0] her[0] friend[1] karla[0] norwood[0] winner[1] of[0] the[0] local[0] radio[0] station's[0] 4th[0] of[0] july[0] getaway[0] giveaway[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
bikini-ready julie invites boyfriend ray ( prinze , jr . ) , who-and here's the movie's biggest mystery-turns her down , but changes his mind and plans to surprise her before take-off . 	bikini-ready julie invites boyfriend ray ( prinze , jr .<br> ) , who-and here's the movie's biggest mystery-turns her down , but changes his mind and plans to surprise her before take-off .	1	-1	 bikini[0] ready[0] julie[0] invites[0] boyfriend[0] ray[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] who[0] and[0] here's[0] the[0] movie's[0] biggest[0] mystery[0] turns[0] her[0] down[0] but[0] changes[0] his[0] mind[0] and[0] plans[0] to[0] surprise[0] her[0] before[0] take[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
until he gets a roadside visit from captain hell-liner himself , that is . 	until he gets a roadside visit from captain hell-liner himself , that is .	1	-2	 until[0] he[0] gets[0] a[0] roadside[0] visit[0] from[0] captain[0] hell[-1] liner[0] himself[0] that[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unaware of this and feeling shunned , julie goes on vacation , anyway , with karla , karla's boyfriend ( pfeiffer ) , and will ( matthew settle ) , a real boy-next-door type who's sweet on julie . 	unaware of this and feeling shunned , julie goes on vacation , anyway , with karla , karla's boyfriend ( pfeiffer ) , and will ( matthew settle ) , a real boy-next-door type who's sweet on julie .	2	-2	 unaware[0] of[0] this[0] and[0] feeling[0] shunned[-1] julie[0] goes[0] on[0] vacation[0] anyway[0] with[0] karla[0] karla's[0] boyfriend[0] pfeiffer[0] and[0] will[0] matthew[0] settle[0] a[0] real[0] boy[0] next[0] door[0] type[0] who's[0] sweet[1] on[0] julie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to make a long story short-i can't believe it took a paragraph to describe the set-up for this gratuitous sequel-the trip is a disaster . 	to make a long story short-i can't believe it took a paragraph to describe the set-up for this gratuitous sequel-the trip is a disaster .	1	-2	 to[0] make[0] a[0] long[0] story[0] short[0] i[0] can't[0] believe[0] it[0] took[0] a[0] paragraph[0] to[0] describe[0] the[0] set[0] up[0] for[0] this[0] gratuitous[-1] sequel[0] the[0] trip[0] is[0] a[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
