some movies' pre-release buzz is so insistent on their high oscar potential that when they're finally released , everyone just goes along with it . 	Translation	Positive	Negative	EmotionRationale
thus sometimes , films unworthy of any award sans the razzie become oscar hopefuls and some even score nominations . 	thus sometimes , films unworthy of any award sans the razie become oscar hopefuls and some even score nominations .	1	-2	 thus[0] sometimes[0] films[0] unworthy[-1] of[0] any[0] award[0] sans[0] the[0] razzie/razie[0] become[0] oscar[0] hopefuls[0] and[0] some[0] even[0] score[0] nominations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
last year it was the thin red line . 	last year it was the thin red line .	1	-1	 last[0] year[0] it[0] was[0] the[0] thin[0] red[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this year's " winner " is the hurricane , pure unadulterated tripe that is all of a sudden being received with critical plaudits and votes in the office oscar pool . 	this year's " winner " is the hurricane , pure unadulterated tripe that is all of a sudden being received with critical plaudits and votes in the office oscar pool .	2	-2	 this[0] year's[0] winner[1] is[0] the[0] hurricane[0] pure[0] unadulterated[0] tripe[0] that[0] is[0] all[0] of[0] a[0] sudden[0] being[0] received[0] with[0] critical[-1] plaudits[0] and[0] votes[0] in[0] the[0] office[0] oscar[0] pool[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
acclaimed director norman jewison's biopic retreads all the conventions of courtroom movies without any of the fun . 	acclaimed director norman jewison's biopic retreads all the conventions of courtroom movies without any of the fun .	2	-1	 acclaimed[0] director[0] norman[0] jewison's[0] biopic[0] retreads[0] all[0] the[0] conventions[0] of[0] courtroom[0] movies[0] without[0] any[0] of[0] the[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and that's supposed to be ok because , see , it's a true story . 	and that's supposed to be ok because , see , it's a true story .	2	-1	 and[0] that's[0] supposed[0] to[0] be[0] ok[0] because[0] see[0] it's[0] a[0] true[1] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's about rubin " hurricane " carter ( denzel washington ) , a legendary african american prizefighted who is unjustly convicted of triple homicide with the help of a ghastly ( racist ! ) 	it's about rubin " hurricane " carter ( denzel washington ) , a legendary african american prizefighted who is unjustly convicted of triple homicide with the help of a ghastly ( racist !<br> )	3	-2	 it's[0] about[0] rubin[0] hurricane[0] carter[0] denzel[0] washington[0] a[0] legendary[0] african[0] american[0] prizefighted[2] who[0] is[0] unjustly[0] convicted[-1] of[0] triple[0] homicide[0] with[0] the[0] help[0] of[0] a[0] ghastly[-1] racist[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
detective ( dan hedaya ) who's had it in for the " big-shot " hurricane ever since he arrested him for stabbing a white man with a knife ( in self-defense but who cares , right ? ) 	detective ( dan hedaya ) who's had it in for the " big-shot " hurricane ever since he arrested him for stabbing a white man with a knife ( in self-defense but who cares , right ?<br> )	2	-2	 detective[0] dan[0] hedaya[0] who's[0] had[0] it[0] in[0] for[0] the[0] big[0] shot[-1] hurricane[0] ever[0] since[0] he[0] arrested[0] him[0] for[0] stabbing[-1] a[0] white[0] man[0] with[0] a[0] knife[-1] in[0] self[0] defense[0] but[0] who[0] cares[1] right[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when rubin was only ten . 	when rubin was only ten .	1	-1	 when[0] rubin[0] was[0] only[0] ten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is to serve three life sentences with no possibility of parole . 	he is to serve three life sentences with no possibility of parole .	1	-1	 he[0] is[0] to[0] serve[0] three[0] life[0] sentences[0] with[0] no[0] possibility[0] of[0] parole[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the film takes place when he is in his 15th year in prison . 	most of the film takes place when he is in his 15th year in prison .	1	-2	 most[0] of[0] the[0] film[0] takes[0] place[0] when[0] he[0] is[0] in[0] his[0] 15th[0] year[0] in[0] prison[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to the rescue -- lesra martin ( vicellous reon shannon ) and his team of wanna-be detectives . 	to the rescue - lesra martin ( vicellous reon shannon ) and his team of wanna-be detectives .	1	-1	 to[0] the[0] rescue[0] lesra[0] martin[0] vicellous[0] reon[0] shannon[0] and[0] his[0] team[0] of[0] wanna[0] be[0] detectives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lesra is an african american teenager taken in by three well-off canadian white people ( hanna , unger , schreiber ) to get an education . 	lesra is an african american teenager taken in by three well-off canadian white people ( hanna , unger , schreiber ) to get an education .	1	-1	 lesra[0] is[0] an[0] african[0] american[0] teenager[0] taken[0] in[0] by[0] three[0] well[0] off[0] canadian[0] white[0] people[0] hanna[0] unger[0] schreiber[0] to[0] get[0] an[0] education[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lesra and his buddies go to a book sale where lesra picks out his very first book -- " the sixteenth round , " rubin's autobiography . 	lesra and his buddies go to a book sale where lesra picks out his very first book - " the sixteenth round , " rubin's autobiography .	1	-1	 lesra[0] and[0] his[0] buddies[0] go[0] to[0] a[0] book[0] sale[0] where[0] lesra[0] picks[0] out[0] his[0] very[0] first[0] book[0] the[0] sixteenth[0] round[0] rubin's[0] autobiography[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
immediately thereafter , schreiber's character tells lesra " sometimes we don't pick the books we read , they pick us . " 	immediately thereafter , schreiber's character tells lesra " sometimes we don't pick the books we read , they pick us .<br> "	1	-1	 immediately[0] thereafter[0] schreiber's[0] character[0] tells[0] lesra[0] sometimes[0] we[0] don't[0] pick[0] the[0] books[0] we[0] read[0] they[0] pick[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hmmm . 	hm .	2	-1	 hmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after a few visits to the prison , they become convinced of rubin's innocence and launch their own full-scale investigation even though two juries have convicted him . 	after a few visits to the prison , they become convinced of rubin's innocence and launch their own full-scale investigation even though two juries have convicted him .	2	-2	 after[0] a[0] few[0] visits[0] to[0] the[0] prison[-1] they[0] become[0] convinced[0] of[0] rubin's[0] innocence[1] and[0] launch[0] their[0] own[0] full[0] scale[0] investigation[0] even[0] though[0] two[0] juries[0] have[0] convicted[-1] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they meticulously go through all the files and revisit all the old witnesses ( i wonder if any of them might be cranky old women who slam the door in their faces ? ) and in the course of their relentlessy tedious sleuthing uncover obvious evidence confirming the hurricane's innocence that was either ignored or never seeked out during the first two proceedings . 	they meticulously go through all the files and revisit all the old witnesses ( i wonder if any of them might be cranky old women who slam the door in their faces ?<br> ) and in the course of their relentlessy tedious sleuthing uncover obvious evidence confirming the hurricane's innocence that was either ignored or never seeked out during the first two proceedings .	2	-3	 they[0] meticulously[0] go[0] through[0] all[0] the[0] files[0] and[0] revisit[0] all[0] the[0] old[0] witnesses[0] i[0] wonder[0] if[0] any[0] of[0] them[0] might[0] be[0] cranky[-1] old[0] women[0] who[0] slam[-1] the[0] door[0] in[0] their[0] faces[0] [[Sentence=-2,1=word max, 1-5]] and[0] in[0] the[0] course[0] of[0] their[0] relentlessy[0] tedious[-2] sleuthing[0] uncover[0] obvious[0] evidence[0] confirming[0] the[0] hurricane's[0] innocence[1] that[0] was[0] either[0] ignored[0] or[0] never[0] seeked[0] out[0] during[0] the[0] first[0] two[0] proceedings[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of course , we're already told that he's innocent . 	of course , we're already told that he's innocent .	2	-1	 of[0] course[0] we're[0] already[0] told[0] that[0] he's[0] innocent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a movie like this is especially frustrating because we're not being shown everything significant that happened to carter during this period in his life . 	a movie like this is especially frustrating because we're not being shown everything significant that happened to carter during this period in his life .	2	-4	 a[0] movie[0] like[1] this[0] is[0] especially[0] frustrating[-2][-1 LastWordBoosterStrength] because[0] we're[0] not[0] being[0] shown[0] everything[0] significant[0] that[0] happened[0] to[0] carter[0] during[0] this[0] period[0] in[0] his[0] life[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
