don't get me wrong -- i tend to appreciate besson's naive , unashamedly romantic worldview , an artsy european sensibility gone thoroughly hollywood . 	Translation	Positive	Negative	EmotionRationale
his 1994 leon is exciting and absurdly moving , thanks mainly to the interplay between jean reno and a young natalie portman , and 1997's the fifth element is a goofy paean to love , l-u-v , that's even more of a hoot on repeated viewings . 	his 1994 leon is exciting and absurdly moving , thanks mainly to the interplay between jean reno and a young natalie portman , and 1997's the fifth element is a goofy paean to love , l-you-v , that's even more of a hoot on repeated viewings .	3	-2	 his[0] 1994[0] leon[0] is[0] exciting[2] and[0] absurdly[-1] moving[0] thanks[1] mainly[0] to[0] the[0] interplay[0] between[0] jean[0] reno[0] and[0] a[0] young[0] natalie[0] portman[0] and[0] 1997's[0] the[0] fifth[0] element[0] is[0] a[0] goofy[0] paean[0] to[0] love[2] l[0] u[0] v[0] that's[0] even[0] more[0] of[0] a[0] hoot[0] on[0] repeated[0] viewings[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but his joan of arc is a mess , despite some stirring battle scenes and the mostly knockout presence of a close-cropped milla jovovich as the maiden herself . 	but his joan of arc is a mess , despite some stirring battle scenes and the mostly knockout presence of a close-cropped milla jovovich as the maiden herself .	1	-2	 but[0] his[0] joan[0] of[0] arc[0] is[0] a[0] mess[0] despite[0] some[0] stirring[0] battle[-1] scenes[0] and[0] the[0] mostly[0] knockout[0] presence[0] of[0] a[0] close[0] cropped[0] milla[0] jovovich[0] as[0] the[0] maiden[0] herself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jovovich , besson's own personal muse through the making of his last two films ( though they've since separated ) , is magnetic and energetic enough to play a credible joan ( as long as you believe joan was not just a warrior , but also a fabulous , supermodel-level babe ) . 	jovovich , besson's own personal muse through the making of his last two films ( though they've since separated ) , is magnetic and energetic enough to play a credible joan ( as long as you believe joan was not just a warrior , but also a fabulous , supermodel-level babe ) .	3	-1	 jovovich[0] besson's[0] own[0] personal[0] muse[0] through[0] the[0] making[0] of[0] his[0] last[0] two[0] films[0] though[0] they've[0] since[0] separated[0] is[0] magnetic[0] and[0] energetic[0] enough[0] to[0] play[0] a[0] credible[0] joan[0] as[0] long[0] as[0] you[0] believe[0] joan[0] was[0] not[0] just[0] a[0] warrior[0] but[0] also[0] a[0] fabulous[2] supermodel[0] level[0] babe[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and besson remains a servicable action film director , though not an especially facile one . 	and besson remains a servicable action film director , though not an especially facile one .	1	-1	 and[0] besson[0] remains[0] a[0] servicable[0] action[0] film[0] director[0] though[0] not[0] an[0] especially[0] facile[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
leading her army against the seemingly impenetrable fortresses of the english , joan's struggle against great odds is undeniably stirring , and besson helps you understand how the french could believe , fervently , that god is on her side . 	leading her army against the seemingly impenetrable fortresses of the english , joan's struggle against great odds is undeniably stirring , and besson helps you understand how the french could believe , fervently , that god is on her side .	3	-2	 leading[0] her[0] army[0] against[-1] the[0] seemingly[0] impenetrable[0] fortresses[0] of[0] the[0] english[0] joan's[0] struggle[-1] against[-1] great[2] odds[0] is[0] undeniably[0] stirring[0] and[0] besson[0] helps[0] you[0] understand[0] how[0] the[0] french[0] could[0] believe[0] fervently[0] that[0] god[0] is[0] on[0] her[0] side[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
besson's big mistake , i think , is trying to dramatize the interior life of his subject . 	besson's big mistake , i think , is trying to dramatize the interior life of his subject .	1	-2	 besson's[0] big[0] mistake[-1] i[0] think[0] is[0] trying[0] to[0] dramatize[0] the[0] interior[0] life[0] of[0] his[0] subject[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , joan had visions -- but i guarantee that whatever image a sympathetic audience conjures in its collective mind will be more compelling than the blue-eyed christ figure on display in besson's hallucinatory dream sequences . 	yes , joan had visions - but i guarantee that whatever image a sympathetic audience conjures in its collective mind will be more compelling than the blue-eyed christ figure on display in besson's hallucinatory dream sequences .	1	-1	 yes[0] joan[0] had[0] visions[0] but[0] i[0] guarantee[0] that[0] whatever[0] image[0] a[0] sympathetic[0] audience[0] conjures[0] in[0] its[0] collective[0] mind[0] will[0] be[0] more[0] compelling[0] than[0] the[0] blue[0] eyed[0] christ[0] figure[0] on[0] display[0] in[0] besson's[0] hallucinatory[0] dream[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the whole conceit turns into a disaster right about the time dustin hoffman ( billed as " the conscience " ) shows up , spouting platitudes and sending poor milla running around her cell , babbling like ally mcbeal . 	the whole conceit turns into a disaster right about the time dustin hoffman ( billed as " the conscience " ) shows up , spouting platitudes and sending poor milla running around her cell , babbling like ally mcbeal .	2	-2	 the[0] whole[0] conceit[-1] turns[0] into[0] a[0] disaster[-1] right[0] about[0] the[0] time[0] dustin[0] hoffman[0] billed[0] as[0] the[0] conscience[0] shows[0] up[0] spouting[0] platitudes[0] and[0] sending[0] poor[-1] milla[0] running[0] around[0] her[0] cell[0] babbling[0] like[1] ally[0] mcbeal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's kind of a shame , since she does quite well up to that point , charging into battle with a banshee wail that suggests the eruption of a sublimated bloodthirstiness . 	that's kind of a shame , since she does quite well up to that point , charging into battle with a banshee wail that suggests the eruption of a sublimated bloodthirstiness .	2	-3	 that's[0] kind[1] of[0] a[0] shame[-2] since[0] she[0] does[0] quite[0] well[0] up[0] to[0] that[0] point[0] charging[0] into[0] battle[-1] with[0] a[0] banshee[0] wail[-1] that[0] suggests[0] the[0] eruption[0] of[0] a[0] sublimated[0] bloodthirstiness[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that darkly attractive aspect of her character -- that she's as likely a charismatic madwoman as the vessel of the lord -- is more or less betrayed by the final reels , in which the conscience browbeats her over the killing she's overseen and joan starts to look like little more than a very confused young lady who's about to take a fall . 	that darkly attractive aspect of her character - that she's as likely a charismatic madwoman as the vessel of the lord - is more or less betrayed by the final reels , in which the conscience browbeats her over the killing she's overseen and joan starts to look like little more than a very confused young lady who's about to take a fall .	2	-3	 that[0] darkly[0] attractive[1] aspect[0] of[0] her[0] character[0] that[0] she's[0] as[0] likely[0] a[0] charismatic[0] madwoman[0] as[0] the[0] vessel[0] of[0] the[0] lord[0] is[0] more[0] or[0] less[0] betrayed[-2] by[0] the[0] final[0] reels[0] in[0] which[0] the[0] conscience[0] browbeats[0] her[0] over[0] the[0] killing[-1] she's[0] overseen[0] and[0] joan[0] starts[0] to[0] look[0] like[1] little[0] more[0] than[0] a[0] very[0] confused[-1][-1 LastWordBoosterStrength] young[0] lady[0] who's[0] about[0] to[0] take[0] a[0] fall[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as the story winds down , with joan condemned to a horrible death by fire , besson is aiming for tragedy and psychological significance . 	as the story winds down , with joan condemned to a horrible death by fire , besson is aiming for tragedy and psychological significance .	1	-4	 as[0] the[0] story[0] winds[0] down[0] with[0] joan[0] condemned[-1] to[0] a[0] horrible[-3] death[-2][-1 MultiplePositiveWords] by[0] fire[0] besson[0] is[0] aiming[0] for[0] tragedy[-2] and[0] psychological[0] significance[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
trouble is , he's chosen a lurid , often jokey tone for the balance of the picture -- including some blithe cgi bloodshed in the battle scenes -- and it's impossible to shake the feeling that this particular vision of the middle ages is , to a great extent , nothing more than a put-on . 	trouble is , he's chosen a lurid , often jokey tone for the balance of the picture - including some blithe cgi bloodshed in the battle scenes - and it's impossible to shake the feeling that this particular vision of the middle ages is , to a great extent , nothing more than a put-on .	3	-2	 trouble[-1] is[0] he's[0] chosen[0] a[0] lurid[0] often[0] jokey[1] tone[0] for[0] the[0] balance[0] of[0] the[0] picture[0] including[0] some[0] blithe[0] cgi[0] bloodshed[-1] in[0] the[0] battle[-1] scenes[0] and[0] it's[0] impossible[0] to[0] shake[-1] the[0] feeling[0] that[0] this[0] particular[0] vision[0] of[0] the[0] middle[0] ages[0] is[0] to[0] a[0] great[2] extent[0] nothing[0] more[0] than[0] a[0] put[0] on[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this glib , pre-fab version of such a great story makes me all the more grateful for dreyer's the passion of joan of arc ( 1928 ) , a film whose dialogue is drawn from the actual transcripts of joan's trial , and which stands as one of the most harrowing experiences in all of cinema . 	this glib , pre-fab version of such a great story makes me all the more grateful for dreyer's the passion of joan of arc ( 1928 ) , a film whose dialogue is drawn from the actual transcripts of joan's trial , and which stands as one of the most harrowing experiences in all of cinema .	3	-1	 this[0] glib[0] pre[0] fab[2] version[0] of[0] such[0] a[0] great[2] story[0] makes[0] me[0] all[0] the[0] more[0] grateful[1] for[0] dreyer's[0] the[0] passion[2] of[0] joan[0] of[0] arc[0] 1928[0] a[0] film[0] whose[0] dialogue[0] is[0] drawn[0] from[0] the[0] actual[0] transcripts[0] of[0] joan's[0] trial[0] and[0] which[0] stands[0] as[0] one[0] of[0] the[0] most[0] harrowing[0] experiences[0] in[0] all[0] of[0] cinema[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
compared to that film , the messenger plays as a crime against history . 	compared to that film , the messenger plays as a crime against history .	2	-2	 compared[0] to[0] that[0] film[0] the[0] messenger[0] plays[1] as[0] a[0] crime[-1] against[-1] history[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
