note to screenwriters and self : when you hit the big time , and the studios come knocking for those scripts that are sitting in your bottom drawer , tell ? em all to hit the road . 	Translation	Positive	Negative	EmotionRationale
gilligan wrote the arbitrarily-titled home fries ten years ago ; it was shelved until he found success as one of " the took a second look at gilligan's " comedy " - they read it again wearing rose-tinted glasses . 	gilligan wrote the arbitrarily-titled home fries ten years ago ; it was shelved until he found success as one of " the took a second look at gilligan's " comedy " - they read it again wearing rose-tinted glasses .	3	-1	 gilligan[0] wrote[0] the[0] arbitrarily[0] titled[0] home[0] fries[0] ten[0] years[0] ago[0] it[0] was[0] shelved[0] until[0] he[0] found[0] success[2] as[0] one[0] of[0] the[0] took[0] a[0] second[0] look[0] at[0] gilligan's[0] comedy[0] they[0] read[0] it[0] again[0] wearing[0] rose[0] tinted[0] glasses[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
drew stars as sally , a dim ( but sweet ) , pregnant waitress at a small town burger joint located somewhere in the southern united states . 	drew stars as sally , a dim ( but sweet ) , pregnant waitress at a small town burger joint located somewhere in the southern united states .	2	-2	 drew[0] stars[0] as[0] sally[0] a[0] dim[-1] but[0] sweet[1] pregnant[0] waitress[0] at[0] a[0] small[0] town[0] burger[0] joint[0] located[0] somewhere[0] in[0] the[0] southern[0] united[0] states[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the father of her child is dead , the victim of a severe heart attack brought on by sadistic torture from his two stepsons - these flyboys scared him with their low-flying helicopter . 	the father of her child is dead , the victim of a severe heart attack brought on by sadistic torture from his two stepsons - these flyboys scared him with their low-flying helicopter .	1	-4	 the[0] father[0] of[0] her[0] child[0] is[0] dead[-2] the[0] victim[-2] of[0] a[0] severe[-1] heart[0] attack[-2] brought[0] on[0] by[0] sadistic[0] torture[-3] from[0] his[0] two[0] stepsons[0] these[0] flyboys[0] scared[-3] him[0] with[0] their[0] low[-1] flying[0] helicopter[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dorian ( wilson ) and angus ( busey ) were getting even for his philandering ways on behalf of their anguished mother ( o'hara ) . 	dorian ( wilson ) and angus ( busey ) were getting even for his philandering ways on behalf of their anguished mother ( o'hara ) .	1	-4	 dorian[0] wilson[0] and[0] angus[0] busey[0] were[0] getting[0] even[0] for[0] his[0] philandering[0] ways[0] on[0] behalf[0] of[0] their[0] anguished[-3] mother[0] o'hara[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
trouble is , sally picked up some interference on her drive-thru headset , and angus worries she may have heard conversations that took place in the helicopter prior to the accidental killing . 	trouble is , sally picked up some interference on her drive-thru headset , and angus worries she may have heard conversations that took place in the helicopter prior to the accidental killing .	1	-4	 trouble[-1] is[0] sally[0] picked[0] up[0] some[0] interference[-1][--1 LastWordBoosterStrength] on[0] her[0] drive[0] thru[0] headset[0] and[0] angus[0] worries[-3] she[0] may[0] have[0] heard[0] conversations[0] that[0] took[0] place[0] in[0] the[0] helicopter[0] prior[0] to[0] the[0] accidental[-1] killing[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so dorian goes undercover as a burger-flipper ; before you can say " with cheese " he falls for the mother-to-be . 	so dorian goes undercover as a burger-flipper ; before you can say " with cheese " he falls for the mother-to-be .	1	-1	 so[0] dorian[0] goes[0] undercover[0] as[0] a[0] burger[0] flipper[0] before[0] you[0] can[0] say[0] with[0] cheese[0] he[0] falls[0] for[0] the[0] mother[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too bad mom and angus have homicidal plans for sally . 	too bad mom and angus have homicidal plans for sally .	1	-2	 too[0] bad[-1] mom[0] and[0] angus[0] have[0] homicidal[0] plans[0] for[0] sally[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
does this sound like a movie you want to see ? 	does this sound like a movie you want to see ?	2	-1	 does[0] this[0] sound[0] like[1] a[0] movie[0] you[0] want[0] to[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
without a doubt , the best thing about home fries is barrymore ; at the risk of sounding sexist , she's never looked better than here , as a curly redhead with twinkling eyes . 	without a doubt , the best thing about home fries is barrymore ; at the risk of sounding sexist , she's never looked better than here , as a curly redhead with twinkling eyes .	2	-3	 without[0] a[0] doubt[-1] the[0] best[1] thing[0] about[0] home[0] fries[0] is[0] barrymore[0] at[0] the[0] risk[-1] of[0] sounding[0] sexist[-2] she's[0] never[0] looked[0] better[0] than[0] here[0] as[0] a[0] curly[0] redhead[0] with[0] twinkling[0] eyes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she is winning in a role that requires her to do absolutely nothing except look apple-cheek cute and gawk at wilson , her real-life boyfriend . 	she is winning in a role that requires her to do absolutely nothing except look apple-cheek cute and gawk at wilson , her real-life boyfriend .	2	-1	 she[0] is[0] winning[1] in[0] a[0] role[0] that[0] requires[0] her[0] to[0] do[0] absolutely[0] nothing[0] except[0] look[0] apple[0] cheek[0] cute[1] and[0] gawk[0] at[0] wilson[0] her[0] real[0] life[0] boyfriend[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the plot and the situations are so off-putting that nothing could save it . 	but the plot and the situations are so off-putting that nothing could save it .	1	-1	 but[0] the[0] plot[0] and[0] the[0] situations[0] are[0] so[0] off[0] putting[0] that[0] nothing[0] could[0] save[1][-1 LastWordBoosterStrength] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie desperately wants to get mentioned in the same breath as the coen brothers , but home fries' brand of laboured hipness would be foreign to geniuses like ethan and joel . 	this movie desperately wants to get mentioned in the same breath as the coen brothers , but home fries' brand of laboured hipness would be foreign to geniuses like ethan and joel .	2	-3	 this[0] movie[0] desperately[-2] wants[0] to[0] get[0] mentioned[0] in[0] the[0] same[0] breath[0] as[0] the[0] coen[0] brothers[0] but[0] home[0] fries'[0] brand[0] of[0] laboured[0] hipness[0] would[0] be[0] foreign[-1] to[0] geniuses[0] like[1] ethan[0] and[0] joel[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's raising arizona without babies , without charm , without laughs , without human characters , and without intelligence ; worst of all , it's creepy . 	it's raising arizona without babies , without charm , without laughs , without human characters , and without intelligence ; worst of all , it's creepy .	2	-3	 it's[0] raising[0] arizona[0] without[0] babies[1] without[0] charm[1] without[0] laughs[1] without[0] human[0] characters[0] and[0] without[0] intelligence[0] worst[-2] of[0] all[0] it's[0] creepy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what's funny about threatening to gun down a pregnant woman with a machine gun ? 	what's funny about threatening to gun down a pregnant woman with a machine gun ?	2	-3	 what's[0] funny[1] about[0] threatening[-2] to[0] gun[-1] down[0] a[0] pregnant[0] woman[0] with[0] a[0] machine[0] gun[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( unless the woman in question is a spice girl . ) 	 ( unless the woman in question is a spice girl .<br> )	1	-1	 unless[0] the[0] woman[0] in[0] question[0] is[0] a[0] spice[0] girl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
