brian de palma , the director who bought us carrie , dressed to kill and mission : impossible is back , and has bought all his technical expertise with him . 	Translation	Positive	Negative	EmotionRationale
sadly , he forget to bring a good story and believable characters . 	sadly , he forget to bring a good story and believable characters .	2	-2	 sadly[-1] he[0] forget[0] to[0] bring[0] a[0] good[1] story[0] and[0] believable[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nic cage plays rick santaro , a fast talking cop who is watching a boxing match with his friend commander kevin dunne ( sinise . ) 	nic cage plays rick santaro , a fast talking cop who is watching a boxing match with his friend commander kevin dune ( sinise .<br> )	2	-1	 nic[0] cage[0] plays[1] rick[0] santaro[0] a[0] fast[0] talking[0] cop[0] who[0] is[0] watching[0] a[0] boxing[0] match[0] with[0] his[0] friend[1] commander[0] kevin[0] dunne/dune[0] sinise[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
an assassination takes place , and santaro tries to peace together how it took place , trying to work out the roles of the people involved in this conspiracy . 	an assassination takes place , and santaro tries to peace together how it took place , trying to work out the roles of the people involved in this conspiracy .	1	-3	 an[0] assassination[-2] takes[0] place[0] and[0] santaro[0] tries[0] to[0] peace[0] together[0] how[0] it[0] took[0] place[0] trying[0] to[0] work[0] out[0] the[0] roles[0] of[0] the[0] people[0] involved[0] in[0] this[0] conspiracy[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film uses flashbacks and video cameras to bring the mystery together . 	the film uses flashbacks and video cameras to bring the mystery together .	1	-1	 the[0] film[0] uses[0] flashbacks[0] and[0] video[0] cameras[0] to[0] bring[0] the[0] mystery[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the film doesn't keep the mystery for long , and once the big 'secret' is out concerning kevin dunne , the film is at a dead end . 	however , the film doesn't keep the mystery for long , and once the big 'secret' is out concerning kevin dune , the film is at a dead end .	1	-3	 however[0] the[0] film[0] doesn't[0] keep[0] the[0] mystery[0] for[0] long[0] and[0] once[0] the[0] big[0] 'secret'[0] is[0] out[0] concerning[-1] kevin[0] dunne/dune[0] the[0] film[0] is[0] at[0] a[0] dead[-2] end[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although there are some fantastic shots by de palma , including a 15 minute steadicam shot at the start of the film , halfway through the film drops dead . 	although there are some fantastic shots by de palma , including a 15 minute steadicam shot at the start of the film , halfway through the film drops dead .	2	-3	 although[0] there[0] are[0] some[0] fantastic[2][-1 LastWordBoosterStrength] shots[0] by[0] de[0] palma[0] including[0] a[0] 15[0] minute[0] steadicam[0] shot[-1] at[0] the[0] start[0] of[0] the[0] film[0] halfway[0] through[0] the[0] film[0] drops[0] dead[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the problem is that de palma doesn't have a strong story or characters to work with . 	the problem is that de palma doesn't have a strong story or characters to work with .	1	-2	 the[0] problem[-1] is[0] that[0] de[0] palma[0] doesn't[0] have[0] a[0] strong[0] story[0] or[0] characters[0] to[0] work[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he tries to offshoot this with flashy camera techniques , but pretty soon this has no effect on the audience , and i quickly got bored . 	he tries to offshoot this with flashy camera techniques , but pretty soon this has no effect on the audience , and i quickly got bored .	3	-2	 he[0] tries[0] to[0] offshoot[0] this[0] with[0] flashy[0] camera[0] techniques[0] but[0] pretty[2] soon[0] this[0] has[0] no[0] effect[0] on[0] the[0] audience[0] and[0] i[0] quickly[0] got[0] bored[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
nic cage and gary sinise try to inject some life into some poorly realised characters , but it's no use . 	nic cage and gary sinise try to inject some life into some poorly realised characters , but it's no use .	1	-1	 nic[0] cage[0] and[0] gary[0] sinise[0] try[0] to[0] inject[0] some[0] life[0] into[0] some[0] poorly[-1][--1 LastWordBoosterStrength] realised[0] characters[0] but[0] it's[0] no[0] use[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are boring , faceless , and completely unlikeable . 	they are boring , faceless , and completely unlikeable .	1	-2	 they[0] are[0] boring[-1] faceless[0] and[0] completely[0] unlikeable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
