if anything , " stigmata " should be taken as a warning against releasing similarly-themed films relatively close to one another . 	Translation	Positive	Negative	EmotionRationale
of the four supernatural horror flicks released this year , it is clearly the worst . 	of the four supernatural horror flicks released this year , it is clearly the worst .	1	-4	 of[0] the[0] four[0] supernatural[0] horror[-3] flicks[0] released[0] this[0] year[0] it[0] is[0] clearly[0] the[0] worst[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i suppose i should have seen this coming . 	i suppose i should have seen this coming .	1	-1	 i[0] suppose[0] i[0] should[0] have[0] seen[0] this[0] coming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after all , " blair witch " thoroughly creeped me out , " sixth sense " was mildly spooky , and then " stir of echoes " had its moments , but wasn't anything i'd lose sleep over . 	after all , " blair witch " thoroughly creeped me out , " sixth sense " was mildly spooky , and then " stir of echoes " had its moments , but wasn't anything i'd lose sleep over .	1	-2	 after[0] all[0] blair[0] witch[0] thoroughly[0] creeped[0] me[0] out[0] sixth[0] sense[0] was[0] mildly[0] spooky[0] and[0] then[0] stir[0] of[0] echoes[0] had[0] its[0] moments[0] but[0] wasn't[0] anything[0] i'd[0] lose[-1] sleep[0] over[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
clearly , the quality of the horror this summer has slowly been dropping . 	clearly , the quality of the horror this summer has slowly been dropping .	1	-4	 clearly[0] the[0] quality[0] of[0] the[0] horror[-3] this[0] summer[0] has[0] slowly[0] been[0] dropping[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
is it then any surprise that " stigmata " is the dullest , most horribly executed piece of mtv-influenced tripe i have seen in a long while ? 	is it then any surprise that " stigmata " is the dullest , most horribly executed piece of mtv-influenced tripe i have seen in a long while ?	1	-4	 is[0] it[0] then[0] any[0] surprise[0] that[0] stigmata[0] is[0] the[0] dullest[-1] most[0] horribly[-3] executed[-1] piece[0] of[0] mtv[0] influenced[0] tripe[0] i[0] have[0] seen[0] in[0] a[0] long[0] while[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
no , not really . 	no , not really .	1	-1	 no[0] not[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
patricia arquette plays frankie page , a hairdresser from pittsburgh who receives a rosary as a gift from her globe-trotting mother . 	patricia arquette plays frankie page , a hairdresser from pittsburgh who receives a rosary as a gift from her globe-trotting mother .	2	-1	 patricia[0] arquette[0] plays[1] frankie[0] page[0] a[0] hairdresser[0] from[0] pittsburgh[0] who[0] receives[0] a[0] rosary[0] as[0] a[0] gift[0] from[0] her[0] globe[0] trotting[0] mother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as it turns out , the rosary belonged to a recently-deceased brazilian priest . 	as it turns out , the rosary belonged to a recently-deceased brazilian priest .	1	-1	 as[0] it[0] turns[0] out[0] the[0] rosary[0] belonged[0] to[0] a[0] recently[0] deceased[0] brazilian[0] priest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the priest's church had been under investigation by father andrew kiernan ( gabriel byrne ) because of the mysterious appearance of a bleeding statue . 	the priest's church had been under investigation by father andrew kiernan ( gabriel byrne ) because of the mysterious appearance of a bleeding statue .	1	-1	 the[0] priest's[0] church[0] had[0] been[0] under[0] investigation[0] by[0] father[0] andrew[0] kiernan[0] gabriel[0] byrne[0] because[0] of[0] the[0] mysterious[0] appearance[0] of[0] a[0] bleeding[0] statue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
father kiernan is an investigator who has made a career out of disproving supposed religious signs , but this time he believes there is something to the bleeding statue . 	father kiernan is an investigator who has made a career out of disproving supposed religious signs , but this time he believes there is something to the bleeding statue .	1	-1	 father[0] kiernan[0] is[0] an[0] investigator[0] who[0] has[0] made[0] a[0] career[0] out[0] of[0] disproving[0] supposed[0] religious[0] signs[0] but[0] this[0] time[0] he[0] believes[0] there[0] is[0] something[0] to[0] the[0] bleeding[0] statue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his investigation is soon called off , however , when the frankie starts exhibiting signs of the stigmata , in which a person is inflicted with wounds like that of jesus christ . 	his investigation is soon called off , however , when the frankie starts exhibiting signs of the stigmata , in which a person is inflicted with wounds like that of jesus christ .	2	-2	 his[0] investigation[0] is[0] soon[0] called[0] off[0] however[0] when[0] the[0] frankie[0] starts[0] exhibiting[0] signs[0] of[0] the[0] stigmata[0] in[0] which[0] a[0] person[0] is[0] inflicted[0] with[0] wounds[-1] like[1] that[0] of[0] jesus[0] christ[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
father kiernan is initially skeptical of frankie' s story , considering she's an atheist , but once he witnesses the stigmata attacks himself , he dedicates himself to finding out what is going on . 	father kiernan is initially skeptical of frankie' s story , considering she's an atheist , but once he witnesses the stigmata attacks himself , he dedicates himself to finding out what is going on .	1	-3	 father[0] kiernan[0] is[0] initially[0] skeptical[-1] of[0] frankie'[0] s[0] story[0] considering[0] she's[0] an[0] atheist[0] but[0] once[0] he[0] witnesses[0] the[0] stigmata[0] attacks[-2] himself[0] he[0] dedicates[0] himself[0] to[0] finding[0] out[0] what[0] is[0] going[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he eventually begins to suspect that his boss , cardinal houseman ( jonathan pryce ) , is concealing something that could bring down the catholic church . 	he eventually begins to suspect that his boss , cardinal houseman ( jonathan pryce ) , is concealing something that could bring down the catholic church .	1	-2	 he[0] eventually[0] begins[0] to[0] suspect[-1] that[0] his[0] boss[0] cardinal[0] houseman[0] jonathan[0] pryce[-1] is[0] concealing[-1] something[0] that[0] could[0] bring[0] down[0] the[0] catholic[0] church[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as it turns out , the dead priest had been working on the translation of a " fifth gospel " before they were excommunicated . 	as it turns out , the dead priest had been working on the translation of a " fifth gospel " before they were excommunicated .	1	-3	 as[0] it[0] turns[0] out[0] the[0] dead[-2] priest[0] had[0] been[0] working[0] on[0] the[0] translation[0] of[0] a[0] fifth[0] gospel[0] before[0] they[0] were[0] excommunicated[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the new rupert wainwright music video . 	the new rupert wainwright music video .	1	-1	 the[0] new[0] rupert[0] wainwright[0] music[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
