i'm going to start this review off with a hypothetical question . 	Translation	Positive	Negative	EmotionRationale
let's say you've just been in a car accident , and the driver of the other vehicle is unconscious . 	let's say you've just been in a car accident , and the driver of the other vehicle is unconscious .	1	-2	 let's[0] say[0] you've[0] just[0] been[0] in[0] a[0] car[0] accident[-1] and[0] the[0] driver[0] of[0] the[0] other[0] vehicle[0] is[0] unconscious[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
your friends have left to go get help , and you're waiting to see if the victim wakes up . 	your friends have left to go get help , and you're waiting to see if the victim wakes up .	2	-3	 your[0] friends[1] have[0] left[0] to[0] go[0] get[0] help[0] and[0] you're[0] waiting[0] to[0] see[0] if[0] the[0] victim[-2] wakes[0] up[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a tow-truck comes along , and the driver hops out of the truck to see what's going on . 	a tow-truck comes along , and the driver hops out of the truck to see what's going on .	1	-1	 a[0] tow[0] truck[0] comes[0] along[0] and[0] the[0] driver[0] hops[0] out[0] of[0] the[0] truck[0] to[0] see[0] what's[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he then proceeds to kill the unconscious victim by snapping his neck . 	he then proceeds to kill the unconscious victim by snapping his neck .	1	-3	 he[0] then[0] proceeds[0] to[0] kill[-1] the[0] unconscious[0] victim[-2] by[0] snapping[0] his[0] neck[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
do you : 	do you :	1	-1	 do[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a ) run away screaming for your life , staying away from the main road , 	a ) run away screaming for your life , staying away from the main road ,	1	-4	 a[0] run[0] away[0] screaming[-3] for[0] your[0] life[0] staying[0] away[0] from[0] the[0] main[0] road[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
b ) run away ( but not too fast ) and stay on the main road even when the madman in the truck starts following you , * stop * to catch your breath , try to negotiate with the psycho , and when that fails , start running away again , all the while * staying on the main road * ? 	b ) run away ( but not too fast ) and stay on the main road even when the madman in the truck starts following you , * stop * to catch your breath , try to negotiate with the psycho , and when that fails , start running away again , all the while * staying on the main road * ?	1	-3	 b[0] run[0] away[0] but[0] not[0] too[0] fast[0] and[0] stay[0] on[0] the[0] main[0] road[0] even[0] when[0] the[0] madman[-1] in[0] the[0] truck[0] starts[0] following[0] you[0] stop[0] to[0] catch[0] your[0] breath[0] try[0] to[0] negotiate[0] with[0] the[0] psycho[0] and[0] when[0] that[0] fails[-2] start[0] running[0] away[0] again[0] all[0] the[0] while[0] staying[0] on[0] the[0] main[0] road[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you answered " a " , you are far more intelligent than the screenwriter of " texas chainsaw massacre : the next generation " and will likely hate this movie . 	if you answered " a " , you are far more intelligent than the screenwriter of " texas chainsaw massacre : the next generation " and will likely hate this movie .	2	-4	 if[0] you[0] answered[0] a[0] you[0] are[0] far[0] more[0] intelligent[1] than[0] the[0] screenwriter[0] of[0] texas[0] chainsaw[0] massacre[-1] the[0] next[0] generation[0] and[0] will[0] likely[0] hate[-3] this[0] movie[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
however , if you answered " b " , prepare to enjoy a film made with idiots like you in mind ! 	however , if you answered " b " , prepare to enjoy a film made with idiots like you in mind !	3	-3	 however[0] if[0] you[0] answered[0] b[0] prepare[0] to[0] enjoy[2] a[0] film[0] made[0] with[0] idiots[-2] like[1] you[0] in[0] mind[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " texas chainsaw massacre : the next generation " is being called a sequel , but it's really more of a remake of the original . 	 " texas chainsaw massacre : the next generation " is being called a sequel , but it's really more of a remake of the original .	1	-2	 texas[0] chainsaw[0] massacre[-1] the[0] next[0] generation[0] is[0] being[0] called[0] a[0] sequel[0] but[0] it's[0] really[0] more[0] of[0] a[0] remake[0] of[0] the[0] original[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
