depending on who you ask , the original sin was either the eating of the apple , the act of disobedience against god , or the act of betrayal . 	Translation	Positive	Negative	EmotionRationale
but in case you didn't know this , don't bother remembering it . . . 	but in case you didn't know this , don't bother remembering it .<br> .<br> .	2	-1	 but[0] in[0] case[0] you[0] didn't[0] know[0] this[0] don't[0] bother[-1][NegatedDueToPreviousWord] remembering[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the words " original sin " never come up in the movie of the same name , let alone the concept of it . 	the words " original sin " never come up in the movie of the same name , let alone the concept of it .	1	-2	 the[0] words[0] original[0] sin[-1] never[0] come[0] up[0] in[0] the[0] movie[0] of[0] the[0] same[0] name[0] let[0] alone[0] the[0] concept[0] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the closest the film even gets to catholicism is in its narrative ( the story is told by angelina jolie to her priest while on death row in cuba , circa 1900 ) . 	the closest the film even gets to catholicism is in its narrative ( the story is told by angelina jolie to her priest while on death row in cuba , circa 1900 ) .	1	-3	 the[0] closest[0] the[0] film[0] even[0] gets[0] to[0] catholicism[0] is[0] in[0] its[0] narrative[0] the[0] story[0] is[0] told[0] by[0] angelina[0] jolie[0] to[0] her[0] priest[0] while[0] on[0] death[-2] row[0] in[0] cuba[0] circa[0] 1900[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
regardless of its senseless title , original sin does actually have a plot ( albeit one of the most mangled acts of screenwriting since the art of war , based on the book waltz across darkness ) . 	regardless of its senseless title , original sin does actually have a plot ( albeit one of the most mangled acts of screenwriting since the art of war , based on the book waltz across darkness ) .	1	-3	 regardless[-1] of[0] its[0] senseless[-1] title[0] original[0] sin[-1] does[0] actually[0] have[0] a[0] plot[0] albeit[0] one[0] of[0] the[0] most[0] mangled[0] acts[0] of[0] screenwriting[0] since[0] the[0] art[0] of[0] war[-2] based[0] on[0] the[0] book[0] waltz[0] across[0] darkness[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
boy ( antionio banderas ) places personal ad sometime around 1900 , searching for a wife . 	boy ( antionio banderas ) places personal ad sometime around 1900 , searching for a wife .	1	-1	 boy[0] antionio[0] banderas[0] places[0] personal[0] ad[0] sometime[0] around[0] 1900[0] searching[0] for[0] a[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since this is a century ago , we narrowly dodge a remake of green card , only to find that the girl ( jolie ) faked her photo and is actually beautiful . 	since this is a century ago , we narrowly dodge a remake of green card , only to find that the girl ( jolie ) faked her photo and is actually beautiful .	3	-2	 since[0] this[0] is[0] a[0] century[0] ago[0] we[0] narrowly[0] dodge[0] a[0] remake[0] of[0] green[0] card[0] only[0] to[0] find[0] that[0] the[0] girl[0] jolie[0] faked[-1] her[0] photo[0] and[0] is[0] actually[0] beautiful[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
skipping a few moderately useless sex scenes ( getting the question out of the way , yes , we get to see angelina jolie's breasts again ) , the girl turns out to be a con artist , swindles boy for his money , and heads for the hills . 	skipping a few moderately useless sex scenes ( getting the question out of the way , yes , we get to see angelina jolie's breasts again ) , the girl turns out to be a con artist , swindles boy for his money , and heads for the hills .	1	-3	 skipping[0] a[0] few[0] moderately[0] useless[-2] sex[0] scenes[0] getting[0] the[0] question[0] out[0] of[0] the[0] way[0] yes[0] we[0] get[0] to[0] see[0] angelina[0] jolie's[0] breasts[0] again[0] the[0] girl[0] turns[0] out[0] to[0] be[0] a[0] con[0] artist[0] swindles[0] boy[0] for[0] his[0] money[0] and[0] heads[0] for[0] the[0] hills[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
original sin then briefly tries to be a thriller . 	original sin then briefly tries to be a thriller .	2	-2	 original[0] sin[-1] then[0] briefly[0] tries[0] to[0] be[0] a[0] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we see boy go whore-chasing , saying he wants to find girl and kill her . 	we see boy go whore-chasing , saying he wants to find girl and kill her .	1	-3	 we[0] see[0] boy[0] go[0] whore[-2] chasing[0] saying[0] he[0] wants[0] to[0] find[0] girl[0] and[0] kill[-1] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but as soon as boy actually finds girl , instead of following what might have been a promising ( or at least not completely fucking boring ) thriller , the film degenerates into the worst dissection of the virgin/whore complex since milk money . 	but as soon as boy actually finds girl , instead of following what might have been a promising ( or at least not completely fucking boring ) thriller , the film degenerates into the worst dissection of the virgin/whore complex since milk money .	4	-3	 but[0] as[0] soon[0] as[0] boy[0] actually[0] finds[0] girl[0] instead[0] of[0] following[0] what[0] might[0] have[0] been[0] a[0] promising[1] or[0] at[0] least[0] not[0] completely[0] fucking[0] boring[-1][-2 LastWordBoosterStrength][NegatedDueToPreviousWord] thriller[1][NegatedDueToPreviousWord] the[0] film[0] degenerates[-1] into[0] the[0] worst[-2] dissection[0] of[0] the[0] virgin/whore[0] complex[0] since[0] milk[0] money[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
girl toys with the idea of reforming her con-girl past , all the while avoiding the " other man , " a lover that keeps making her start these scams in the first place . 	girl toys with the idea of reforming her con-girl past , all the while avoiding the " other man , " a lover that keeps making her start these scams in the first place .	4	-2	 girl[0] toys[0] with[0] the[0] idea[0] of[0] reforming[0] her[0] con[0] girl[0] past[0] all[0] the[0] while[0] avoiding[-1] the[0] other[0] man[0] a[0] lover[3] that[0] keeps[0] making[0] her[0] start[0] these[0] scams[0] in[0] the[0] first[0] place[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
add insult to injury with some of the worst stylistic choices in cinematic history ( literally half of the film is either in slow motion or uses a strobe effect ) , and acting roughly the caliber of a b . b . gun , and original sin is one of the most torturous films of the summer , definitely front running to make my bottom ten of the year . 	add insult to injury with some of the worst stylistic choices in cinematic history ( literally half of the film is either in slow motion or uses a strobe effect ) , and acting roughly the caliber of a b .<br> b .<br> gun , and original sin is one of the most torturous films of the summer , definitely front running to make my bottom ten of the year .	1	-3	 add[0] insult[-2] to[0] injury[-1] with[0] some[0] of[0] the[0] worst[-2] stylistic[0] choices[0] in[0] cinematic[0] history[0] literally[0] half[0] of[0] the[0] film[0] is[0] either[0] in[0] slow[0] motion[0] or[0] uses[0] a[0] strobe[0] effect[0] and[0] acting[0] roughly[-1] the[0] caliber[0] of[0] a[0] b[0] [[Sentence=-3,1=word max, 1-5]] b[0] [[Sentence=-1,1=word max, 1-5]] gun[-1] and[0] original[0] sin[-1] is[0] one[0] of[0] the[0] most[0] torturous[-1] films[0] of[0] the[0] summer[0] definitely[0] front[0] running[0] to[0] make[0] my[0] bottom[0] ten[0] of[0] the[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't even bother with original sin , but if you do go , be honest with yourself and admit its pure sex appeal . 	don't even bother with original sin , but if you do go , be honest with yourself and admit its pure sex appeal .	2	-2	 don't[0] even[0] bother[-1][NegatedDueToPreviousWord] with[0] original[0] sin[-1] but[0] if[0] you[0] do[0] go[0] be[0] honest[0] with[0] yourself[0] and[0] admit[0] its[0] pure[0] sex[0] appeal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
just keep in mind that although this film may not be the most original on the block , it's much worse than a sin . 	just keep in mind that although this film may not be the most original on the block , it's much worse than a sin .	1	-3	 just[0] keep[0] in[0] mind[0] that[0] although[0] this[0] film[0] may[0] not[0] be[0] the[0] most[0] original[0] on[0] the[0] block[-1] it's[0] much[0] worse[-2] than[0] a[0] sin[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is sacrilege . 	this is sacrilege .	1	-1	 this[0] is[0] sacrilege[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
