 " what's your favorite new york moment ? " 	Translation	Positive	Negative	EmotionRationale
 " this one's climbing the charts . " 	 " this one's climbing the charts .<br> "	1	-1	 this[0] one's[0] climbing[0] the[0] charts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring john cusack , kate beckinsale , eugene levy , molly shannon . 	starring john cusack , kate beckinsale , eugene levy , molly shannon .	1	-1	 starring[0] john[0] cusack[0] kate[0] beckinsale[0] eugene[0] levy[0] molly[0] shannon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
directed by peter chelsom . 	directed by peter chelsom .	1	-1	 directed[0] by[0] peter[0] chelsom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated pg-13 . 	rated pg-13 .	1	-1	 rated[0] pg[0] -13[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's no doubt that 95% of romantic comedies follow a distinct pattern : guy sees girl , guy wants girl , guy goes through unreasonable obstacles to get girl , guy gets girl . 	there's no doubt that 95% of romantic comedies follow a distinct pattern : guy sees girl , guy wants girl , guy goes through unreasonable obstacles to get girl , guy gets girl .	4	-3	 there's[0] no[0] doubt[-1] that[0] 95%[0] of[0] romantic[3] comedies[0] follow[0] a[0] distinct[0] pattern[0] guy[0] sees[0] girl[0] guy[0] wants[0] girl[0] guy[0] goes[0] through[0] unreasonable[-2] obstacles[-1] to[0] get[0] girl[0] guy[0] gets[0] girl[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
in rare cases , the genders are flipped . 	in rare cases , the genders are flipped .	1	-1	 in[0] rare[0] cases[0] the[0] genders[0] are[0] flipped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
predictability is a given . 	predictability is a given .	1	-1	 predictability[0] is[0] a[0] given[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rarely , though , is a romantic comedy as cheap , as obvious , or as pointless as serendipity , a film that uses its " theme " as an excuse for its plot contrivances . 	rarely , though , is a romantic comedy as cheap , as obvious , or as pointless as serendipity , a film that uses its " theme " as an excuse for its plot contrivances .	4	-2	 rarely[0] though[0] is[0] a[0] romantic[3] comedy[0] as[0] cheap[-1] as[0] obvious[0] or[0] as[0] pointless[-1] as[0] serendipity[0] a[0] film[0] that[0] uses[0] its[0] theme[0] as[0] an[0] excuse[0] for[0] its[0] plot[0] contrivances[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
 " lightweight " doesn't begin to describe it . 	 " lightweight " doesn't begin to describe it .	1	-1	 lightweight[0] doesn't[0] begin[0] to[0] describe[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is like anti-gravity . 	this is like anti-gravity .	2	-1	 this[0] is[0] like[1] anti[0] gravity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
