 " jack frost , " is one of those dumb , corny concoctions that attempts to be a heartwarming family film , but is too muddled in its own cliches and predictability to be the least bit touching . 	Translation	Positive	Negative	EmotionRationale
this does not come as a surprise , since the studio that made it is warner brothers , who is on a current streak of one bad film after the other . 	this does not come as a surprise , since the studio that made it is warner brothers , who is on a current streak of one bad film after the other .	1	-2	 this[0] does[0] not[0] come[0] as[0] a[0] surprise[0] since[0] the[0] studio[0] that[0] made[0] it[0] is[0] warner[0] brothers[0] who[0] is[0] on[0] a[0] current[0] streak[0] of[0] one[0] bad[-1] film[0] after[0] the[0] other[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jack frost ( michael keaton ) is a struggling middle-aged rock musician who loves his wife , gabby ( kelly preston ) , and 11-year-old son , charlie ( joseph cross ) , but doesn't spend nearly enough time with them . 	jack frost ( michael keaton ) is a struggling middle-aged rock musician who loves his wife , gabby ( kelly preston ) , and 11-year-old son , charlie ( joseph cross ) , but doesn't spend nearly enough time with them .	3	-2	 jack[0] frost[0] michael[0] keaton[0] is[0] a[0] struggling[-1] middle[0] aged[0] rock[1] musician[0] who[0] loves[2] his[0] wife[0] gabby[0] kelly[0] preston[0] and[0] 11[0] year[0] old[0] son[0] charlie[0] joseph[0] cross[-1] but[0] doesn't[0] spend[0] nearly[0] enough[0] time[0] with[0] them[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when he receives a call from a music label that wants to hear him play , he has to cancel his planned family outing up in the mountains for christmas . 	when he receives a call from a music label that wants to hear him play , he has to cancel his planned family outing up in the mountains for christmas .	1	-2	 when[0] he[0] receives[0] a[0] call[0] from[0] a[0] music[0] label[0] that[0] wants[0] to[0] hear[0] him[0] play[0] he[0] has[0] to[0] cancel[-1] his[0] planned[0] family[0] outing[0] up[0] in[0] the[0] mountains[0] for[0] christmas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
halfway there , jack has second thoughts , but on his way back home , is in a car accident and dies . 	halfway there , jack has second thoughts , but on his way back home , is in a car accident and dies .	1	-2	 halfway[0] there[0] jack[0] has[0] second[0] thoughts[0] but[0] on[0] his[0] way[0] back[0] home[0] is[0] in[0] a[0] car[0] accident[-1] and[0] dies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
switch forward a year , christmas is approaching once again , and charlie and gabby are still having a difficult time coming to terms with jack's death . 	switch forward a year , christmas is approaching once again , and charlie and gabby are still having a difficult time coming to terms with jack's death .	1	-3	 switch[0] forward[0] a[0] year[0] christmas[0] is[0] approaching[0] once[0] again[0] and[0] charlie[0] and[0] gabby[0] are[0] still[0] having[0] a[0] difficult[-1] time[0] coming[0] to[0] terms[0] with[0] jack's[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when charlie begins to play the harmonica his father gave him the night before he died , the snowman outside the house is taken over by jack's spirit . 	when charlie begins to play the harmonica his father gave him the night before he died , the snowman outside the house is taken over by jack's spirit .	1	-1	 when[0] charlie[0] begins[0] to[0] play[0] the[0] harmonica[0] his[0] father[0] gave[0] him[0] the[0] night[0] before[0] he[0] died[0] the[0] snowman[0] outside[0] the[0] house[0] is[0] taken[0] over[0] by[0] jack's[0] spirit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jack wants to spend some time with his son before the upcoming warm front melts him , but charlie desperately tries to prevent his melting demise . 	jack wants to spend some time with his son before the upcoming warm front melts him , but charlie desperately tries to prevent his melting demise .	1	-3	 jack[0] wants[0] to[0] spend[0] some[0] time[0] with[0] his[0] son[0] before[0] the[0] upcoming[0] warm[0] front[0] melts[0] him[0] but[0] charlie[0] desperately[-2] tries[0] to[0] prevent[0] his[0] melting[0] demise[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " frosty the snowman , " is a classic cartoon , and the idea of a snowman that is alive works splendidly when animated , but as a live-action film , it doesn't work at all . 	 " frosty the snowman , " is a classic cartoon , and the idea of a snowman that is alive works splendidly when animated , but as a live-action film , it doesn't work at all .	3	-1	 frosty[0] the[0] snowman[0] is[0] a[0] classic[0] cartoon[0] and[0] the[0] idea[0] of[0] a[0] snowman[0] that[0] is[0] alive[0] works[0] splendidly[2] when[0] animated[0] but[0] as[0] a[0] live[0] action[0] film[0] it[0] doesn't[0] work[0] at[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after a somewhat promising prologue in which the frost family is established , " jack frost , " quickly goes downhill , especially once the snowman comes into play . 	after a somewhat promising prologue in which the frost family is established , " jack frost , " quickly goes downhill , especially once the snowman comes into play .	2	-1	 after[0] a[0] somewhat[0] promising[1] prologue[0] in[0] which[0] the[0] frost[0] family[0] is[0] established[0] jack[0] frost[0] quickly[0] goes[0] downhill[0] especially[0] once[0] the[0] snowman[0] comes[0] into[0] play[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since jack has been deceased for a whole year , you would think there would be many questions to ask him , such as , " what happens after you die ? " 	since jack has been deceased for a whole year , you would think there would be many questions to ask him , such as , " what happens after you die ?<br> "	1	-1	 since[0] jack[0] has[0] been[0] deceased[0] for[0] a[0] whole[0] year[0] you[0] would[0] think[0] there[0] would[0] be[0] many[0] questions[0] to[0] ask[0] him[0] such[0] as[0] what[0] happens[0] after[0] you[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
