by trying to satisfy every kind of viewer , it's possible that sphere may end up pleasing no one . 	Translation	Positive	Negative	EmotionRationale
action lovers will be bored by what they will see as an interminably boring setup . 	action lovers will be bored by what they will see as an interminably boring setup .	4	-2	 action[0] lovers[3] will[0] be[0] bored[-1] by[0] what[0] they[0] will[0] see[0] as[0] an[0] interminably[0] boring[-1] setup[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
audience members who crave more intellectual fare will be disgusted by the film's sudden collapse into mindless storytelling and by the ending , which is an insulting cop-out . 	audience members who crave more intellectual fare will be disgusted by the film's sudden collapse into mindless storytelling and by the ending , which is an insulting cop-out .	1	-4	 audience[0] members[0] who[0] crave[-1] more[0] intellectual[0] fare[0] will[0] be[0] disgusted[-3] by[0] the[0] film's[0] sudden[0] collapse[-1] into[0] mindless[0] storytelling[0] and[0] by[0] the[0] ending[0] which[0] is[0] an[0] insulting[-2] cop[0] out[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
somewhere out there , maybe there's a small cadre of film-goers who will appreciate sphere's dubious charms , but i'm not among them . 	somewhere out there , maybe there's a small cadre of film-goers who will appreciate sphere's dubious charms , but i'm not among them .	2	-2	 somewhere[0] out[0] there[0] maybe[0] there's[0] a[0] small[0] cadre[0] of[0] film[0] goers[0] who[0] will[0] appreciate[1] sphere's[0] dubious[-1] charms[1] but[0] i'm[0] not[0] among[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i sincerely hope the novel is better than the movie ( i no longer read anything by either michael crichton or john grisham ) , because if the finished motion picture product is anything to go by , it's hard to understand why the rights were optioned . 	i sincerely hope the novel is better than the movie ( i no longer read anything by either michael crichton or john grisham ) , because if the finished motion picture product is anything to go by , it's hard to understand why the rights were optioned .	3	-1	 i[0] sincerely[0] hope[2] the[0] novel[0] is[0] better[0] than[0] the[0] movie[0] i[0] no[0] longer[0] read[0] anything[0] by[0] either[0] michael[0] crichton[0] or[0] john[0] grisham[0] because[0] if[0] the[0] finished[0] motion[0] picture[0] product[0] is[0] anything[0] to[0] go[0] by[0] it's[0] hard[0] to[0] understand[0] why[0] the[0] rights[0] were[0] optioned[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sphere is the kind of first- class mess that only a top-line director with an a-list cast can create . 	sphere is the kind of first- class mess that only a top-line director with an a-list cast can create .	2	-1	 sphere[0] is[0] the[0] kind[1] of[0] first[0] class[0] mess[0] that[0] only[0] a[0] top[0] line[0] director[0] with[0] an[0] a[0] list[0] cast[0] can[0] create[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with expectations high ( and how could they not be , considering that another barry levinson/dustin hoffman collaboration , the excellent wag the dog , is still playing in theaters ? ) , 	with expectations high ( and how could they not be , considering that another barry levinson/dustin hoffman collaboration , the excellent wag the dog , is still playing in theaters ?<br> ) ,	4	-1	 with[0] expectations[0] high[0] and[0] how[0] could[0] they[0] not[0] be[0] considering[0] that[0] another[0] barry[0] levinson/dustin[0] hoffman[0] collaboration[0] the[0] excellent[3] wag[0] the[0] dog[0] is[0] still[0] playing[1] in[0] theaters[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
something this bad can't help but look even worse . 	something this bad can't help but look even worse .	1	-3	 something[0] this[0] bad[-1] can't[0] help[0] but[0] look[0] even[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the last time a big-name , big-budget film displayed this level of ineptitude was last year's batman & robin , and everyone knows how that movie was received . 	the last time a big-name , big-budget film displayed this level of ineptitude was last year's batman & robin , and everyone knows how that movie was received .	1	-1	 the[0] last[0] time[0] a[0] big[0] name[0] big[0] budget[0] film[0] displayed[0] this[0] level[0] of[0] ineptitude[0] was[0] last[0] year's[0] batman[0] &[0] robin[0] and[0] everyone[0] knows[0] how[0] that[0] movie[0] was[0] received[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sphere starts out a little like an amalgamation of contact and james cameron's the abyss , but , somewhere along the way , it collapses into the cellar with another recent science fiction effort , event horizon . 	sphere starts out a little like an amalgamation of contact and james cameron's the abyss , but , somewhere along the way , it collapses into the cellar with another recent science fiction effort , event horizon .	2	-2	 sphere[0] starts[0] out[0] a[0] little[0] like[1] an[0] amalgamation[0] of[0] contact[0] and[0] james[0] cameron's[0] the[0] abyss[-1] but[0] somewhere[0] along[0] the[0] way[0] it[0] collapses[-1] into[0] the[0] cellar[0] with[0] another[0] recent[0] science[0] fiction[0] effort[0] event[0] horizon[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
science and philosophy , which are used to good effect during sphere's first hour , give way to mindless , confusing action sequences . 	science and philosophy , which are used to good effect during sphere's first hour , give way to mindless , confusing action sequences .	2	-2	 science[0] and[0] philosophy[0] which[0] are[0] used[0] to[0] good[1] effect[0] during[0] sphere's[0] first[0] hour[0] give[0] way[0] to[0] mindless[0] confusing[-1] action[0] sequences[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
