the crown jewel of 1970's irwin allen disaster movies , the poseidon adventure features an all-star cast including gene hackman and ernest borgnine spouting some of the most laughable dramatic dialogue in movie history while trapped on a cruise ship . 	Translation	Positive	Negative	EmotionRationale
the story begins on the u . s . s . 	the story begins on the you .<br> s .<br> s .	1	-1	 the[0] story[0] begins[0] on[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
poseidon's big new year's cruise , where we are introduced to the ensemble of people who will soon be the only passengers left alive . 	poseidon's big new year's cruise , where we are introduced to the ensemble of people who will soon be the only passengers left alive .	1	-1	 poseidon's[0] big[0] new[0] year's[0] cruise[0] where[0] we[0] are[0] introduced[0] to[0] the[0] ensemble[0] of[0] people[0] who[0] will[0] soon[0] be[0] the[0] only[0] passengers[0] left[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's see , there's the new age preacher ( hackman ) who advises people to " pray to that part of god within yourself . " 	let's see , there's the new age preacher ( hackman ) who advises people to " pray to that part of god within yourself .<br> "	1	-1	 let's[0] see[0] there's[0] the[0] new[0] age[0] preacher[0] hackman[0] who[0] advises[0] people[0] to[0] pray[0] to[0] that[0] part[0] of[0] god[0] within[0] yourself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's the ex-cop ( borgnine ) who busted a hooker ( stella stevens ) six times -- then married her . 	there's the ex-cop ( borgnine ) who busted a hooker ( stella stevens ) six times - then married her .	1	-1	 there's[0] the[0] ex[0] cop[0] borgnine[0] who[0] busted[0] a[0] hooker[0] stella[0] stevens[0] six[0] times[0] then[0] married[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's the hippie singer ( " there's got to be a morning after . . . " ) who turns to the company of a lonely man ( red buttons ) once her brother is killed . 	there's the hippie singer ( " there's got to be a morning after .<br> .<br> .<br> " ) who turns to the company of a lonely man ( red buttons ) once her brother is killed .	1	-4	 there's[0] the[0] hippie[0] singer[0] there's[0] got[0] to[0] be[0] a[0] morning[0] after[0] [[Sentence=-1,1=word max, 1-5]] who[0] turns[0] to[0] the[0] company[0] of[0] a[0] lonely[-1] man[0] red[0] buttons[0] once[0] her[0] brother[0] is[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and to round out the group : the elderly couple ( jack albertson and shelley winters ) who live aboard the ship , the beautiful teenage girl and her brother who are sailing alone and adventurous scotsman roddy mcdowall . 	and to round out the group : the elderly couple ( jack albertson and shelley winters ) who live aboard the ship , the beautiful teenage girl and her brother who are sailing alone and adventurous scotsman roddy mcdowall .	3	-1	 and[0] to[0] round[0] out[0] the[0] group[0] the[0] elderly[0] couple[0] jack[0] albertson[0] and[0] shelley[0] winters[0] who[0] live[0] aboard[0] the[0] ship[0] the[0] beautiful[2] teenage[0] girl[0] and[0] her[0] brother[0] who[0] are[0] sailing[0] alone[0] and[0] adventurous[0] scotsman[0] roddy[0] mcdowall[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we get to know these people a little too well in the first thirty minutes of the poseidon adventure , before straight- faced ship captain leslie nielson looks in horror at the giant tidal wave headed right for the ship . 	we get to know these people a little too well in the first thirty minutes of the poseidon adventure , before straight- faced ship captain leslie nielson looks in horror at the giant tidal wave headed right for the ship .	1	-4	 we[0] get[0] to[0] know[0] these[0] people[0] a[0] little[0] too[0] well[0] in[0] the[0] first[0] thirty[0] minutes[0] of[0] the[0] poseidon[0] adventure[0] before[0] straight[0] faced[0] ship[0] captain[0] leslie[0] nielson[0] looks[0] in[0] horror[-3] at[0] the[0] giant[0] tidal[0] wave[0] headed[0] right[0] for[0] the[0] ship[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
everyone's in the giant ballroom at the time , shortly past midnight of the new year , when the ship turns first on its side , then completely upside down . 	everyone's in the giant ballroom at the time , shortly past midnight of the new year , when the ship turns first on its side , then completely upside down .	1	-1	 everyone's[0] in[0] the[0] giant[0] ballroom[0] at[0] the[0] time[0] shortly[0] past[0] midnight[0] of[0] the[0] new[0] year[0] when[0] the[0] ship[0] turns[0] first[0] on[0] its[0] side[0] then[0] completely[0] upside[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second- in-command wants everyone to wait in the ballroom until help arrives , but rebel hackman leads his small band of followers on a quest to the top of the ship . 	the second- in-command wants everyone to wait in the ballroom until help arrives , but rebel hackman leads his small band of followers on a quest to the top of the ship .	1	-2	 the[0] second[0] in[0] command[0] wants[0] everyone[0] to[0] wait[0] in[0] the[0] ballroom[0] until[0] help[0] arrives[0] but[0] rebel[-1] hackman[0] leads[0] his[0] small[0] band[0] of[0] followers[0] on[0] a[0] quest[0] to[0] the[0] top[0] of[0] the[0] ship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this case , because the ship is overturned , the top is the bottom . 	in this case , because the ship is overturned , the top is the bottom .	1	-2	 in[0] this[0] case[0] because[0] the[0] ship[0] is[0] overturned[-1] the[0] top[0] is[0] the[0] bottom[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
