spoiled rich kid kelley morse ( chris klein ) receives a new mercedes for a graduation present . 	Translation	Positive	Negative	EmotionRationale
he and his buddies take it for a joyride to a small nearby town , where he proceeds to torment the locals simply because he's rich and they're not . 	he and his buddies take it for a joyride to a small nearby town , where he proceeds to torment the locals simply because he's rich and they're not .	1	-2	 he[0] and[0] his[0] buddies[0] take[0] it[0] for[0] a[0] joyride[-1] to[0] a[0] small[0] nearby[0] town[0] where[0] he[0] proceeds[0] to[0] torment[-1] the[0] locals[0] simply[0] because[0] he's[0] rich[0] and[0] they're[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he ends up provoking jasper ( josh hartnett ) into a race and as a result , the local gas station and diner are destroyed when they crash into it . 	he ends up provoking jasper ( josh hartnett ) into a race and as a result , the local gas station and diner are destroyed when they crash into it .	1	-3	 he[0] ends[0] up[0] provoking[0] jasper[0] josh[0] hartnett[0] into[0] a[0] race[0] and[0] as[0] a[0] result[0] the[0] local[0] gas[0] station[0] and[0] diner[0] are[0] destroyed[-2] when[0] they[0] crash[0] into[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kelley is sentenced to rebuild the diner , and has to live with jasper in a spare room over his family's barn . 	kelley is sentenced to rebuild the diner , and has to live with jasper in a spare room over his family's barn .	1	-1	 kelley[0] is[0] sentenced[0] to[0] rebuild[0] the[0] diner[0] and[0] has[0] to[0] live[0] with[0] jasper[0] in[0] a[0] spare[0] room[0] over[0] his[0] family's[0] barn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jasper's girlfriend sam ( leelee sobieski ) soon takes a liking to kelley however , despite the fact that 1 ) it was her family's diner that was destroyed and b ) all kelley does is sit around , sulk , and smart off to the townspeople . 	jasper's girlfriend sam ( leelee sobieski ) soon takes a liking to kelley however , despite the fact that 1 ) it was her family's diner that was destroyed and b ) all kelley does is sit around , sulk , and smart off to the townspeople .	3	-3	 jasper's[0] girlfriend[0] sam[0] leelee[0] sobieski[0] soon[0] takes[0] a[0] liking[2] to[0] kelley[0] however[0] despite[0] the[0] fact[0] that[0] 1[0] it[0] was[0] her[0] family's[0] diner[0] that[0] was[0] destroyed[-2] and[0] b[0] all[0] kelley[0] does[0] is[0] sit[0] around[0] sulk[0] and[0] smart[1] off[0] to[0] the[0] townspeople[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but when she sees him sweaty and shirtless , that's apparently all she needs to lose her feelings for jasper ( whose only fault seems to be a perpetual case of hat hair ) . 	but when she sees him sweaty and shirtless , that's apparently all she needs to lose her feelings for jasper ( whose only fault seems to be a perpetual case of hat hair ) .	1	-2	 but[0] when[0] she[0] sees[0] him[0] sweaty[0] and[0] shirtless[0] that's[0] apparently[0] all[0] she[0] needs[0] to[0] lose[-1] her[0] feelings[0] for[0] jasper[0] whose[0] only[0] fault[-1] seems[0] to[0] be[0] a[0] perpetual[0] case[0] of[0] hat[0] hair[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so sobieski soon falls in love with kelley , especially after the day she follows him through the woods and hears him giving his graduation speech ( which he was unable to deliver because he caused the destruction of property and nearly killed dozens of people ) . 	so sobieski soon falls in love with kelley , especially after the day she follows him through the woods and hears him giving his graduation speech ( which he was unable to deliver because he caused the destruction of property and nearly killed dozens of people ) .	3	-4	 so[0] sobieski[0] soon[0] falls[0] in[0] love[2] with[0] kelley[0] especially[0] after[0] the[0] day[0] she[0] follows[0] him[0] through[0] the[0] woods[0] and[0] hears[0] him[0] giving[0] his[0] graduation[0] speech[0] which[0] he[0] was[0] unable[0] to[0] deliver[0] because[0] he[0] caused[0] the[0] destruction[-1] of[0] property[0] and[0] nearly[0] killed[-3] dozens[0] of[0] people[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in the speech , kelley quotes a poem by robert frost , which just so happens to be sam's favorite poem as well . 	in the speech , kelley quotes a poem by robert frost , which just so happens to be sam's favorite poem as well .	2	-1	 in[0] the[0] speech[0] kelley[0] quotes[0] a[0] poem[0] by[0] robert[0] frost[0] which[0] just[0] so[0] happens[0] to[0] be[0] sam's[0] favorite[1] poem[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
awwwww . 	aw .	1	-1	 awwwww/aw[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon they're frolicking around in the fields and for some reason waste no time letting people in town ( especially jasper's best friend ) see them together . 	soon they're frolicking around in the fields and for some reason waste no time letting people in town ( especially jasper's best friend ) see them together .	4	-2	 soon[0] they're[0] frolicking[3] around[0] in[0] the[0] fields[0] and[0] for[0] some[0] reason[0] waste[-1] no[0] time[0] letting[0] people[0] in[0] town[0] especially[0] jasper's[0] best[1] friend[1] see[0] them[0] together[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
kelley continues to make an ass of himself in town , especially when he shows up at the town dance , drunk and steaming because sam went with jasper . 	kelley continues to make an ass of himself in town , especially when he shows up at the town dance , drunk and steaming because sam went with jasper .	1	-2	 kelley[0] continues[0] to[0] make[0] an[0] ass[0] of[0] himself[0] in[0] town[0] especially[0] when[0] he[0] shows[0] up[0] at[0] the[0] town[0] dance[0] drunk[-1] and[0] steaming[0] because[0] sam[0] went[0] with[0] jasper[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
