apparently , when crap calls , jim carrey answers . 	Translation	Positive	Negative	EmotionRationale
here he is , mugging it up in countless unfunny ways for the fifth time , his second go-around in the role of pet detective ace ventura . 	here he is , mugging it up in countless unfunny ways for the fifth time , his second go-around in the role of pet detective ace ventura .	1	-1	 here[0] he[0] is[0] mugging[0] it[0] up[0] in[0] countless[0] unfunny[0] ways[0] for[0] the[0] fifth[0] time[0] his[0] second[0] go[0] around[0] in[0] the[0] role[0] of[0] pet[0] detective[0] ace[0] ventura[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that means more talking ass-cracks , penis jokes and cries of " al-l-l-l-l-l-l-l-l-l-lrighty then . " 	that means more talking ass-cracks , penis jokes and cries of " al-l-l-l-l-l-l-l-l-l-lrighty then .<br> "	2	-3	 that[0] means[0] more[0] talking[0] ass[0] cracks[0] penis[0] jokes[1] and[0] cries[-2] of[0] al[0] l[0] l[0] l[0] l[0] l[0] l[0] l[0] l[0] l[0] lrighty[0] then[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it all adds up to a sequel that makes the original resemble schindler's list in terms of dramatic merit , or lack of . 	it all adds up to a sequel that makes the original resemble schindler's list in terms of dramatic merit , or lack of .	2	-2	 it[0] all[0] adds[0] up[0] to[0] a[0] sequel[0] that[0] makes[0] the[0] original[0] resemble[0] schindler's[0] list[0] in[0] terms[0] of[0] dramatic[0] merit[1] or[0] lack[-1] of[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
granted , there are a few laughs amid the constant barrage of pre-school humor , but anyone who appreciates good comedy will bang their head against the wall ten times for every minor chuckle . 	granted , there are a few laughs amid the constant barrage of pre-school humor , but anyone who appreciates good comedy will bang their head against the wall ten times for every minor chuckle .	3	-2	 granted[0] there[0] are[0] a[0] few[0] laughs[1] amid[0] the[0] constant[0] barrage[0] of[0] pre[0] school[0] humor[2] but[0] anyone[0] who[0] appreciates[1] good[1] comedy[0] will[0] bang[0] their[0] head[0] against[-1] the[0] wall[0] ten[0] times[0] for[0] every[0] minor[0] chuckle[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's a painful experience for anyone with a brain . 	it's a painful experience for anyone with a brain .	1	-4	 it's[0] a[0] painful[-3] experience[0] for[0] anyone[0] with[0] a[0] brain[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ace is distraught after accidentally dropping a racoon into a canyon ( in a parody of the opening scene of sylvester stallone's cliffhanger , jim carrey being the only person who can make stallone look like a college professor in terms of intellect , or lack of ) and decides to retire to the mountains of tibet to gain a higher level of consciousness ( or , in his case , a level of consciousness ) . 	ace is distraught after accidentally dropping a racoon into a canyon ( in a parody of the opening scene of sylvester stallone's cliffhanger , jim carrey being the only person who can make stallone look like a college professor in terms of intellect , or lack of ) and decides to retire to the mountains of tibet to gain a higher level of consciousness ( or , in his case , a level of consciousness ) .	2	-4	 ace[0] is[0] distraught[-3] after[0] accidentally[-1] dropping[0] a[0] racoon[0] into[0] a[0] canyon[0] in[0] a[0] parody[0] of[0] the[0] opening[0] scene[0] of[0] sylvester[0] stallone's[0] cliffhanger[0] jim[0] carrey[0] being[0] the[0] only[0] person[0] who[0] can[0] make[0] stallone[0] look[0] like[1] a[0] college[0] professor[0] in[0] terms[0] of[0] intellect[0] or[0] lack[-1] of[0] and[0] decides[0] to[0] retire[-1] to[0] the[0] mountains[0] of[0] tibet[0] to[0] gain[0] a[0] higher[0] level[0] of[0] consciousness[0] or[0] in[0] his[0] case[0] a[0] level[0] of[0] consciousness[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but he is pulled out of retirement to the tune of  20 , 000 to retrieve a sacred white bat for an african tribe . 	but he is pulled out of retirement to the tune of  20 , 00 to retrieve a sacred white bat for an african tribe .	1	-2	 but[0] he[0] is[0] pulled[0] out[0] of[0] retirement[-1] to[0] the[0] tune[0] of[0] 20[0] 000/00[0] to[0] retrieve[0] a[0] sacred[0] white[0] bat[0] for[0] an[0] african[0] tribe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why africa ? 	why africa ?	1	-1	 why[0] africa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so carrey can disguise himself nude inside a fake rhino and later climb out the rear end as a tourist family watches ( " look , the rhino's about to give birth ! " ) . 	so carrey can disguise himself nude inside a fake rhino and later climb out the rear end as a tourist family watches ( " look , the rhino's about to give birth !<br> " ) .	1	-2	 so[0] carrey[0] can[0] disguise[-1] himself[0] nude[0] inside[0] a[0] fake[-1] rhino[0] and[0] later[0] climb[0] out[0] the[0] rear[0] end[0] as[0] a[0] tourist[0] family[0] watches[0] look[0] the[0] rhino's[0] about[0] to[0] give[0] birth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if that seems like hee-haw humor to you , by all means , see the movie . 	if that seems like he-haw humor to you , by all means , see the movie .	3	-1	 if[0] that[0] seems[0] like[1] hee/he[0] haw[0] humor[2] to[0] you[0] by[0] all[0] means[0] see[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if not , claim your place in human civilization with the rest of us . 	if not , claim your place in human civilization with the rest of us .	1	-1	 if[0] not[0] claim[0] your[0] place[0] in[0] human[0] civilization[0] with[0] the[0] rest[0] of[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
obviously , there are quite a few nonmembers of civilization who made this movie , like the first ace ventura film ( i use the word " film " only because it was filmed , not because there's any level of artistic merit . ) , a huge success . 	obviously , there are quite a few nonmembers of civilization who made this movie , like the first ace ventura film ( i use the word " film " only because it was filmed , not because there's any level of artistic merit .<br> ) , a huge success .	3	-1	 obviously[0] there[0] are[0] quite[0] a[0] few[0] nonmembers[0] of[0] civilization[0] who[0] made[0] this[0] movie[0] like[1] the[0] first[0] ace[0] ventura[0] film[0] i[0] use[0] the[0] word[0] film[0] only[0] because[0] it[0] was[0] filmed[0] not[0] because[0] there's[0] any[0] level[0] of[0] artistic[0] merit[1] [[Sentence=-1,2=word max, 1-5]] a[0] huge[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , carrey only has a career because of the decline of intelligence in our culture . 	in fact , carrey only has a career because of the decline of intelligence in our culture .	1	-2	 in[0] fact[0] carrey[0] only[0] has[0] a[0] career[0] because[0] of[0] the[0] decline[-1] of[0] intelligence[0] in[0] our[0] culture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you may say to me , " but andrew , look at jerry lewis . 	you may say to me , " but andrew , look at jerry lewis .	1	-1	 you[0] may[0] say[0] to[0] me[0] but[0] andrew[0] look[0] at[0] jerry[0] lewis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was born with a negative i . q . 	he was born with a negative i .<br> q .	1	-2	 he[0] was[0] born[0] with[0] a[0] negative[-1] i[0] [[Sentence=-2,1=word max, 1-5]] q[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
and look how popular he was thirty years ago . " 	and look how popular he was thirty years ago .<br> "	1	-1	 and[0] look[0] how[0] popular[0] he[0] was[0] thirty[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe , but i still say jerry lewis is a notch or two up on the comedic ladder because he never actually did an impression in a movie of a rabid bulldog biting off a man's testicles . . . 	maybe , but i still say jerry lewis is a notch or two up on the comedic ladder because he never actually did an impression in a movie of a rabid bulldog biting off a man's testicles .<br> .<br> .	1	-1	 maybe[0] but[0] i[0] still[0] say[0] jerry[0] lewis[0] is[0] a[0] notch[0] or[0] two[0] up[0] on[0] the[0] comedic[0] ladder[0] because[0] he[0] never[0] actually[0] did[0] an[0] impression[0] in[0] a[0] movie[0] of[0] a[0] rabid[0] bulldog[0] biting[0] off[0] a[0] man's[0] testicles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lewis at least had the dignity to save that performance for when company came over . 	lewis at least had the dignity to save that performance for when company came over .	2	-1	 lewis[0] at[0] least[0] had[0] the[0] dignity[1] to[0] save[1] that[0] performance[0] for[0] when[0] company[0] came[0] over[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
