it would be hard to choose the best american political thriller . 	Translation	Positive	Negative	EmotionRationale
some people would probably pick the manchurian candidate and others ( myself included ) would pick seven days in may . 	some people would probably pick the manchurian candidate and others ( myself included ) would pick seven days in may .	1	-1	 some[0] people[0] would[0] probably[0] pick[0] the[0] manchurian[0] candidate[0] and[0] others[0] myself[0] included[0] would[0] pick[0] seven[0] days[0] in[0] may[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both those films were tense exercises in chills . 	both those films were tense exercises in chills .	1	-3	 both[0] those[0] films[0] were[0] tense[-2] exercises[0] in[0] chills[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the two films came out within two years of each other and both were directed by the same man , john frankenheimer . 	the two films came out within two years of each other and both were directed by the same man , john frankenheimer .	1	-1	 the[0] two[0] films[0] came[0] out[0] within[0] two[0] years[0] of[0] each[0] other[0] and[0] both[0] were[0] directed[0] by[0] the[0] same[0] man[0] john[0] frankenheimer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but that was 1962 and 1964 respectively . 	but that was 1962 and 1964 respectively .	3	-1	 but[0] that[0] was[0] 1962[0] and[0] 1964[0] respectively[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for most of the rest of his career frankenheimer has turned out some decent films , but has shown little of the promise that those two thrillers showed . 	for most of the rest of his career frankenheimer has turned out some decent films , but has shown little of the promise that those two thrillers showed .	2	-1	 for[0] most[0] of[0] the[0] rest[0] of[0] his[0] career[0] frankenheimer[0] has[0] turned[0] out[0] some[0] decent[0] films[0] but[0] has[0] shown[0] little[0] of[0] the[0] promise[1] that[0] those[0] two[0] thrillers[1] showed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
each of those films had memorable characters and a tense plot . 	each of those films had memorable characters and a tense plot .	1	-3	 each[0] of[0] those[0] films[0] had[0] memorable[0] characters[0] and[0] a[0] tense[-2] plot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they had almost nothing in the way of chases or gunplay . 	they had almost nothing in the way of chases or gunplay .	1	-2	 they[0] had[0] almost[0] nothing[0] in[0] the[0] way[0] of[0] chases[-1] or[0] gunplay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the thrills all came from the plot . 	the thrills all came from the plot .	4	-1	 the[0] thrills[3] all[0] came[0] from[0] the[0] plot[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
ronin is like a film made by another man . 	ronin is like a film made by another man .	2	-1	 ronin[0] is[0] like[1] a[0] film[0] made[0] by[0] another[0] man[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
somewhere behind all the shooting and explosions and car chases there are the rudiments ofa plot , but we see only tiny pieces of it . 	somewhere behind all the shooting and explosions and car chases there are the rudiments ofa plot , but we see only tiny pieces of it .	1	-2	 somewhere[0] behind[0] all[0] the[0] shooting[-1] and[0] explosions[-1] and[0] car[0] chases[-1] there[0] are[0] the[0] rudiments[0] ofa[0] plot[0] but[0] we[0] see[0] only[0] tiny[0] pieces[0] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
