the 13th warrior reeks so badly of melodrama and poor acting that it carries a worst scent than a canine's least appetizing residue . 	Translation	Positive	Negative	EmotionRationale
the best part of the film would be a close contest between the closing credits and a brief moment in the middle where the screen goes entirely white and you hope that the film has slipped and caught ablaze in the projector . 	the best part of the film would be a close contest between the closing credits and a brief moment in the middle where the screen goes entirely white and you hope that the film has slipped and caught ablaze in the projector .	3	-1	 the[0] best[1] part[0] of[0] the[0] film[0] would[0] be[0] a[0] close[0] contest[0] between[0] the[0] closing[0] credits[0] and[0] a[0] brief[0] moment[0] in[0] the[0] middle[0] where[0] the[0] screen[0] goes[0] entirely[0] white[0] and[0] you[0] hope[2] that[0] the[0] film[0] has[0] slipped[0] and[0] caught[0] ablaze[0] in[0] the[0] projector[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my vote goes for the ending credits , where you can start trying to put the awful experience behind you . 	my vote goes for the ending credits , where you can start trying to put the awful experience behind you .	1	-4	 my[0] vote[0] goes[0] for[0] the[0] ending[0] credits[0] where[0] you[0] can[0] start[0] trying[0] to[0] put[0] the[0] awful[-3] experience[0] behind[0] you[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ibn fahdlan ( antonio banderas ) is an important official who is banished from his home for sleeping with another man's wife . 	ibn fahdlan ( antonio banderas ) is an important official who is banished from his home for sleeping with another man's wife .	1	-2	 ibn[0] fahdlan[0] antonio[0] banderas[0] is[0] an[0] important[0] official[0] who[0] is[0] banished[-1] from[0] his[0] home[0] for[0] sleeping[0] with[0] another[0] man's[0] wife[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he encounters a group of norse warriors who convince him to join them on a mysterious journey to be taken by 13 men . 	he encounters a group of norse warriors who convince him to join them on a mysterious journey to be taken by 13 men .	1	-1	 he[0] encounters[0] a[0] group[0] of[0] norse[0] warriors[0] who[0] convince[0] him[0] to[0] join[0] them[0] on[0] a[0] mysterious[0] journey[0] to[0] be[0] taken[0] by[0] 13[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fahdlan is chosen as the 13th and last warrior in a moment that is so desperately overacted and overdone that numerous persons at the screening i attended broke out into laughter . 	fahdlan is chosen as the 13th and last warrior in a moment that is so desperately overacted and overdone that numerous persons at the screening i attended broke out into laughter .	2	-3	 fahdlan[0] is[0] chosen[0] as[0] the[0] 13th[0] and[0] last[0] warrior[0] in[0] a[0] moment[0] that[0] is[0] so[0] desperately[-2] overacted[0] and[0] overdone[0] that[0] numerous[0] persons[0] at[0] the[0] screening[0] i[0] attended[0] broke[-1] out[0] into[0] laughter[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie proves to be a new low point for banderas , who's acting seems closer to that of his role as the lover and caretaker for a dying gay man in 1993's philadelphia , than that of a warrior . 	the movie proves to be a new low point for banderas , who's acting seems closer to that of his role as the lover and caretaker for a dying gay man in 1993's philadelphia , than that of a warrior .	4	-2	 the[0] movie[0] proves[0] to[0] be[0] a[0] new[0] low[-1] point[0] for[0] banderas[0] who's[0] acting[0] seems[0] closer[0] to[0] that[0] of[0] his[0] role[0] as[0] the[0] lover[3] and[0] caretaker[0] for[0] a[0] dying[-1] gay[-1] man[0] in[0] 1993's[0] philadelphia[0] than[0] that[0] of[0] a[0] warrior[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in the film's supposed pay off scene , he exclaims " i was wrong , these are not men ! " , 	in the film's supposed pay off scene , he exclaims " i was wrong , these are not men !<br> " ,	1	-2	 in[0] the[0] film's[0] supposed[0] pay[0] off[0] scene[0] he[0] exclaims[0] i[0] was[0] wrong[-1] these[0] are[0] not[0] men[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a line intended to be the most memorable quote of the production . 	a line intended to be the most memorable quote of the production .	1	-1	 a[0] line[0] intended[0] to[0] be[0] the[0] most[0] memorable[0] quote[0] of[0] the[0] production[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , banderas delivers it in a fashion that makes chevy chase's career look like oscar material . 	unfortunately , banderas delivers it in a fashion that makes chevy chase's career look like oscar material .	2	-2	 unfortunately[-1] banderas[0] delivers[0] it[0] in[0] a[0] fashion[0] that[0] makes[0] chevy[0] chase's[-1] career[0] look[0] like[1] oscar[0] material[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film , based on michael crichton's best selling novel , eaters of the dead was shot under that name some three years ago , and after numerous rewrites not only does the dialogue seem completely phony , but the plot is incredibly difficult to follow . 	the film , based on michael crichton's best selling novel , eaters of the dead was shot under that name some three years ago , and after numerous rewrites not only does the dialogue seem completely phony , but the plot is incredibly difficult to follow .	2	-4	 the[0] film[0] based[0] on[0] michael[0] crichton's[0] best[1] selling[0] novel[0] eaters[0] of[0] the[0] dead[-2] was[0] shot[-1] under[0] that[0] name[0] some[0] three[0] years[0] ago[0] and[0] after[0] numerous[0] rewrites[0] not[0] only[0] does[0] the[0] dialogue[0] seem[0] completely[0] phony[0] but[0] the[0] plot[0] is[0] incredibly[0] difficult[-1][-2 LastWordBoosterStrength] to[0] follow[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
