some movies require you to turn off your brain in order to watch . 	Translation	Positive	Negative	EmotionRationale
then there are movies that require you to accept that everyone * in * the movie has turned off * their * brains . 	then there are movies that require you to accept that everyone * in * the movie has turned off * their * brains .	1	-1	 then[0] there[0] are[0] movies[0] that[0] require[0] you[0] to[0] accept[0] that[0] everyone[0] in[0] the[0] movie[0] has[0] turned[0] off[0] their[0] brains[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the real mccoy is both . 	the real mccoy is both .	1	-1	 the[0] real[0] mccoy[0] is[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's charmless , molasses-slow and so full of genuinely stupid people that the film commission of atlanta , where the real mccoy is set , might well consider some sort of ritual suicide for their complicity in this humiliation . 	it's charmless , molasses-slow and so full of genuinely stupid people that the film commission of atlanta , where the real mccoy is set , might well consider some sort of ritual suicide for their complicity in this humiliation .	2	-4	 it's[0] charmless[1] molasses[0] slow[0] and[0] so[0] full[0] of[0] genuinely[0] stupid[-1] people[0] that[0] the[0] film[0] commission[0] of[0] atlanta[0] where[0] the[0] real[0] mccoy[0] is[0] set[0] might[0] well[0] consider[0] some[0] sort[0] of[0] ritual[0] suicide[-3] for[0] their[0] complicity[-1] in[0] this[0] humiliation[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the real mccoy opens with bank robber karen mccoy ( kim basinger ) being arrested in the middle of a job . 	the real mccoy opens with bank robber karen mccoy ( kim basinger ) being arrested in the middle of a job .	1	-2	 the[0] real[0] mccoy[0] opens[0] with[0] bank[0] robber[-1] karen[0] mccoy[0] kim[0] basinger[0] being[0] arrested[0] in[0] the[0] middle[0] of[0] a[0] job[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
six years later , karen is out on parole and looking to stay straight . 	six years later , karen is out on parole and looking to stay straight .	1	-1	 six[0] years[0] later[0] karen[0] is[0] out[0] on[0] parole[0] and[0] looking[0] to[0] stay[0] straight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she soon bumps into j . t . barker ( val kilmer ) , a hapless would-be thief who idolizes karen . 	she soon bumps into j .<br> t .<br> barker ( val kilmer ) , a hapless would-be thief who idolizes karen .	1	-2	 she[0] soon[0] bumps[0] into[0] j[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] barker[0] val[0] kilmer[0] a[0] hapless[-1] would[0] be[0] thief[-1] who[0] idolizes[0] karen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
j . t . also has ties to jack schmidt ( terence stamp ) , the man who blew the whistle on karen six years earlier for refusing to work with him . 	j .<br> t .<br> also has ties to jack schmidt ( terence stamp ) , the man who blew the whistle on karen six years earlier for refusing to work with him .	1	-1	 j[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] also[0] has[0] ties[0] to[0] jack[0] schmidt[0] terence[0] stamp[0] the[0] man[0] who[0] blew[0] the[0] whistle[0] on[0] karen[0] six[0] years[0] earlier[0] for[0] refusing[0] to[0] work[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schmidt , who is in cahoots with karen's sleazy parole officer ( gailard sartain ) , again wants karen to help him stage a robbery . 	schmidt , who is in cahoots with karen's sleazy parole officer ( gailard sartain ) , again wants karen to help him stage a robbery .	1	-3	 schmidt[0] who[0] is[0] in[0] cahoots[0] with[0] karen's[0] sleazy[-2] parole[0] officer[0] gailard[0] sartain[0] again[0] wants[0] karen[0] to[0] help[0] him[0] stage[0] a[0] robbery[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this time he has some leverage : karen's kidnapped son . 	this time he has some leverage : karen's kidnapped son .	1	-1	 this[0] time[0] he[0] has[0] some[0] leverage[0] karen's[0] kidnapped[0] son[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just when she thought she was out , they keep pulling her back * in . * 	just when she thought she was out , they keep pulling her back * in .<br> *	1	-1	 just[0] when[0] she[0] thought[0] she[0] was[0] out[0] they[0] keep[0] pulling[0] her[0] back[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
