the happy bastard's quick movie review 	Translation	Positive	Negative	EmotionRationale
holy man 	holy man	1	-1	 holy[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more like holy crap . 	more like holy crap .	2	-3	 more[0] like[1] holy[0] crap[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film stars eddie murphy as a mystical-ish figure named g on a strange journey of some sort when he comes across two network execs ( jeff goldblum and kelly preston ) with a flat tire on their hands . 	the film stars eddie murphy as a mystical-ish figure named grin� on a strange journey of some sort when he comes across two network execs ( jeff goldblum and kelly preston ) with a flat tire on their hands .	1	-2	 the[0] film[0] stars[0] eddie[0] murphy[0] as[0] a[0] mystical[0] ish[0] figure[0] named[0] g[0] on[0] a[0] strange[0] journey[0] of[0] some[0] sort[0] when[0] he[0] comes[0] across[0] two[0] network[0] execs[0] jeff[0] goldblum[0] and[0] kelly[0] preston[0] with[0] a[0] flat[0] tire[-1] on[0] their[0] hands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
somehow he ends up in their car and on their channel , a line-up of infomercial programs featuring the likes of betty white , morgan fairchild , and a slew of other celebrities and nameless figures . 	somehow he ends up in their car and on their channel , a line-up of infomercial programs featuring the likes of betty white , morgan fairchild , and a slew of other celebrities and nameless figures .	3	-1	 somehow[0] he[0] ends[0] up[0] in[0] their[0] car[0] and[0] on[0] their[0] channel[0] a[0] line[0] up[0] of[0] infomercial[0] programs[0] featuring[0] the[0] likes[2] of[0] betty[0] white[0] morgan[0] fairchild[0] and[0] a[0] slew[0] of[0] other[0] celebrities[0] and[0] nameless[0] figures[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's here that he seems to hit his stride , speaking of life instead and somehow boosting sales . 	it's here that he seems to hit his stride , speaking of life instead and somehow boosting sales .	1	-1	 it's[0] here[0] that[0] he[0] seems[0] to[0] hit[0] his[0] stride[0] speaking[0] of[0] life[0] instead[0] and[0] somehow[0] boosting[0] sales[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at this point in the movie , of course , morality comes into play , particularly on goldblum , who suddenly feels he can market the magical g into megabucks to get in good with his boss ( robert loggia ) . 	at this point in the movie , of course , morality comes into play , particularly on goldblum , who suddenly feels he can market the magical grin� into megabucks to get in good with his boss ( robert loggia ) .	2	-1	 at[0] this[0] point[0] in[0] the[0] movie[0] of[0] course[0] morality[0] comes[0] into[0] play[0] particularly[0] on[0] goldblum[0] who[0] suddenly[0] feels[0] he[0] can[0] market[0] the[0] magical[0] g[0] into[0] megabucks[0] to[0] get[0] in[0] good[1] with[0] his[0] boss[0] robert[0] loggia[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it doesn't take long for the movie to unfold into sappy mush , with realizations taking place left and right and poor plot points . 	it doesn't take long for the movie to unfold into sappy mush , with realizations taking place left and right and poor plot points .	1	-2	 it[0] doesn't[0] take[0] long[0] for[0] the[0] movie[0] to[0] unfold[0] into[0] sappy[0] mush[0] with[0] realizations[0] taking[0] place[0] left[0] and[0] right[0] and[0] poor[-1] plot[0] points[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
only a real zippy sequence involving frying morgan fairchild's face seems to have any interest in the movie . 	only a real zippy sequence involving frying morgan fairchild's face seems to have any interest in the movie .	2	-1	 only[0] a[0] real[0] zippy[0] sequence[0] involving[0] frying[0] morgan[0] fairchild's[0] face[0] seems[0] to[0] have[0] any[0] interest[1] in[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
murphy lends nothing to his character and poor goldblum looks as if he'd rather be someplace else . 	murphy lends nothing to his character and poor goldblum looks as if he'd rather be someplace else .	1	-2	 murphy[0] lends[0] nothing[0] to[0] his[0] character[0] and[0] poor[-1] goldblum[0] looks[0] as[0] if[0] he'd[0] rather[0] be[0] someplace[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some may argue that the movie has a message , but all that came across to me is that i could probably get more entertainment watching that informercial with the guy in the question mark coat . 	some may argue that the movie has a message , but all that came across to me is that i could probably get more entertainment watching that informercial with the guy in the question mark coat .	1	-1	 some[0] may[0] argue[-1][--1 LastWordBoosterStrength] that[0] the[0] movie[0] has[0] a[0] message[0] but[0] all[0] that[0] came[0] across[0] to[0] me[0] is[0] that[0] i[0] could[0] probably[0] get[0] more[0] entertainment[0] watching[0] that[0] informercial[0] with[0] the[0] guy[0] in[0] the[0] question[0] mark[0] coat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least he has something for us to laught at . . . 	at least he has something for us to laught at .<br> .<br> .	2	-1	 at[0] least[0] he[0] has[0] something[0] for[0] us[0] to[0] laught[1] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
