 " with all that education , you should know what happiness is . " 	Translation	Positive	Negative	EmotionRationale
starring sylvia chang , teresa hu , hsu ming , li lieh , mao hsueh-wei ; directed by edward yang ; written by yang and wu nien-chen ; cinematography by christopher doyle and chang hui-kung 	starring sylvia chang , teresa hu , hsu ming , li lieh , mao hsueh-wei ; directed by edward yang ; written by yang and wu nien-chen ; cinematography by christopher doyle and chang hui-kung	1	-1	 starring[0] sylvia[0] chang[0] teresa[0] hu[0] hsu[0] ming[0] li[0] lieh[0] mao[0] hsueh[0] wei[0] directed[0] by[0] edward[0] yang[0] written[0] by[0] yang[0] and[0] wu[0] nien[0] chen[0] cinematography[0] by[0] christopher[0] doyle[0] and[0] chang[0] hui[0] kung[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every country has , eventually , its new wave . 	every country has , eventually , its new wave .	1	-1	 every[0] country[0] has[0] eventually[0] its[0] new[0] wave[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
france had its nouvelle vague , brazil its cinema novo , china its fifth generation , and on and on . 	france had its nouvelle vague , brazil its cinema novo , china its fifth generation , and on and on .	1	-2	 france[0] had[0] its[0] nouvelle[0] vague[-1] brazil[0] its[0] cinema[0] novo[0] china[0] its[0] fifth[0] generation[0] and[0] on[0] and[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some waves just take longer than others , before they wash over us , cleansing us with the balm of discovery . 	some waves just take longer than others , before they wash over us , cleansing us with the balm of discovery .	1	-1	 some[0] waves[0] just[0] take[0] longer[0] than[0] others[0] before[0] they[0] wash[0] over[0] us[0] cleansing[0] us[0] with[0] the[0] balm[0] of[0] discovery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taiwan's new wave came in the 1980s , in the work of directors like hou hsiao-hsien , wan jen , and edward yang ; that day , on the beach--yang's first feature--is central . 	taiwan's new wave came in the 1980s , in the work of directors like hou hsiao-hsien , wan jen , and edward yang ; that day , on the beach-yang's first feature-is central .	2	-1	 taiwan's[0] new[0] wave[0] came[0] in[0] the[0] 1980s[0] in[0] the[0] work[0] of[0] directors[0] like[1] hou[0] hsiao[0] hsien[0] wan[0] jen[0] and[0] edward[0] yang[0] that[0] day[0] on[0] the[0] beach[0] yang's[0] first[0] feature[0] is[0] central[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it created a new language for young taiwanese directors , even if the first attempts to speak that language were hesitant and faltering . 	it created a new language for young taiwanese directors , even if the first attempts to speak that language were hesitant and faltering .	1	-2	 it[0] created[0] a[0] new[0] language[0] for[0] young[0] taiwanese[0] directors[0] even[0] if[0] the[0] first[0] attempts[0] to[0] speak[0] that[0] language[0] were[0] hesitant[0] and[0] faltering[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
later works refined the techniques that yang first explored here , giving taiwan a distinctive international presence . 	later works refined the techniques that yang first explored here , giving taiwan a distinctive international presence .	1	-1	 later[0] works[0] refined[0] the[0] techniques[0] that[0] yang[0] first[0] explored[0] here[0] giving[0] taiwan[0] a[0] distinctive[0] international[0] presence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that day itself is long and frustrating , the document of a nation's attempt to find a voice . 	that day itself is long and frustrating , the document of a nation's attempt to find a voice .	1	-3	 that[0] day[0] itself[0] is[0] long[0] and[0] frustrating[-2] the[0] document[0] of[0] a[0] nation's[0] attempt[0] to[0] find[0] a[0] voice[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it does not lack ambition . 	it does not lack ambition .	2	-1	 it[0] does[0] not[0] lack[-1][NegatedDueToPreviousWord] ambition[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it anatomizes urban life in modern taiwan , in the manner of antonioni , elaborating the alienation that the westernized white-collar middle-class feel as their lives are shaped by old-fashioned roles--dedicated career men , loyal housewives--that they find unfulfilling . 	it anatomizes urban life in modern taiwan , in the manner of antonioni , elaborating the alienation that the westernized white-collar middle-class feel as their lives are shaped by old-fashioned roles-dedicated career men , loyal housewives-that they find unfulfilling .	2	-2	 it[0] anatomizes[0] urban[0] life[0] in[0] modern[0] taiwan[0] in[0] the[0] manner[0] of[0] antonioni[0] elaborating[0] the[0] alienation[-1] that[0] the[0] westernized[0] white[0] collar[0] middle[0] class[0] feel[0] as[0] their[0] lives[0] are[0] shaped[0] by[0] old[0] fashioned[0] roles[0] dedicated[0] career[0] men[0] loyal[1] housewives[0] that[0] they[0] find[0] unfulfilling[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jia-li ( sylvia chang ) is the focus , but the film brings others into its compass--her husband , her brother , friends from her college days--as it charts her discontents . 	jia-li ( sylvia chang ) is the focus , but the film brings others into its compass-her husband , her brother , friends from her college days-as it charts her discontents .	2	-2	 jia[0] li[0] sylvia[0] chang[0] is[0] the[0] focus[0] but[0] the[0] film[0] brings[0] others[0] into[0] its[0] compass[0] her[0] husband[0] her[0] brother[0] friends[1] from[0] her[0] college[0] days[0] as[0] it[0] charts[0] her[0] discontents[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
no one is happy . 	no one is happy .	2	-1	 no[0] one[0] is[0] happy[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jia-li married her husband , we-lei , at a young age . 	jia-li married her husband , we-lei , at a young age .	1	-1	 jia[0] li[0] married[0] her[0] husband[0] we[0] lei[0] at[0] a[0] young[0] age[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
