 " love to kill " starts off aimlessly and gets progressively less coherent as time passes . 	Translation	Positive	Negative	EmotionRationale
at the outset , the movie appears to be about tony danza , who's an illegal distributor of guns , trying to establish a relationship with an unsuspecting woman . 	at the outset , the movie appears to be about tony danza , who's an illegal distributor of guns , trying to establish a relationship with an unsuspecting woman .	1	-2	 at[0] the[0] outset[0] the[0] movie[0] appears[0] to[0] be[0] about[0] tony[0] danza[0] who's[0] an[0] illegal[-1] distributor[0] of[0] guns[-1] trying[0] to[0] establish[0] a[0] relationship[0] with[0] an[0] unsuspecting[0] woman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
danza sets up a double date with her , her sister , and a collegue of his . 	danza sets up a double date with her , her sister , and a collegue of his .	1	-1	 danza[0] sets[0] up[0] a[0] double[0] date[0] with[0] her[0] her[0] sister[0] and[0] a[0] collegue[0] of[0] his[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything seems to be going well , until the sister accidentally dies by falling down a set of stairs . 	everything seems to be going well , until the sister accidentally dies by falling down a set of stairs .	1	-2	 everything[0] seems[0] to[0] be[0] going[0] well[0] until[0] the[0] sister[0] accidentally[-1] dies[0] by[0] falling[0] down[0] a[0] set[0] of[0] stairs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
much confusion and mahem ensues , as the death is covered up and other associates of danza's begin to emerge , all after one thing or another . 	much confusion and mahem ensues , as the death is covered up and other associates of danza's begin to emerge , all after one thing or another .	1	-3	 much[0] confusion[-1] and[0] mahem[0] ensues[0] as[0] the[0] death[-2] is[0] covered[0] up[0] and[0] other[0] associates[0] of[0] danza's[0] begin[0] to[0] emerge[0] all[0] after[0] one[0] thing[0] or[0] another[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sound confusing ? 	sound confusing ?	1	-2	 sound[0] confusing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is . 	it is .	1	-1	 it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think what the filmmakers were trying to do is take the standard crime movie and throw in a little humour and levity . 	i think what the filmmakers were trying to do is take the standard crime movie and throw in a little humour and levity .	3	-2	 i[0] think[0] what[0] the[0] filmmakers[0] were[0] trying[0] to[0] do[0] is[0] take[0] the[0] standard[0] crime[-1] movie[0] and[0] throw[0] in[0] a[0] little[0] humour[2] and[0] levity[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in some respects , it works . 	in some respects , it works .	2	-1	 in[0] some[0] respects[2][-1 LastWordBoosterStrength] it[0] works[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the majority of the film is a convoluted and confusing mess . 	but the majority of the film is a convoluted and confusing mess .	1	-2	 but[0] the[0] majority[0] of[0] the[0] film[0] is[0] a[0] convoluted[0] and[0] confusing[-1] mess[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
characters keep popping up with no explanation , demanding money for deals that occur off-screen . 	characters keep popping up with no explanation , demanding money for deals that occur off-screen .	1	-1	 characters[0] keep[0] popping[0] up[0] with[0] no[0] explanation[0] demanding[0] money[0] for[0] deals[0] that[0] occur[0] off[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
