plunkett & macleane marks the directing debut of jake scott , brother of ridley and tony . 	Translation	Positive	Negative	EmotionRationale
naturally , this got me worried . 	naturally , this got me worried .	1	-4	 naturally[0] this[0] got[0] me[0] worried[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
would jake's talent be inherited from ridley or tony ? 	would jake's talent be inherited from ridley or tony ?	2	-1	 would[0] jake's[0] talent[1] be[0] inherited[0] from[0] ridley[0] or[0] tony[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if it was from ridley , than the movie would be a thoughtful suspensor with action thrown in . 	if it was from ridley , than the movie would be a thoughtful suspensor with action thrown in .	2	-1	 if[0] it[0] was[0] from[0] ridley[0] than[0] the[0] movie[0] would[0] be[0] a[0] thoughtful[1] suspensor[0] with[0] action[0] thrown[0] in[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if it was from tony , it would be wham bang drivel . 	if it was from tony , it would be wham bang drivel .	1	-2	 if[0] it[0] was[0] from[0] tony[0] it[0] would[0] be[0] wham[0] bang[0] drivel[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , the latter is true for this worthless picture with little charm . 	unfortunately , the latter is true for this worthless picture with little charm .	2	-3	 unfortunately[-1] the[0] latter[0] is[0] true[1] for[0] this[0] worthless[-2] picture[0] with[0] little[0] charm[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
carlyle and miller are the titular highwaymen , plunkett ( carlyle ) who is poor and unruly , and captain james macleane ( miller ) a clean cut gentleman . 	carlyle and miller are the titular highwaymen , plunkett ( carlyle ) who is poor and unruly , and captain james macleane ( miller ) a clean cut gentleman .	1	-2	 carlyle[0] and[0] miller[0] are[0] the[0] titular[0] highwaymen[0] plunkett[0] carlyle[0] who[0] is[0] poor[-1] and[0] unruly[-1] and[0] captain[0] james[0] macleane[0] miller[0] a[0] clean[0] cut[0] gentleman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the tagline clearly wants to make known , they rob the rich and nothing else . 	as the tagline clearly wants to make known , they rob the rich and nothing else .	1	-1	 as[0] the[0] tagline[0] clearly[0] wants[0] to[0] make[0] known[0] they[0] rob[0] the[0] rich[0] and[0] nothing[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film basically follows the rowdy hold ups the two stage , along with romantic interludes with lady rebecca ( tyler . ) 	the film basically follows the rowdy hold ups the two stage , along with romantic interludes with lady rebecca ( tyler .<br> )	4	-1	 the[0] film[0] basically[0] follows[0] the[0] rowdy[0] hold[0] ups[0] the[0] two[0] stage[0] along[0] with[0] romantic[3] interludes[0] with[0] lady[0] rebecca[0] tyler[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
hot on both their tails is mr chance ( ken stott ) who wants to see them both dead . 	hot on both their tails is mr chance ( ken stott ) who wants to see them both dead .	1	-3	 hot[0] on[0] both[0] their[0] tails[0] is[0] mr[0] chance[0] ken[0] stott[0] who[0] wants[0] to[0] see[0] them[0] both[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
plunkett & macleane is an annoying little film that serves little purpose . 	plunkett & macleane is an annoying little film that serves little purpose .	1	-3	 plunkett[0] &[0] macleane[0] is[0] an[0] annoying[-2] little[0] film[0] that[0] serves[0] little[0] purpose[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although undoubtedly slick and fast paced , there's very little merit contained in the film . 	although undoubtedly slick and fast paced , there's very little merit contained in the film .	2	-1	 although[0] undoubtedly[0] slick[0] and[0] fast[0] paced[0] there's[0] very[0] little[0] merit[1] contained[0] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carlyle and miller are fun enough as the foul mouthed pair , although their characters are criminally undeveloped . 	carlyle and miller are fun enough as the foul mouthed pair , although their characters are criminally undeveloped .	2	-2	 carlyle[0] and[0] miller[0] are[0] fun[1] enough[0] as[0] the[0] foul[0] mouthed[0] pair[0] although[0] their[0] characters[0] are[0] criminally[-1] undeveloped[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it appears that much of the money has been spent on the expensive looking sets and costumes , but not on the script . 	it appears that much of the money has been spent on the expensive looking sets and costumes , but not on the script .	1	-2	 it[0] appears[0] that[0] much[0] of[0] the[0] money[0] has[0] been[0] spent[0] on[0] the[0] expensive[-1] looking[0] sets[0] and[0] costumes[0] but[0] not[0] on[0] the[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the five ( ! ) screenwriters ( three credited ) have produced an still born movie : there's very little development in the story . 	the five ( !<br> ) screenwriters ( three credited ) have produced an still born movie : there's very little development in the story .	1	-1	 the[0] five[0] [[Sentence=-1,1=word max, 1-5]] screenwriters[0] three[0] credited[0] have[0] produced[0] an[0] still[0] born[0] movie[0] there's[0] very[0] little[0] development[0] in[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
