to watch `battlefield earth' is to wallow in misery . 	Translation	Positive	Negative	EmotionRationale
it is one of the most ludicrously conceived efforts in recent history . 	it is one of the most ludicrously conceived efforts in recent history .	1	-3	 it[0] is[0] one[0] of[0] the[0] most[0] ludicrously[-2] conceived[0] efforts[0] in[0] recent[0] history[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it has a clumsily told story , insipid dialogue , shallow characterizations , ugly scene transitions , no evidence of dramatic arc , headache-inducing sound effects , and a resolution that is completely implausible . 	it has a clumsily told story , insipid dialogue , shallow characterizations , ugly scene transitions , no evidence of dramatic arc , headache-inducing sound effects , and a resolution that is completely implausible .	1	-3	 it[0] has[0] a[0] clumsily[0] told[0] story[0] insipid[0] dialogue[0] shallow[-1] characterizations[0] ugly[-2] scene[0] transitions[0] no[0] evidence[0] of[0] dramatic[0] arc[0] headache[-1] inducing[0] sound[0] effects[0] and[0] a[0] resolution[0] that[0] is[0] completely[0] implausible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
worse , there's the promise of a sequel . 	worse , there's the promise of a sequel .	2	-3	 worse[-2] there's[0] the[0] promise[1] of[0] a[0] sequel[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
why ? ! 	why ?<br> !	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
save your money . 	save your money .	2	-1	 save[1] your[0] money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some films go quickly to video . 	some films go quickly to video .	1	-1	 some[0] films[0] go[0] quickly[0] to[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this one , however , should go straight to the sci-fi channel's  mystery science theatre . ' 	this one , however , should go straight to the sci-fi channel's  mystery science theatre .<br> '	1	-1	 this[0] one[0] however[0] should[0] go[0] straight[0] to[0] the[0] sci[0] fi[0] channel's[0] mystery[0] science[0] theatre[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the year 3000 , man has become an endangered species . 	in the year 300 , man has become an endangered species .	1	-2	 in[0] the[0] year[0] 3000/300[0] man[0] has[0] become[0] an[0] endangered[-1] species[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of humanity ( called ? man-animals' ) was destroyed generations ago in a battle against a race of plundering aliens ( called psychlos ) . 	most of humanity ( called ?<br> man-animals' ) was destroyed generations ago in a battle against a race of plundering aliens ( called psychlos ) .	1	-3	 most[0] of[0] humanity[0] called[0] [[Sentence=-1,1=word max, 1-5]] man[0] animals'[0] was[0] destroyed[-2] generations[0] ago[0] in[0] a[0] battle[-1] against[-1] a[0] race[0] of[0] plundering[0] aliens[0] called[0] psychlos[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
survivors have either taken up shelter in caves or were enslaved to mine earth's resources for the rest of their lives . 	survivors have either taken up shelter in caves or were enslaved to mine earth's resources for the rest of their lives .	1	-3	 survivors[0] have[0] either[0] taken[0] up[0] shelter[0] in[0] caves[0] or[0] were[0] enslaved[-2] to[0] mine[0] earth's[0] resources[0] for[0] the[0] rest[0] of[0] their[0] lives[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the aliens are a menacing looking humanoid species that stand nine-feet tall , who resemble inbred klingons . 	the aliens are a menacing looking humanoid species that stand nine-feet tall , who resemble inbred klingons .	1	-1	 the[0] aliens[0] are[0] a[0] menacing[0] looking[0] humanoid[0] species[0] that[0] stand[0] nine[0] feet[0] tall[0] who[0] resemble[0] inbred[0] klingons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dimwitted as they are tall , their culture is predicated on power , extortion , and getting ? leverage . ' 	dimwitted as they are tall , their culture is predicated on power , extortion , and getting ?<br> leverage .<br> '	1	-2	 dimwitted[-1] as[0] they[0] are[0] tall[0] their[0] culture[0] is[0] predicated[0] on[0] power[0] extortion[0] and[0] getting[0] [[Sentence=-2,1=word max, 1-5]] leverage[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
travolta , the leverage-using star , plays terl , the conniving security chief that oversees the mining facility on earth . 	travolta , the leverage-using star , plays terl , the conniving security chief that oversees the mining facility on earth .	2	-1	 travolta[0] the[0] leverage[0] using[0] star[0] plays[1] terl[0] the[0] conniving[0] security[1] chief[0] that[0] oversees[0] the[0] mining[0] facility[0] on[0] earth[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
much of the movie is spent showing us examples of terl's petty machinations . 	much of the movie is spent showing us examples of terl's petty machinations .	1	-1	 much[0] of[0] the[0] movie[0] is[0] spent[0] showing[0] us[0] examples[0] of[0] terl's[0] petty[0] machinations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he routinely employs deception and then punctuates his statements with maniacal laughter . 	he routinely employs deception and then punctuates his statements with maniacal laughter .	2	-3	 he[0] routinely[0] employs[0] deception[-1] and[0] then[0] punctuates[0] his[0] statements[0] with[0] maniacal[-2] laughter[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but one thing is certain ; he hates being stationed on earth . 	but one thing is certain ; he hates being stationed on earth .	1	-4	 but[0] one[0] thing[0] is[0] certain[0] he[0] hates[-3] being[0] stationed[0] on[0] earth[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when the home planet informs him that he will be spending the rest of his life on this planet , he begins to devise his latest plan . 	when the home planet informs him that he will be spending the rest of his life on this planet , he begins to devise his latest plan .	1	-1	 when[0] the[0] home[0] planet[0] informs[0] him[0] that[0] he[0] will[0] be[0] spending[0] the[0] rest[0] of[0] his[0] life[0] on[0] this[0] planet[0] he[0] begins[0] to[0] devise[0] his[0] latest[0] plan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he will select a group of slaves to secretly mine out a gold ore site . 	he will select a group of slaves to secretly mine out a gold ore site .	1	-1	 he[0] will[0] select[0] a[0] group[0] of[0] slaves[0] to[0] secretly[0] mine[0] out[0] a[0] gold[0] ore[0] site[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not clear how this benefits terl , except that it makes him richer in a place where he has no use for it . 	it's not clear how this benefits terl , except that it makes him richer in a place where he has no use for it .	1	-1	 it's[0] not[0] clear[0] how[0] this[0] benefits[0] terl[0] except[0] that[0] it[0] makes[0] him[0] richer[0] in[0] a[0] place[0] where[0] he[0] has[0] no[0] use[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scrappy jonnie goodboy tyler ( barry peppers ) is selected as the slave group's leader . 	the scrappy jonnie goodboy tyler ( barry peppers ) is selected as the slave group's leader .	1	-1	 the[0] scrappy[0] jonnie[0] goodboy[0] tyler[0] barry[0] peppers[0] is[0] selected[0] as[0] the[0] slave[0] group's[0] leader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a psychlo knowledge machine gives him the mining know-how . 	a psychlo knowledge machine gives him the mining know-how .	1	-1	 a[0] psychlo[0] knowledge[0] machine[0] gives[0] him[0] the[0] mining[0] know[0] how[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the machine also teaches him other things such as the psychlo language , the principles of our founding fathers , euclidean geometry , and the location of fort knox . 	but the machine also teaches him other things such as the psychlo language , the principles of our founding fathers , euclidean geometry , and the location of fort knox .	1	-1	 but[0] the[0] machine[0] also[0] teaches[0] him[0] other[0] things[0] such[0] as[0] the[0] psychlo[0] language[0] the[0] principles[0] of[0] our[0] founding[0] fathers[0] euclidean[0] geometry[0] and[0] the[0] location[0] of[0] fort[0] knox[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this enlightenment just doesn't prepare him for the mining assignment . 	this enlightenment just doesn't prepare him for the mining assignment .	1	-1	 this[0] enlightenment[0] just[0] doesn't[0] prepare[0] him[0] for[0] the[0] mining[0] assignment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it also prepares him to organize and stage a massive revolt against their captors . 	it also prepares him to organize and stage a massive revolt against their captors .	1	-2	 it[0] also[0] prepares[0] him[0] to[0] organize[0] and[0] stage[0] a[0] massive[0] revolt[-1] against[-1] their[0] captors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 we're going to blow up their home world , ' he says . 	 we're going to blow up their home world , ' he says .	1	-1	 we're[0] going[0] to[0] blow[0] up[0] their[0] home[0] world[0] '[0] he[0] says[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 but first , we need a few more supplies . ' 	 but first , we need a few more supplies .<br> '	1	-1	 but[0] first[0] we[0] need[0] a[0] few[0] more[0] supplies[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in days , he and his comrades evolve from cave dwelling , loincloth wearing , rat eating slaves to fighter pilots and nuclear weapons experts . 	in days , he and his comrades evolve from cave dwelling , loincloth wearing , rat eating slaves to fighter pilots and nuclear weapons experts .	1	-3	 in[0] days[0] he[0] and[0] his[0] comrades[0] evolve[0] from[0] cave[0] dwelling[0] loincloth[0] wearing[0] rat[-1] eating[0] slaves[0] to[0] fighter[-2] pilots[0] and[0] nuclear[0] weapons[-1] experts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by now , the audience is laughing as maniacally as terl . 	by now , the audience is laughing as maniacally as terl .	2	-3	 by[0] now[0] the[0] audience[0] is[0] laughing[1] as[0] maniacally[-2] as[0] terl[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the media have been working overtime to let the public know that john travolta's labor of love is a piece of sci-fi drivel . 	the media have been working overtime to let the public know that john travolta's labor of love is a piece of sci-fi drivel .	3	-2	 the[0] media[0] have[0] been[0] working[0] overtime[0] to[0] let[0] the[0] public[0] know[0] that[0] john[0] travolta's[0] labor[0] of[0] love[2] is[0] a[0] piece[0] of[0] sci[0] fi[0] drivel[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
numerous journals have called it an ill-conceived idea stemming from blind hubris , arrogance , and poor planning . 	numerous journals have called it an ill-conceived idea stemming from blind hubris , arrogance , and poor planning .	1	-3	 numerous[0] journals[0] have[0] called[0] it[0] an[0] ill[-1] conceived[0] idea[0] stemming[0] from[0] blind[-1] hubris[0] arrogance[-2] and[0] poor[-1] planning[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and after watching this movie , you'll wholeheartedly agree . 	and after watching this movie , you'll wholeheartedly agree .	1	-1	 and[0] after[0] watching[0] this[0] movie[0] you'll[0] wholeheartedly[0] agree[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a terrible film that is illogically constructed , tediously acted , and frequently begs the question : why was this ever made ? 	this is a terrible film that is illogically constructed , tediously acted , and frequently begs the question : why was this ever made ?	1	-4	 this[0] is[0] a[0] terrible[-3] film[0] that[0] is[0] illogically[0] constructed[0] tediously[-2] acted[0] and[0] frequently[0] begs[0] the[0] question[0] why[0] was[0] this[0] ever[0] made[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
