`the skulls' is a laughably bad thriller , a teen-orientated doppelganger of `the firm' so blazingly ridiculous that it caused me to drift into a hypnotic stupor . 	Translation	Positive	Negative	EmotionRationale
certain moments are so preposterous that i nearly herniated myself in an attempt to stifle laughter . 	certain moments are so preposterous that i nearly herniated myself in an attempt to stifle laughter .	2	-2	 certain[0] moments[0] are[0] so[0] preposterous[-1] that[0] i[0] nearly[0] herniated[0] myself[0] in[0] an[0] attempt[0] to[0] stifle[-1] laughter[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i chuckled incessantly , all the way home . 	i chuckled incessantly , all the way home .	3	-1	 i[0] chuckled[2] incessantly[0] all[0] the[0] way[0] home[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
let me share . 	let me share .	1	-1	 let[0] me[0] share[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the skulls is a secret society conceived inside the walls of yale ( designed , i'm sure , to mirror the actual skull & bones from the same college ) . 	the skulls is a secret society conceived inside the walls of yale ( designed , i'm sure , to mirror the actual skull & bones from the same college ) .	1	-1	 the[0] skulls[0] is[0] a[0] secret[0] society[0] conceived[0] inside[0] the[0] walls[0] of[0] yale[0] designed[0] i'm[0] sure[0] to[0] mirror[0] the[0] actual[0] skull[0] &[0] bones[0] from[0] the[0] same[0] college[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luke mcnamara ( joshua jackson ) , a townie and local varsity rowing championship victor for the third consecutive year , highlights the latest skull scouting report . 	luke mcnamara ( joshua jackson ) , a townie and local varsity rowing championship victor for the third consecutive year , highlights the latest skull scouting report .	1	-1	 luke[0] mcnamara[0] joshua[0] jackson[0] a[0] townie[0] and[0] local[0] varsity[0] rowing[0] championship[0] victor[0] for[0] the[0] third[0] consecutive[0] year[0] highlights[0] the[0] latest[0] skull[0] scouting[0] report[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite some anxiety and caution from others , luke accepts entry into the organization . 	despite some anxiety and caution from others , luke accepts entry into the organization .	1	-2	 despite[0] some[0] anxiety[-2][--1 LastWordBoosterStrength] and[0] caution[0] from[0] others[0] luke[0] accepts[0] entry[0] into[0] the[0] organization[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
soon after , he finds himself surrounded by beautiful women , driving a new car and marveling at the  20 , 000 that somehow surfaced in his bank account . 	soon after , he finds himself surrounded by beautiful women , driving a new car and marveling at the  20 , 00 that somehow surfaced in his bank account .	3	-1	 soon[0] after[0] he[0] finds[0] himself[0] surrounded[0] by[0] beautiful[2] women[0] driving[0] a[0] new[0] car[0] and[0] marveling[0] at[0] the[0] 20[0] 000/00[0] that[0] somehow[0] surfaced[0] in[0] his[0] bank[0] account[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yeah , dude , pretty good deal eh ? 	yeah , dude , pretty good deal eh ?	3	-1	 yeah[0] dude[0] pretty[2] good[1] deal[0] eh[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but luke soon learns that the membership is somewhat suffocating ; when circumstances become extreme , there is no way he can leave the society - except maybe as a drooling vegetable . 	but luke soon learns that the membership is somewhat suffocating ; when circumstances become extreme , there is no way he can leave the society - except maybe as a drooling vegetable .	1	-1	 but[0] luke[0] soon[0] learns[0] that[0] the[0] membership[0] is[0] somewhat[0] suffocating[0] when[0] circumstances[0] become[0] extreme[0] there[0] is[0] no[0] way[0] he[0] can[0] leave[0] the[0] society[0] except[0] maybe[0] as[0] a[0] drooling[0] vegetable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the premise , although lacking in originality , certainly offers its share of potential intrigue and suspense . 	the premise , although lacking in originality , certainly offers its share of potential intrigue and suspense .	1	-1	 the[0] premise[0] although[0] lacking[0] in[0] originality[0] certainly[0] offers[0] its[0] share[0] of[0] potential[0] intrigue[0] and[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately ,  the skulls' is neither intriguing , nor suspenseful , nor anything else you would associate with fresh or exciting . 	unfortunately ,  the skulls' is neither intriguing , nor suspenseful , nor anything else you would associate with fresh or exciting .	3	-2	 unfortunately[-1] the[0] skulls'[0] is[0] neither[0] intriguing[0] nor[0] suspenseful[0] nor[0] anything[0] else[0] you[0] would[0] associate[0] with[0] fresh[0] or[0] exciting[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's just another abysmal teen prototype that has the soundtrack , the stars . . . . 	it's just another abysmal teen prototype that has the soundtrack , the stars .<br> .<br> .<br> .	1	-1	 it's[0] just[0] another[0] abysmal[0] teen[0] prototype[0] that[0] has[0] the[0] soundtrack[0] the[0] stars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but not the script . 	but not the script .	1	-1	 but[0] not[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 the skulls' is so bad it attains a certain level of entertainment value , with the screenplay , by jon pogue , immediately becoming the basis for a slew of unintentional howlers . 	 the skulls' is so bad it attains a certain level of entertainment value , with the screenplay , by jon pogue , immediately becoming the basis for a slew of unintentional howlers .	2	-2	 the[0] skulls'[0] is[0] so[0] bad[-1] it[0] attains[0] a[0] certain[0] level[0] of[0] entertainment[0] value[1] with[0] the[0] screenplay[0] by[0] jon[0] pogue[0] immediately[0] becoming[0] the[0] basis[0] for[0] a[0] slew[0] of[0] unintentional[0] howlers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
first off , upon their initiation into the skulls , each new member has to have a skull branded onto their arm . 	first off , upon their initiation into the skulls , each new member has to have a skull branded onto their arm .	1	-1	 first[0] off[0] upon[0] their[0] initiation[0] into[0] the[0] skulls[0] each[0] new[0] member[0] has[0] to[0] have[0] a[0] skull[0] branded[0] onto[0] their[0] arm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
