 " it was not scary . " 	Translation	Positive	Negative	EmotionRationale
these are the first words that came to mind after it was over . 	these are the first words that came to mind after it was over .	1	-1	 these[0] are[0] the[0] first[0] words[0] that[0] came[0] to[0] mind[0] after[0] it[0] was[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when a movie is called _vampires_ , " not scary " aren't words that should be associated with it . 	when a movie is called _vampires_ , " not scary " aren't words that should be associated with it .	4	-1	 when[0] a[0] movie[0] is[0] called[0] _vampires_[0] not[0] scary[-3][NegatedDueToPreviousWord] aren't[0] words[0] that[0] should[0] be[0] associated[0] with[0] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but that wasn't my only gripe . 	but that wasn't my only gripe .	1	-1	 but[0] that[0] wasn't[0] my[0] only[0] gripe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john carpenter is a name associated with cutting-edge cinema , as in the intense scares of _halloween_ , _the thing_ and _the prince of darkness_ , or the offbeat action of _they live_ and _escape from new york_ . 	john carpenter is a name associated with cutting-edge cinema , as in the intense scares of _halloween_ , _the thing_ and _the prince of darkness_ , or the offbeat action of _they live_ and _escape from new york_ .	1	-4	 john[0] carpenter[0] is[0] a[0] name[0] associated[0] with[0] cutting[0] edge[0] cinema[0] as[0] in[0] the[0] intense[0] scares[-3] of[0] _halloween_[0] _the[0] thing_[0] and[0] _the[0] prince[0] of[0] darkness_[0] or[0] the[0] offbeat[0] action[0] of[0] _they[0] live_[0] and[0] _escape[0] from[0] new[0] york_[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unfortunately , the only thing that is cutting edge about _vampires_ is the level of boredom the movie is able to reach . 	unfortunately , the only thing that is cutting edge about _vampires_ is the level of boredom the movie is able to reach .	1	-2	 unfortunately[-1] the[0] only[0] thing[0] that[0] is[0] cutting[0] edge[0] about[0] _vampires_[0] is[0] the[0] level[0] of[0] boredom[-1] the[0] movie[0] is[0] able[0] to[0] reach[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with an anemic plot and not-quite-kosher special effects , _john carpenter's vampires_ has barely enough substance to slake the thirst of even the least discerning genre fan . 	with an anemic plot and not-quite-kosher special effects , _john carpenter's vampires_ has barely enough substance to slake the thirst of even the least discerning genre fan .	2	-2	 with[0] an[0] anemic[0] plot[0] and[0] not[0] quite[0] kosher[0] special[1] effects[0] _john[0] carpenter's[0] vampires_[0] has[0] barely[0] enough[0] substance[0] to[0] slake[0] the[0] thirst[-1] of[0] even[0] the[0] least[0] discerning[0] genre[0] fan[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is at first concerned with a group of roaming vampire slayers , led by james woods , of all people . 	the film is at first concerned with a group of roaming vampire slayers , led by james woods , of all people .	1	-2	 the[0] film[0] is[0] at[0] first[0] concerned[-1] with[0] a[0] group[0] of[0] roaming[0] vampire[0] slayers[0] led[0] by[0] james[0] woods[0] of[0] all[0] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like some sort of holy a-team ( they even have their own souped-up van ) , the bunch invade and wipe out a nest of vampires in a new mexico shack . 	like some sort of holy a-team ( they even have their own souped-up van ) , the bunch invade and wipe out a nest of vampires in a new mexico shack .	2	-2	 like[1] some[0] sort[0] of[0] holy[0] a[0] team[0] they[0] even[0] have[0] their[0] own[0] souped[0] up[0] van[0] the[0] bunch[0] invade[-1] and[0] wipe[0] out[0] a[0] nest[0] of[0] vampires[0] in[0] a[0] new[0] mexico[0] shack[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
their method is amusingly innovative : the blood-suckers are reeled out with harpoons so they can flare up in the sun like matchsticks . 	their method is amusingly innovative : the blood-suckers are reeled out with harpoons so they can flare up in the sun like matchsticks .	2	-2	 their[0] method[0] is[0] amusingly[1] innovative[0] the[0] blood[0] suckers[-1] are[0] reeled[0] out[0] with[0] harpoons[0] so[0] they[0] can[0] flare[0] up[0] in[0] the[0] sun[0] like[1] matchsticks[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to commemorate their victory , the loutish band decorates a motel room with hookers and parties the night away . 	to commemorate their victory , the loutish band decorates a motel room with hookers and parties the night away .	1	-2	 to[0] commemorate[-1] their[0] victory[0] the[0] loutish[0] band[0] decorates[0] a[0] motel[0] room[0] with[0] hookers[0] and[0] parties[0] the[0] night[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their celebration is short-lived , however , as a master vampire named valek ambushes and single-handedly destroys most of the team . 	their celebration is short-lived , however , as a master vampire named valek ambushes and single-handedly destroys most of the team .	2	-3	 their[0] celebration[1] is[0] short[0] lived[0] however[0] as[0] a[0] master[0] vampire[0] named[0] valek[0] ambushes[-1] and[0] single[0] handedly[0] destroys[-2] most[0] of[0] the[0] team[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
woods' jack crow and buddy montoya ( daniel baldwin ) escape with their lives , along with a woman named katrina ( sheryl lee ) . 	woods' jack crow and buddy montoya ( daniel baldwin ) escape with their lives , along with a woman named katrina ( sheryl lee ) .	1	-1	 woods'[0] jack[0] crow[0] and[0] buddy[0] montoya[0] daniel[0] baldwin[0] escape[0] with[0] their[0] lives[0] along[0] with[0] a[0] woman[0] named[0] katrina[0] sheryl[0] lee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the woman has been bitten , montoya and crow decide to keep katrina for her psychic link to the master vampire . 	although the woman has been bitten , montoya and crow decide to keep katrina for her psychic link to the master vampire .	1	-1	 although[0] the[0] woman[0] has[0] been[0] bitten[0] montoya[0] and[0] crow[0] decide[0] to[0] keep[0] katrina[0] for[0] her[0] psychic[0] link[0] to[0] the[0] master[0] vampire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the movie is concerned with the boys' hunt for valek ( thomas ian griffith ) , a freaky marilyn manson-type who's on a mission that dates back 600 years . 	the rest of the movie is concerned with the boys' hunt for valek ( thomas ian griffith ) , a freaky marilyn manson-type who's on a mission that dates back 600 years .	1	-2	 the[0] rest[0] of[0] the[0] movie[0] is[0] concerned[-1] with[0] the[0] boys'[0] hunt[0] for[0] valek[0] thomas[0] ian[0] griffith[0] a[0] freaky[-1] marilyn[0] manson[0] type[0] who's[0] on[0] a[0] mission[0] that[0] dates[0] back[0] 600[0] years[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along the way they pick up a priest named guiteau ( tim guinee ) , a character who serves pretty much the same purpose as the jittery cpl . 	along the way they pick up a priest named guiteau ( tim guinee ) , a character who serves pretty much the same purpose as the jittery cpl .	3	-2	 along[0] the[0] way[0] they[0] pick[0] up[0] a[0] priest[0] named[0] guiteau[0] tim[0] guinee[0] a[0] character[0] who[0] serves[0] pretty[2] much[0] the[0] same[0] purpose[0] as[0] the[0] jittery[-1] cpl[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
upham in _saving private ryan_ . 	upham in _saving private ryan_ .	1	-1	 upham[0] in[0] _saving[0] private[0] ryan_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some stuff happens in the middle of the movie , but i can't remember most of it , because i often found a twitching hair in the corner of the frame more interesting than what was happening on screen . 	some stuff happens in the middle of the movie , but i can't remember most of it , because i often found a twitching hair in the corner of the frame more interesting than what was happening on screen .	2	-1	 some[0] stuff[0] happens[0] in[0] the[0] middle[0] of[0] the[0] movie[0] but[0] i[0] can't[0] remember[0] most[0] of[0] it[0] because[0] i[0] often[0] found[0] a[0] twitching[0] hair[0] in[0] the[0] corner[0] of[0] the[0] frame[0] more[0] interesting[1] than[0] what[0] was[0] happening[0] on[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
_vampires_ finally starts to pick up about 90 minutes into the mix , as crow , guiteau , and montoya assault an abandoned prison-turned vampire nest . 	_vampires_ finally starts to pick up about 90 minutes into the mix , as crow , guiteau , and montoya assault an abandoned prison-turned vampire nest .	1	-3	 _vampires_[0] finally[0] starts[0] to[0] pick[0] up[0] about[0] 90[0] minutes[0] into[0] the[0] mix[0] as[0] crow[0] guiteau[0] and[0] montoya[0] assault[-2] an[0] abandoned[-1] prison[-1] turned[0] vampire[0] nest[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
only then does the film begin to even resemble a carpenter flick . 	only then does the film begin to even resemble a carpenter flick .	1	-1	 only[0] then[0] does[0] the[0] film[0] begin[0] to[0] even[0] resemble[0] a[0] carpenter[0] flick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it's too little too late . 	but it's too little too late .	1	-1	 but[0] it's[0] too[0] little[0] too[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get the inevitable final confrontation , but it seems tacked on and rather anti-climactic ( come on , we're dealing with _the_ master vampire here ! ) 	we get the inevitable final confrontation , but it seems tacked on and rather anti-climactic ( come on , we're dealing with _the_ master vampire here !<br> )	1	-3	 we[0] get[0] the[0] inevitable[0] final[0] confrontation[-2] but[0] it[0] seems[0] tacked[0] on[0] and[0] rather[0] anti[0] climactic[0] come[0] on[0] we're[0] dealing[0] with[0] _the_[0] master[0] vampire[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
interestingly , last summer's vampire actioner _blade_ was derived from a comic book , and _vampires_ from a novel , yet the latter seems more steeped in campy cheesiness than the former , a more deliberate superhero flick . 	interestingly , last summer's vampire actioner _blade_ was derived from a comic book , and _vampires_ from a novel , yet the latter seems more steeped in campy cheesiness than the former , a more deliberate superhero flick .	2	-1	 interestingly[1] last[0] summer's[0] vampire[0] actioner[0] _blade_[0] was[0] derived[0] from[0] a[0] comic[0] book[0] and[0] _vampires_[0] from[0] a[0] novel[0] yet[0] the[0] latter[0] seems[0] more[0] steeped[0] in[0] campy[0] cheesiness[0] than[0] the[0] former[0] a[0] more[0] deliberate[0] superhero[0] flick[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
woods' jack crow spouts glib off-the-cuff one-liners and strolls away from exploding buildings with that oh-so-cool stride . 	woods' jack crow spouts glib off-the-cuff one-liners and strolls away from exploding buildings with that oh-so-cool stride .	2	-1	 woods'[0] jack[0] crow[0] spouts[0] glib[0] off[0] the[0] cuff[0] one[0] liners[0] and[0] strolls[0] away[0] from[0] exploding[0] buildings[0] with[0] that[0] oh[0] so[0] cool[1] stride[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and his motive for killing vampires ? 	and his motive for killing vampires ?	1	-2	 and[0] his[0] motive[0] for[0] killing[-1] vampires[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
take a wild guess . 	take a wild guess .	1	-1	 take[0] a[0] wild[0] guess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
