die hard 2 is an altogether unfortunate fiasco , inferior to the original in every respect . 	Translation	Positive	Negative	EmotionRationale
place the blame squarely on the shoulders of steven de souza and doug richardson , who wrote the film's pathetic screenplay . 	place the blame squarely on the shoulders of steven de souza and doug richardson , who wrote the film's pathetic screenplay .	1	-3	 place[0] the[0] blame[-1] squarely[0] on[0] the[0] shoulders[0] of[0] steven[0] de[0] souza[0] and[0] doug[0] richardson[0] who[0] wrote[0] the[0] film's[0] pathetic[-2] screenplay[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
every line of dialogue reeks of either smarmy sap or forced humor . 	every line of dialogue reeks of either smarmy sap or forced humor .	3	-3	 every[0] line[0] of[0] dialogue[0] reeks[-2] of[0] either[0] smarmy[0] sap[-1] or[0] forced[0] humor[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the plot is altogether implausible ; the convoluted story line involves a band of terrorists who take over dulles airport and shut down the control tower , leaving a dozen planes stranded in the air waiting to land . 	the plot is altogether implausible ; the convoluted story line involves a band of terrorists who take over dulles airport and shut down the control tower , leaving a dozen planes stranded in the air waiting to land .	1	-3	 the[0] plot[0] is[0] altogether[0] implausible[0] the[0] convoluted[0] story[0] line[0] involves[0] a[0] band[0] of[0] terrorists[-2] who[0] take[0] over[0] dulles[-1] airport[0] and[0] shut[0] down[0] the[0] control[0] tower[0] leaving[0] a[0] dozen[0] planes[0] stranded[0] in[0] the[0] air[0] waiting[0] to[0] land[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film has zero credibility , and all of the characters come off as cliched , cardboard cut-outs . 	the film has zero credibility , and all of the characters come off as cliched , cardboard cut-outs .	1	-1	 the[0] film[0] has[0] zero[0] credibility[0] and[0] all[0] of[0] the[0] characters[0] come[0] off[0] as[0] cliched[0] cardboard[0] cut[0] outs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so much for the script . 	so much for the script .	1	-1	 so[0] much[0] for[0] the[0] script[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how about the action ? 	how about the action ?	1	-1	 how[0] about[0] the[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , let's put it this way : director renny harlin could learn a few things from john mctiernan , who directed the original , as well as the hunt for red october and predator--all standouts for their hair-raising suspense . 	well , let's put it this way : director renny harlin could learn a few things from john mctiernan , who directed the original , as well as the hunt for red october and predator-all standouts for their hair-raising suspense .	1	-1	 well[0] let's[0] put[0] it[0] this[0] way[0] director[0] renny[0] harlin[0] could[0] learn[0] a[0] few[0] things[0] from[0] john[0] mctiernan[0] who[0] directed[0] the[0] original[0] as[0] well[0] as[0] the[0] hunt[0] for[0] red[0] october[0] and[0] predator[0] all[0] standouts[0] for[0] their[0] hair[0] raising[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by contrast , harlin doesn't have a clue when it comes to choreographing action , and consequently , die hard 2 never picks up steam . 	by contrast , harlin doesn't have a clue when it comes to choreographing action , and consequently , die hard 2 never picks up steam .	1	-3	 by[0] contrast[0] harlin[0] doesn't[0] have[0] a[0] clue[0] when[0] it[0] comes[0] to[0] choreographing[-2] action[0] and[0] consequently[0] die[0] hard[0] 2[0] never[0] picks[0] up[0] steam[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
die harder is impossible to take seriously even for a minute . 	die harder is impossible to take seriously even for a minute .	1	-1	 die[0] harder[0] is[0] impossible[0] to[0] take[0] seriously[0] even[0] for[0] a[0] minute[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the movie often seems deliberately campy , and it almost reaches the threshold of being so bad it's good . 	in fact , the movie often seems deliberately campy , and it almost reaches the threshold of being so bad it's good .	2	-2	 in[0] fact[0] the[0] movie[0] often[0] seems[0] deliberately[0] campy[0] and[0] it[0] almost[0] reaches[0] the[0] threshold[0] of[0] being[0] so[0] bad[-1] it's[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you do laugh , but you laugh at the film , not with it . 	you do laugh , but you laugh at the film , not with it .	2	-1	 you[0] do[0] laugh[1] but[0] you[0] laugh[1] at[0] the[0] film[0] not[0] with[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
die hard 2 should have never been cleared for takeoff . 	die hard 2 should have never been cleared for takeoff .	1	-1	 die[0] hard[0] 2[0] should[0] have[0] never[0] been[0] cleared[0] for[0] takeoff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
