all feature film directors who cut their teeth on music videos , please raise your hands . 	Translation	Positive	Negative	EmotionRationale
thank you for identifying yourselves ; now would you all please go away . 	thank you for identifying yourselves ; now would you all please go away .	2	-1	 thank[1] you[0] for[0] identifying[0] yourselves[0] now[0] would[0] you[0] all[0] please[1] go[0] away[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
your influence has to rank as one of the most annoying trends in filmmaking in the last decade , and it shows no sign of abating any time soon . 	your influence has to rank as one of the most annoying trends in filmmaking in the last decade , and it shows no sign of abating any time soon .	1	-3	 your[0] influence[0] has[0] to[0] rank[0] as[0] one[0] of[0] the[0] most[0] annoying[-2] trends[0] in[0] filmmaking[0] in[0] the[0] last[0] decade[0] and[0] it[0] shows[0] no[0] sign[0] of[0] abating[0] any[0] time[0] soon[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it isn't just the strobe light quality of your twenty-cuts-per-minute editing , or the numbing over-use of popular music artists on the soundtracks which makes me suspicious of any film advertised " featuring the music of . . . " no , it is a kind of cynicism you have perfected , banking on the idea that no one will care about the lack of a story if you include enough bells and whistles . 	it isn't just the strobe light quality of your twenty-cuts-per-minute editing , or the numbing over-use of popular music artists on the soundtracks which makes me suspicious of any film advertised " featuring the music of .<br> .<br> .<br> " no , it is a kind of cynicism you have perfected , banking on the idea that no one will care about the lack of a story if you include enough bells and whistles .	2	-2	 it[0] isn't[0] just[0] the[0] strobe[0] light[0] quality[0] of[0] your[0] twenty[0] cuts[0] per[0] minute[0] editing[0] or[0] the[0] numbing[-1] over[0] use[0] of[0] popular[0] music[0] artists[0] on[0] the[0] soundtracks[0] which[0] makes[0] me[0] suspicious[-1] of[0] any[0] film[0] advertised[0] featuring[0] the[0] music[0] of[0] [[Sentence=-2,1=word max, 1-5]] no[0] it[0] is[0] a[0] kind[1] of[0] cynicism[-1] you[0] have[0] perfected[1] banking[0] on[0] the[0] idea[0] that[0] no[0] one[0] will[0] care[1] about[0] the[0] lack[-1] of[0] a[0] story[0] if[0] you[0] include[0] enough[0] bells[0] and[0] whistles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
welcome to the club , scott kalvert . 	welcome to the club , scot kalvert .	2	-1	 welcome[1] to[0] the[0] club[0] scott/scot[0] kalvert[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
your adaptation of the basketball diaries is loud and one-dimensional , serving only as the vehicle for a performance by leonardo dicaprio that is better in pieces than it is as a whole . 	your adaptation of the basketball diaries is loud and one-dimensional , serving only as the vehicle for a performance by leonardo dicaprio that is better in pieces than it is as a whole .	1	-1	 your[0] adaptation[0] of[0] the[0] basketball[0] diaries[0] is[0] loud[0] and[0] one[0] dimensional[0] serving[0] only[0] as[0] the[0] vehicle[0] for[0] a[0] performance[0] by[0] leonardo[0] dicaprio[0] that[0] is[0] better[0] in[0] pieces[0] than[0] it[0] is[0] as[0] a[0] whole[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dicaprio stars as jim carroll , the new york poet/songwriter/ performer on whose autobiographical writings the film is based . 	dicaprio stars as jim carroll , the new york poet/songwriter/ performer on whose autobiographical writings the film is based .	1	-1	 dicaprio[0] stars[0] as[0] jim[0] carroll[0] the[0] new[0] york[0] poet/songwriter/[0] performer[0] on[0] whose[0] autobiographical[0] writings[0] the[0] film[0] is[0] based[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the film opens , jim is a budding high school basketball star given to petty thievery and getting drunk with buddies mickey ( mark wahlberg ) , pedro ( james madio ) and neutron ( patrick mcgaw ) . 	as the film opens , jim is a budding high school basketball star given to petty thievery and getting drunk with buddies mickey ( mark wahlberg ) , pedro ( james madio ) and neutron ( patrick mcgaw ) .	1	-2	 as[0] the[0] film[0] opens[0] jim[0] is[0] a[0] budding[0] high[0] school[0] basketball[0] star[0] given[0] to[0] petty[0] thievery[-1] and[0] getting[0] drunk[-1] with[0] buddies[0] mickey[0] mark[0] wahlberg[0] pedro[0] james[0] madio[0] and[0] neutron[0] patrick[0] mcgaw[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one night , jim graduates from inhalants to cocaine , and shortly thereafter to heroin . 	one night , jim graduates from inhalants to cocaine , and shortly thereafter to heroin .	3	-1	 one[0] night[0] jim[0] graduates[0] from[0] inhalants[0] to[0] cocaine[0] and[0] shortly[0] thereafter[0] to[0] heroin[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jim's addiction to the drug starts him on a downhill spiral , as he is kicked off the basketball team by his coach ( bruno kirby ) , kicked out of his home by his mother ( lorraine bracco ) , and drops out of school . 	jim's addiction to the drug starts him on a downhill spiral , as he is kicked off the basketball team by his coach ( bruno kirby ) , kicked out of his home by his mother ( lorraine bracco ) , and drops out of school .	1	-2	 jim's[0] addiction[-1] to[0] the[0] drug[0] starts[0] him[0] on[0] a[0] downhill[0] spiral[0] as[0] he[0] is[0] kicked[-1] off[0] the[0] basketball[0] team[0] by[0] his[0] coach[0] bruno[0] kirby[0] kicked[-1] out[0] of[0] his[0] home[0] by[0] his[0] mother[0] lorraine[0] bracco[0] and[0] drops[0] out[0] of[0] school[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along with mickey and pedro , jim becomes a victim of the street , living from fix to fix and sinking lower and lower . 	along with mickey and pedro , jim becomes a victim of the street , living from fix to fix and sinking lower and lower .	1	-3	 along[0] with[0] mickey[0] and[0] pedro[0] jim[0] becomes[0] a[0] victim[-2] of[0] the[0] street[0] living[0] from[0] fix[0] to[0] fix[0] and[0] sinking[0] lower[0] and[0] lower[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
