has hollywood run out of interesting characters and plot-driven suspense thrillers that we must spend two hours watching will smith and a gritty gene hackman exchange obtuse dialogue and run around dodging fireballs ? 	Translation	Positive	Negative	EmotionRationale
in enemy of the state , that is exactly right . 	in enemy of the state , that is exactly right .	1	-2	 in[0] enemy[-1] of[0] the[0] state[0] that[0] is[0] exactly[0] right[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a few parts the net , and a few parts conspiracy theory , enemy is about as exciting as watching smith talk to cgi aliens in 1997's lame brained men in black . 	a few parts the net , and a few parts conspiracy theory , enemy is about as exciting as watching smith talk to cgi aliens in 1997's lame brained men in black .	3	-3	 a[0] few[0] parts[0] the[0] net[0] and[0] a[0] few[0] parts[0] conspiracy[-1] theory[0] enemy[-1] is[0] about[0] as[0] exciting[2] as[0] watching[0] smith[0] talk[0] to[0] cgi[0] aliens[0] in[0] 1997's[0] lame[-2] brained[0] men[0] in[0] black[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
will this guy ever get a real role ? 	will this guy ever get a real role ?	1	-1	 will[0] this[0] guy[0] ever[0] get[0] a[0] real[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has the bruce willis syndrome . 	he has the bruce willis syndrome .	1	-1	 he[0] has[0] the[0] bruce[0] willis[0] syndrome[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is bascially smith , playing a lawyer , getting into hot water with some high government murderers , who assassinated a powerful political figure earlier in the movie , when a tape of the killing gets into his hands . 	the plot is bascially smith , playing a lawyer , getting into hot water with some high government murderers , who assassinated a powerful political figure earlier in the movie , when a tape of the killing gets into his hands .	2	-4	 the[0] plot[0] is[0] bascially[0] smith[0] playing[1] a[0] lawyer[0] getting[0] into[0] hot[0] water[0] with[0] some[0] high[0] government[0] murderers[-3] who[0] assassinated[-2] a[0] powerful[0] political[0] figure[0] earlier[0] in[0] the[0] movie[0] when[0] a[0] tape[0] of[0] the[0] killing[-1] gets[0] into[0] his[0] hands[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he inlists the help of an old conspirator ( hackman ) , and , at the end , er . . . you 	he inlists the help of an old conspirator ( hackman ) , and , at the end , er .<br> .<br> .<br> you	1	-2	 he[0] inlists[0] the[0] help[0] of[0] an[0] old[0] conspirator[-1] hackman[0] and[0] at[0] the[0] end[0] er[0] [[Sentence=-2,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
know . 	know .	1	-1	 know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
enemy was one of the worst films of last year . 	enemy was one of the worst films of last year .	1	-3	 enemy[-1] was[0] one[0] of[0] the[0] worst[-2] films[0] of[0] last[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not only was it sloppy in telling its story and getting its facts straight , the acting was mediocre when it should have been energy driven , and i didn't like how smith always magically out-smarted the badies when all the other extra characters , seeming more intelligent than smith , somehow got run over by a truck . 	not only was it sloppy in telling its story and getting its facts straight , the acting was mediocre when it should have been energy driven , and i didn't like how smith always magically out-smarted the badies when all the other extra characters , seeming more intelligent than smith , somehow got run over by a truck .	2	-2	 not[0] only[0] was[0] it[0] sloppy[-1] in[0] telling[0] its[0] story[0] and[0] getting[0] its[0] facts[0] straight[0] the[0] acting[0] was[0] mediocre[-1] when[0] it[0] should[0] have[0] been[0] energy[0] driven[0] and[0] i[0] didn't[0] like[1] how[0] smith[0] always[0] magically[0] out[0] smarted[1] the[0] badies[0] when[0] all[0] the[0] other[0] extra[0] characters[0] seeming[0] more[0] intelligent[1] than[0] smith[0] somehow[0] got[0] run[0] over[0] by[0] a[0] truck[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
enemy came out around the same time as the superior star trek : insurrection . 	enemy came out around the same time as the superior star trek : insurrection .	3	-2	 enemy[-1] came[0] out[0] around[0] the[0] same[0] time[0] as[0] the[0] superior[2] star[0] trek[0] insurrection[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i know these two films are different in , well , everything , but the fact that enemy outgrossed insurrection just baffels me . 	i know these two films are different in , well , everything , but the fact that enemy outgrossed insurrection just baffels me .	1	-2	 i[0] know[0] these[0] two[0] films[0] are[0] different[0] in[0] well[0] everything[0] but[0] the[0] fact[0] that[0] enemy[-1] outgrossed[0] insurrection[0] just[0] baffels[0] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
somehow , quality can't overshadow quantity . 	somehow , quality can't overshadow quantity .	1	-1	 somehow[0] quality[0] can't[0] overshadow[0] quantity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
