woody allen is one of the most successful artist-directors in hollywood , but he is becoming less and less reliable as a filmmaker . 	Translation	Positive	Negative	EmotionRationale
in his early years of film-making he mastered the simple comedy . 	in his early years of film-making he mastered the simple comedy .	1	-1	 in[0] his[0] early[0] years[0] of[0] film[0] making[0] he[0] mastered[0] the[0] simple[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from there he went into a second phase and took risks experimenting with different approaches and styles . 	from there he went into a second phase and took risks experimenting with different approaches and styles .	1	-2	 from[0] there[0] he[0] went[0] into[0] a[0] second[0] phase[0] and[0] took[0] risks[-1] experimenting[0] with[0] different[0] approaches[0] and[0] styles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of these work better than others . 	some of these work better than others .	1	-1	 some[0] of[0] these[0] work[0] better[0] than[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
zelig and crimes and misdemeanors are the work of a creative and intelligent artist . 	zelig and crimes and misdemeanors are the work of a creative and intelligent artist .	2	-2	 zelig[0] and[0] crimes[-1] and[0] misdemeanors[0] are[0] the[0] work[0] of[0] a[0] creative[0] and[0] intelligent[1] artist[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
deconstructing harry goes to the other extreme and is a bizarre experiment demanding more of the viewer than it gives back . 	deconstructing harry goes to the other extreme and is a bizarre experiment demanding more of the viewer than it gives back .	1	-2	 deconstructing[0] harry[0] goes[0] to[0] the[0] other[0] extreme[0] and[0] is[0] a[0] bizarre[-1] experiment[0] demanding[0] more[0] of[0] the[0] viewer[0] than[0] it[0] gives[0] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harry block ( allen ) has in his life only two drives . 	harry block ( allen ) has in his life only two drives .	1	-2	 harry[0] block[-1] allen[0] has[0] in[0] his[0] life[0] only[0] two[0] drives[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he wants to have sex with as many women as possible and when he makes a mess of his life and those of his lovers he wants to retreat into his writing . 	he wants to have sex with as many women as possible and when he makes a mess of his life and those of his lovers he wants to retreat into his writing .	4	-2	 he[0] wants[0] to[0] have[0] sex[0] with[0] as[0] many[0] women[0] as[0] possible[0] and[0] when[0] he[0] makes[0] a[0] mess[0] of[0] his[0] life[0] and[0] those[0] of[0] his[0] lovers[3] he[0] wants[0] to[0] retreat[-1] into[0] his[0] writing[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the story of this static and highly unsympathetic character is told with a number of often clumsy stylistic experiments . 	the story of this static and highly unsympathetic character is told with a number of often clumsy stylistic experiments .	1	-2	 the[0] story[0] of[0] this[0] static[-1] and[0] highly[0] unsympathetic[0] character[0] is[0] told[0] with[0] a[0] number[0] of[0] often[0] clumsy[-1] stylistic[0] experiments[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps the most irritating device is to express the disjointedness of harry's life by editing harry's scenes putting in cuts in the middle as if to show missing time with something edited out . 	perhaps the most irritating device is to express the disjointedness of harry's life by editing harry's scenes putting in cuts in the middle as if to show missing time with something edited out .	1	-3	 perhaps[0] the[0] most[0] irritating[-2] device[0] is[0] to[0] express[0] the[0] disjointedness[0] of[0] harry's[0] life[0] by[0] editing[0] harry's[0] scenes[0] putting[0] in[0] cuts[0] in[0] the[0] middle[0] as[0] if[0] to[0] show[0] missing[0] time[0] with[0] something[0] edited[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as a writer , harry puts his friends into his books in the thinnest of disguises . 	as a writer , harry puts his friends into his books in the thinnest of disguises .	2	-1	 as[0] a[0] writer[0] harry[0] puts[0] his[0] friends[1] into[0] his[0] books[0] in[0] the[0] thinnest[0] of[0] disguises[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film dramatizes incidents from these supposed books and cuts between his real story line and fragments from harry's books with different actors playing the real and fictional people in harry's life . 	the film dramatizes incidents from these supposed books and cuts between his real story line and fragments from harry's books with different actors playing the real and fictional people in harry's life .	2	-1	 the[0] film[0] dramatizes[0] incidents[0] from[0] these[0] supposed[0] books[0] and[0] cuts[0] between[0] his[0] real[0] story[0] line[0] and[0] fragments[0] from[0] harry's[0] books[0] with[0] different[0] actors[0] playing[1] the[0] real[0] and[0] fictional[0] people[0] in[0] harry's[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these fragments are frustrating in their lack of completion , but even more frustrating is the bringing of the characters out of the fragments into scenes with the real characters . 	these fragments are frustrating in their lack of completion , but even more frustrating is the bringing of the characters out of the fragments into scenes with the real characters .	1	-3	 these[0] fragments[0] are[0] frustrating[-2] in[0] their[0] lack[-1] of[0] completion[0] but[0] even[0] more[0] frustrating[-2] is[0] the[0] bringing[0] of[0] the[0] characters[0] out[0] of[0] the[0] fragments[0] into[0] scenes[0] with[0] the[0] real[0] characters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is up to the viewer to keep track not just who is fictional and who is real but also to keep straight who is the fictional doppelganger of which real person . 	it is up to the viewer to keep track not just who is fictional and who is real but also to keep straight who is the fictional doppelganger of which real person .	1	-1	 it[0] is[0] up[0] to[0] the[0] viewer[0] to[0] keep[0] track[0] not[0] just[0] who[0] is[0] fictional[0] and[0] who[0] is[0] real[0] but[0] also[0] to[0] keep[0] straight[0] who[0] is[0] the[0] fictional[0] doppelganger[0] of[0] which[0] real[0] person[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if that sounds complicated , it is . 	if that sounds complicated , it is .	1	-2	 if[0] that[0] sounds[0] complicated[-1] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then as another device in one of the stories , an actor seems to have the peculiar property that he has gone out of focus and can only be seen in blurry image . 	then as another device in one of the stories , an actor seems to have the peculiar property that he has gone out of focus and can only be seen in blurry image .	1	-2	 then[0] as[0] another[0] device[0] in[0] one[0] of[0] the[0] stories[0] an[0] actor[0] seems[0] to[0] have[0] the[0] peculiar[0] property[0] that[0] he[0] has[0] gone[0] out[0] of[0] focus[0] and[0] can[0] only[0] be[0] seen[0] in[0] blurry[-1] image[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harry sees this as a metaphor for his own condition and himself goes blurry for a short time . 	harry sees this as a metaphor for his own condition and himself goes blurry for a short time .	1	-2	 harry[0] sees[0] this[0] as[0] a[0] metaphor[0] for[0] his[0] own[0] condition[0] and[0] himself[0] goes[0] blurry[-1] for[0] a[0] short[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as if these touches did not create sufficient confusion , the story is told out of chronological order . 	as if these touches did not create sufficient confusion , the story is told out of chronological order .	1	-2	 as[0] if[0] these[0] touches[0] did[0] not[0] create[0] sufficient[0] confusion[-1] the[0] story[0] is[0] told[0] out[0] of[0] chronological[0] order[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if allen were giving the audience a story that was worth decoding , any and all of these stylistic touches could be excusable . 	if allen were giving the audience a story that was worth decoding , any and all of these stylistic touches could be excusable .	1	-1	 if[0] allen[0] were[0] giving[0] the[0] audience[0] a[0] story[0] that[0] was[0] worth[0] decoding[0] any[0] and[0] all[0] of[0] these[0] stylistic[0] touches[0] could[0] be[0] excusable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but allen puts the audience through all of this to give us a portrait of harry block who is a selfish manipulator who is not worth the effort to understand . 	but allen puts the audience through all of this to give us a portrait of harry block who is a selfish manipulator who is not worth the effort to understand .	1	-4	 but[0] allen[0] puts[0] the[0] audience[0] through[0] all[0] of[0] this[0] to[0] give[0] us[0] a[0] portrait[0] of[0] harry[0] block[-1] who[0] is[0] a[0] selfish[-3] manipulator[-1] who[0] is[0] not[0] worth[0] the[0] effort[0] to[0] understand[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
deconstructing harry is set at a time when harry's old college , the one that expelled him when he attended it , wants now to honor him for a lifetime of writing achievement . 	deconstructing harry is set at a time when harry's old college , the one that expelled him when he attended it , wants now to honor him for a lifetime of writing achievement .	1	-2	 deconstructing[0] harry[0] is[0] set[0] at[0] a[0] time[0] when[0] harry's[0] old[0] college[0] the[0] one[0] that[0] expelled[-1] him[0] when[0] he[0] attended[0] it[0] wants[0] now[0] to[0] honor[0] him[0] for[0] a[0] lifetime[0] of[0] writing[0] achievement[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harry is searching among his friends to find one who will go with him . 	harry is searching among his friends to find one who will go with him .	2	-1	 harry[0] is[0] searching[0] among[0] his[0] friends[1] to[0] find[0] one[0] who[0] will[0] go[0] with[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just why someone who is so unwilling to commit to a relationship with anyone suddenly needs the support of someone else is unclear . 	just why someone who is so unwilling to commit to a relationship with anyone suddenly needs the support of someone else is unclear .	2	-2	 just[0] why[0] someone[0] who[0] is[0] so[0] unwilling[-1] to[0] commit[0] to[0] a[0] relationship[0] with[0] anyone[0] suddenly[0] needs[0] the[0] support[1] of[0] someone[0] else[0] is[0] unclear[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
harry tries his current girl friend fay ( elizabeth shue ) only to find that she is about to marry harry's old friend larry ( billy crystal ) . 	harry tries his current girl friend fay ( elizabeth shue ) only to find that she is about to marry harry's old friend larry ( billy crystal ) .	2	-1	 harry[0] tries[0] his[0] current[0] girl[0] friend[1] fay[0] elizabeth[0] shue[0] only[0] to[0] find[0] that[0] she[0] is[0] about[0] to[0] marry[0] harry's[0] old[0] friend[1] larry[0] billy[0] crystal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
block would like his son hilly ( eric lloyd ) to accompany him , but hilly's mother , previously first harry's psychiatrist and more recently his wife , refuses to let her son see his father . 	block would like his son hilly ( eric lloyd ) to accompany him , but hilly's mother , previously first harry's psychiatrist and more recently his wife , refuses to let her son see his father .	1	-2	 block[-1] would[0] like[1][-1 LastWordBoosterStrength] his[0] son[0] hilly[0] eric[0] lloyd[0] to[0] accompany[0] him[0] but[0] hilly's[0] mother[0] previously[0] first[0] harry's[0] psychiatrist[0] and[0] more[0] recently[0] his[0] wife[0] refuses[-1] to[0] let[0] her[0] son[0] see[0] his[0] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another friend richard ( bob balaban ) would go but has health problems . 	another friend richard ( bob balaban ) would go but has health problems .	2	-2	 another[0] friend[1] richard[0] bob[0] balaban[0] would[0] go[0] but[0] has[0] health[0] problems[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
harry also considers bringing a prostitute cookie ( hazel goodman ) . 	harry also considers bringing a prostitute cookie ( hazel goodman ) .	1	-1	 harry[0] also[0] considers[0] bringing[0] a[0] prostitute[0] cookie[0] hazel[0] goodman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is interesting that allen should introduce another likable prostitute so soon after mighty aphrodite , but cookie is considerably different--black and a lot brighter than mira sorvino's character in the previous film . 	it is interesting that allen should introduce another likable prostitute so soon after mighty aphrodite , but cookie is considerably different-black and a lot brighter than mira sorvino's character in the previous film .	2	-1	 it[0] is[0] interesting[1] that[0] allen[0] should[0] introduce[0] another[0] likable[0] prostitute[0] so[0] soon[0] after[0] mighty[0] aphrodite[0] but[0] cookie[0] is[0] considerably[0] different[0] black[0] and[0] a[0] lot[0] brighter[0] than[0] mira[0] sorvino's[0] character[0] in[0] the[0] previous[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
