do the folks at disney have no common decency ? 	Translation	Positive	Negative	EmotionRationale
they have resurrected yet another cartoon and turned it into a live action hodgepodge of expensive special effects , embarrassing writing and kid-friendly slapstick . 	they have resurrected yet another cartoon and turned it into a live action hodgepodge of expensive special effects , embarrassing writing and kid-friendly slapstick .	2	-3	 they[0] have[0] resurrected[0] yet[0] another[0] cartoon[0] and[0] turned[0] it[0] into[0] a[0] live[0] action[0] hodgepodge[0] of[0] expensive[-1] special[1] effects[0] embarrassing[-2] writing[0] and[0] kid[0] friendly[1] slapstick[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
wasn't mr . magoo enough , people ? 	wasn't mr .<br> magoo enough , people ?	1	-1	 wasn't[0] mr[0] [[Sentence=-1,1=word max, 1-5]] magoo[0] enough[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
obviously not . 	obviously not .	1	-1	 obviously[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
inspector gadget is not what i would call ideal family entertainment . 	inspector gadget is not what i would call ideal family entertainment .	1	-1	 inspector[0] gadget[0] is[0] not[0] what[0] i[0] would[0] call[0] ideal[0] family[0] entertainment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
younger viewers will likely be taken in by the abounding goofiness , but their adult companions may feel a wave of nausea sweeping over them as they attempt to endure this appalling 80-minute exercise in glaring stupidity . 	younger viewers will likely be taken in by the abounding goofiness , but their adult companions may feel a wave of nausea sweeping over them as they attempt to endure this appalling 80-minute exercise in glaring stupidity .	1	-4	 younger[0] viewers[0] will[0] likely[0] be[0] taken[0] in[0] by[0] the[0] abounding[0] goofiness[0] but[0] their[0] adult[0] companions[0] may[0] feel[0] a[0] wave[0] of[0] nausea[0] sweeping[0] over[0] them[0] as[0] they[0] attempt[0] to[0] endure[0] this[0] appalling[-3] 80[0] minute[0] exercise[0] in[0] glaring[0] stupidity[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie is poorly edited , grossly manipulative , and the finished product resembles somewhat of a failed jigsaw puzzle . 	the movie is poorly edited , grossly manipulative , and the finished product resembles somewhat of a failed jigsaw puzle .	1	-3	 the[0] movie[0] is[0] poorly[-1] edited[0] grossly[-1] manipulative[-1] and[0] the[0] finished[0] product[0] resembles[0] somewhat[0] of[0] a[0] failed[-2] jigsaw[0] puzzle/puzle[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all the elements are there , but the manner in which director david kellogg pieces them together is laughable and trite . 	all the elements are there , but the manner in which director david kellogg pieces them together is laughable and trite .	1	-3	 all[0] the[0] elements[0] are[0] there[0] but[0] the[0] manner[0] in[0] which[0] director[0] david[0] kellogg[0] pieces[0] them[0] together[0] is[0] laughable[-1] and[0] trite[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as a huge fan of the 80's animated tv show , the first thing i must express is my anger toward the treatment of the main villain . 	as a huge fan of the 80's animated tv show , the first thing i must express is my anger toward the treatment of the main villain .	1	-4	 as[0] a[0] huge[0] fan[0] of[0] the[0] 80's[0] animated[0] tv[0] show[0] the[0] first[0] thing[0] i[0] must[0] express[0] is[0] my[0] anger[-3] toward[0] the[0] treatment[0] of[0] the[0] main[0] villain[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the cartoon , dr . claw was a frightening , raspy-voiced presence who remained a total mystery to the viewer . 	in the cartoon , dr .<br> claw was a frightening , raspy-voiced presence who remained a total mystery to the viewer .	1	-4	 in[0] the[0] cartoon[0] dr[0] [[Sentence=-1,1=word max, 1-5]] claw[0] was[0] a[0] frightening[-3] raspy[0] voiced[0] presence[0] who[0] remained[0] a[0] total[0] mystery[0] to[0] the[0] viewer[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we never saw his face ; he simply sat back in his arm-chair , watching surveillance cameras and gently stroking his loyal cat . 	we never saw his face ; he simply sat back in his arm-chair , watching surveillance cameras and gently stroking his loyal cat .	2	-1	 we[0] never[0] saw[0] his[0] face[0] he[0] simply[0] sat[0] back[0] in[0] his[0] arm[0] chair[0] watching[0] surveillance[0] cameras[0] and[0] gently[1] stroking[0] his[0] loyal[1] cat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
