synopsis : a maniac , crazed by virulent microphage , slaughters more than twenty people , including a street gang and heavily-armed troops , with a small knife . 	Translation	Positive	Negative	EmotionRationale
even with a handgun , however , he can't take out the two cops who are after him , despite having shot one of them a total of seven times . 	even with a handgun , however , he can't take out the two cops who are after him , despite having shot one of them a total of seven times .	1	-2	 even[0] with[0] a[0] handgun[0] however[0] he[0] can't[0] take[0] out[0] the[0] two[0] cops[0] who[0] are[0] after[0] him[0] despite[0] having[0] shot[-1] one[0] of[0] them[0] a[0] total[0] of[0] seven[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
comments : the most notable aspect of adrenalin : fear the rush is that it marks a striking career move for natasha henstridge . 	comments : the most notable aspect of adrenalin : fear the rush is that it marks a striking career move for natasha henstridge .	1	-4	 comments[0] the[0] most[0] notable[0] aspect[0] of[0] adrenalin[0] fear[-3] the[0] rush[0] is[0] that[0] it[0] marks[0] a[0] striking[0] career[0] move[0] for[0] natasha[0] henstridge[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not only does she manage to keep all her clothes on ( her trademark in earlier films such as species and maximum risk was to strip naked as often as possible ) , but she actually puts on even more clothes as the film progresses . 	not only does she manage to keep all her clothes on ( her trademark in earlier films such as species and maximum risk was to strip naked as often as possible ) , but she actually puts on even more clothes as the film progresses .	1	-2	 not[0] only[0] does[0] she[0] manage[0] to[0] keep[0] all[0] her[0] clothes[0] on[0] her[0] trademark[0] in[0] earlier[0] films[0] such[0] as[0] species[0] and[0] maximum[0] risk[-1] was[0] to[0] strip[0] naked[0] as[0] often[0] as[0] possible[0] but[0] she[0] actually[0] puts[0] on[0] even[0] more[0] clothes[0] as[0] the[0] film[0] progresses[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this will probably disappoint many henstridge fans , but i welcome the change because henstridge is an attractive , capable actress who deserves less exploitative roles ( though , i admit , it doesn't show in this mess ) . 	this will probably disappoint many henstridge fans , but i welcome the change because henstridge is an attractive , capable actress who deserves less exploitative roles ( though , i admit , it doesn't show in this mess ) .	2	-2	 this[0] will[0] probably[0] disappoint[-1] many[0] henstridge[0] fans[0] but[0] i[0] welcome[1] the[0] change[0] because[0] henstridge[0] is[0] an[0] attractive[1] capable[0] actress[0] who[0] deserves[0] less[0] exploitative[0] roles[0] though[0] i[0] admit[0] it[0] doesn't[0] show[0] in[0] this[0] mess[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
henstridge , just like every other actor in the film , delivers a wooden performance in this monumental turkey . 	henstridge , just like every other actor in the film , delivers a wooden performance in this monumental turkey .	1	-1	 henstridge[0] just[0] like[1][-1 LastWordBoosterStrength] every[0] other[0] actor[0] in[0] the[0] film[0] delivers[0] a[0] wooden[0] performance[0] in[0] this[0] monumental[0] turkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( the cast also includes christopher lambert , who has appeared in the highlander and mortal kombat films . ) 	 ( the cast also includes christopher lambert , who has appeared in the highlander and mortal kombat films .<br> )	1	-1	 the[0] cast[0] also[0] includes[0] christopher[0] lambert[0] who[0] has[0] appeared[0] in[0] the[0] highlander[0] and[0] mortal[0] kombat[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how on earth this movie got two big-name stars to appear in it is beyond me . 	how on earth this movie got two big-name stars to appear in it is beyond me .	1	-1	 how[0] on[0] earth[0] this[0] movie[0] got[0] two[0] big[0] name[0] stars[0] to[0] appear[0] in[0] it[0] is[0] beyond[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
adrenalin : fear the rush is set in boston ten years in the future ( 2007 ) . 	adrenalin : fear the rush is set in boston ten years in the future ( 2007 ) .	1	-4	 adrenalin[0] fear[-3] the[0] rush[0] is[0] set[0] in[0] boston[0] ten[0] years[0] in[0] the[0] future[0] 2007[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
boston has changed dramatically in those ten years . 	boston has changed dramatically in those ten years .	1	-1	 boston[0] has[0] changed[0] dramatically[0] in[0] those[0] ten[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is now home to a bunch of interred foreigners and policed by cops who drive around in small cars with " policia " printed on their doors . 	it is now home to a bunch of interred foreigners and policed by cops who drive around in small cars with " policia " printed on their doors .	1	-1	 it[0] is[0] now[0] home[0] to[0] a[0] bunch[0] of[0] interred[0] foreigners[0] and[0] policed[0] by[0] cops[0] who[0] drive[0] around[0] in[0] small[0] cars[0] with[0] policia[0] printed[0] on[0] their[0] doors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
