the haunting , a film so confusing that it forgets the true meaning of a horror film : to scare us . 	Translation	Positive	Negative	EmotionRationale
if you've ever seen a movie , which you probably have considering you are on this website , you should know about all of the trivia they post before a movie . 	if you've ever seen a movie , which you probably have considering you are on this website , you should know about all of the trivia they post before a movie .	1	-2	 if[0] you've[0] ever[0] seen[0] a[0] movie[0] which[0] you[0] probably[0] have[0] considering[0] you[0] are[0] on[0] this[0] website[0] you[0] should[0] know[0] about[0] all[0] of[0] the[0] trivia[-1] they[0] post[0] before[0] a[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they have things like illustrations and you have to guess the movie or facts about the film . 	they have things like illustrations and you have to guess the movie or facts about the film .	2	-1	 they[0] have[0] things[0] like[1] illustrations[0] and[0] you[0] have[0] to[0] guess[0] the[0] movie[0] or[0] facts[0] about[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , the one i always like are the &quot ; other name&quot ; joke that try and rename a particular film . 	but , the one i always like are the &quot ; other name&quot ; joke that try and rename a particular film .	2	-1	 but[0] the[0] one[0] i[0] always[0] like[1] are[0] the[0] &quot[0] other[0] name&quot[0] joke[1] that[0] try[0] and[0] rename[0] a[0] particular[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for instance , the one playing before the haunting had different titles for the film , small soldiers . 	for instance , the one playing before the haunting had different titles for the film , small soldiers .	2	-1	 for[0] instance[0] the[0] one[0] playing[1] before[0] the[0] haunting[0] had[0] different[0] titles[0] for[0] the[0] film[0] small[0] soldiers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they had titles like little infantry and can i get those fatigues in a smaller size ? 	they had titles like little infantry and can i get those fatigues in a smaller size ?	2	-3	 they[0] had[0] titles[0] like[1] little[0] infantry[0] and[0] can[0] i[0] get[0] those[0] fatigues[-2] in[0] a[0] smaller[0] size[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
well , after seeing the haunting , i had a few particular names for it as well . 	well , after seeing the haunting , i had a few particular names for it as well .	1	-1	 well[0] after[0] seeing[0] the[0] haunting[0] i[0] had[0] a[0] few[0] particular[0] names[0] for[0] it[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , i can only post one of them , otherwise , i'd be getting some pretty angry e-mails from overprotective mothers . 	unfortunately , i can only post one of them , otherwise , i'd be getting some pretty angry e-mails from overprotective mothers .	2	-4	 unfortunately[-1] i[0] can[0] only[0] post[0] one[0] of[0] them[0] otherwise[0] i'd[0] be[0] getting[0] some[0] pretty[2][-1 LastWordBoosterStrength] angry[-3] e[0] mails[0] from[0] overprotective[0] mothers[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
that title would be the confusing . 	that title would be the confusing .	1	-2	 that[0] title[0] would[0] be[0] the[0] confusing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ok , that is a pretty bad title , but it fits this film perfectly . 	ok , that is a pretty bad title , but it fits this film perfectly .	3	-2	 ok[0] that[0] is[0] a[0] pretty[2] bad[-1] title[0] but[0] it[0] fits[0] this[0] film[0] perfectly[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it basically serves up no purpose , and combined with dry dialogue and a boring and confusing plot , it completes the formula for a cinematic bomb . 	it basically serves up no purpose , and combined with dry dialogue and a boring and confusing plot , it completes the formula for a cinematic bomb .	1	-2	 it[0] basically[0] serves[0] up[0] no[0] purpose[0] and[0] combined[0] with[0] dry[0] dialogue[0] and[0] a[0] boring[-1] and[0] confusing[-1] plot[0] it[0] completes[0] the[0] formula[0] for[0] a[0] cinematic[0] bomb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
