synopsis : when a meteorite crashlands in the arizona desert , community college professors ira kane ( duchovny ) and harry block ( jones ) are first on the scene . 	Translation	Positive	Negative	EmotionRationale
they discover that an alien lifeform has arisen from the rock and is evolving at an amazing rate . 	they discover that an alien lifeform has arisen from the rock and is evolving at an amazing rate .	3	-2	 they[0] discover[0] that[0] an[0] alien[-1] lifeform[0] has[0] arisen[0] from[0] the[0] rock[1] and[0] is[0] evolving[0] at[0] an[0] amazing[2] rate[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
soon the army , advised by dr allison reed ( moore ) , moves in and forces kane and block out . 	soon the army , advised by dr allison reed ( more ) , moves in and forces kane and block out .	1	-2	 soon[0] the[0] army[0] advised[0] by[0] dr[0] allison[0] reed[0] moore/more[0] moves[0] in[0] and[0] forces[0] kane[0] and[0] block[-1] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but when the aliens begin to menace society , it may take the scientists' combined efforts to stop them before they terminate the evolution of another lifeform : humanity . 	but when the aliens begin to menace society , it may take the scientists' combined efforts to stop them before they terminate the evolution of another lifeform : humanity .	1	-3	 but[0] when[0] the[0] aliens[0] begin[0] to[0] menace[-2] society[0] it[0] may[0] take[0] the[0] scientists'[0] combined[0] efforts[0] to[0] stop[0] them[0] before[0] they[0] terminate[0] the[0] evolution[0] of[0] another[0] lifeform[0] humanity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
review : " evolution " certainly has the ingredients for a decent comedy . 	review : " evolution " certainly has the ingredients for a decent comedy .	1	-1	 review[0] evolution[0] certainly[0] has[0] the[0] ingredients[0] for[0] a[0] decent[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's directed by reitman , clearly trying to parlay his " ghostbusters " success into a twenty-first-century counterpart . 	it's directed by reitman , clearly trying to parlay his " ghostbusters " success into a twenty-first-century counterpart .	3	-1	 it's[0] directed[0] by[0] reitman[0] clearly[0] trying[0] to[0] parlay[0] his[0] ghostbusters[0] success[2] into[0] a[0] twenty[0] first[0] century[0] counterpart[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it stars duchovny , and although one might question his judgment in lampooning his " x-files " character so soon after leaving the tv series , it should certainly provide him with plenty of ammunition . 	it stars duchovny , and although one might question his judgment in lampooning his " x-files " character so soon after leaving the tv series , it should certainly provide him with plenty of ammunition .	2	-1	 it[0] stars[0] duchovny[0] and[0] although[0] one[0] might[0] question[0] his[0] judgment[0] in[0] lampooning[0] his[0] x[1] files[0] character[0] so[0] soon[0] after[0] leaving[0] the[0] tv[0] series[0] it[0] should[0] certainly[0] provide[0] him[0] with[0] plenty[0] of[0] ammunition[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and then there's moore , who may not have much prior experience in comedy , but who has certainly proven her ability as an actress . 	and then there's more , who may not have much prior experience in comedy , but who has certainly proven her ability as an actress .	1	-1	 and[0] then[0] there's[0] moore/more[0] who[0] may[0] not[0] have[0] much[0] prior[0] experience[0] in[0] comedy[0] but[0] who[0] has[0] certainly[0] proven[0] her[0] ability[0] as[0] an[0] actress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a shame , then , that it all deteriorates into such a hopelessly unfunny morass . 	a shame , then , that it all deteriorates into such a hopelessly unfunny morass .	1	-4	 a[0] shame[-2] then[0] that[0] it[0] all[0] deteriorates[0] into[0] such[0] a[0] hopelessly[-3] unfunny[0] morass[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " evolution " is a movie more concerned with its special effects ( which are quite good ) than anything resembling a consistently funny script . 	 " evolution " is a movie more concerned with its special effects ( which are quite good ) than anything resembling a consistently funny script .	2	-2	 evolution[0] is[0] a[0] movie[0] more[0] concerned[-1] with[0] its[0] special[1] effects[0] which[0] are[0] quite[0] good[1] than[0] anything[0] resembling[0] a[0] consistently[0] funny[1] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it has its moments ( a scene in which jones' body is invaded by an alien is particularly entertaining ) , but there are embarrassingly long stretches that are utterly devoid of humour . 	it has its moments ( a scene in which jones' body is invaded by an alien is particularly entertaining ) , but there are embarrassingly long stretches that are utterly devoid of humour .	3	-3	 it[0] has[0] its[0] moments[0] a[0] scene[0] in[0] which[0] jones'[0] body[0] is[0] invaded[-1] by[0] an[0] alien[-1] is[0] particularly[0] entertaining[0] but[0] there[0] are[0] embarrassingly[-2] long[0] stretches[0] that[0] are[0] utterly[0] devoid[-1] of[0] humour[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
moore is totally wasted , her clumsy shtick getting very old , very fast . 	more is totally wasted , her clumsy shtick getting very old , very fast .	1	-3	 moore/more[0] is[0] totally[0] wasted[-1][-1 LastWordBoosterStrength] her[0] clumsy[-1] shtick[0] getting[0] very[0] old[0] very[0] fast[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
duchovny has stunningly little in the way of material to work with . 	duchovny has stunningly little in the way of material to work with .	1	-1	 duchovny[0] has[0] stunningly[0] little[0] in[0] the[0] way[0] of[0] material[0] to[0] work[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the story is so formulaic , it could have been written by monkeys . 	and the story is so formulaic , it could have been written by monkeys .	1	-1	 and[0] the[0] story[0] is[0] so[0] formulaic[0] it[0] could[0] have[0] been[0] written[0] by[0] monkeys[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
part of what made " ghostbusters " so wonderful was a combination of a great script and characters the audience could root for . 	part of what made " ghostbusters " so wonderful was a combination of a great script and characters the audience could root for .	3	-1	 part[0] of[0] what[0] made[0] ghostbusters[0] so[0] wonderful[2] was[0] a[0] combination[0] of[0] a[0] great[2] script[0] and[0] characters[0] the[0] audience[0] could[0] root[0] for[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " evolution " is so mind-numbingly tedious that it's difficult not to start cheering for the aliens . 	 " evolution " is so mind-numbingly tedious that it's difficult not to start cheering for the aliens .	3	-3	 evolution[0] is[0] so[0] mind[0] numbingly[-1] tedious[-2] that[0] it's[0] difficult[-1] not[0] to[0] start[0] cheering[2] for[0] the[0] aliens[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
