i think of i know what you did last summer as the movie that scream and scream 2 could have been . 	Translation	Positive	Negative	EmotionRationale
mind you , though , i mean this in the worst possible way . 	mind you , though , i mean this in the worst possible way .	1	-3	 mind[0] you[0] though[0] i[0] mean[0] this[0] in[0] the[0] worst[-2] possible[0] way[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i know what you did last summer is a typical slasher flic without the smarts of the scream's . 	i know what you did last summer is a typical slasher flic without the smarts of the scream's .	2	-4	 i[0] know[0] what[0] you[0] did[0] last[0] summer[0] is[0] a[0] typical[0] slasher[-1] flic[0] without[0] the[0] smarts[1] of[0] the[0] scream's[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as a result , it's even worse than some of your better campy horror pictures ( see nightmare on elm street ) because it thinks it's about thirty times smarter than it is . 	as a result , it's even worse than some of your better campy horror pictures ( see nightmare on elm street ) because it thinks it's about thirty times smarter than it is .	2	-4	 as[0] a[0] result[0] it's[0] even[0] worse[-2] than[0] some[0] of[0] your[0] better[0] campy[0] horror[-3] pictures[0] see[0] nightmare[-2] on[0] elm[0] street[0] because[0] it[0] thinks[0] it's[0] about[0] thirty[0] times[0] smarter[1] than[0] it[0] is[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
based on a teen book of the same name and , disappointingly , adapted by scream scribe kevin williamson , i know what you did last summer begins with appropriately angsty modern rock music combined with some startling cinematography of a cliff along the ocean and an angsty sort sitting at the top . 	based on a teen book of the same name and , disappointingly , adapted by scream scribe kevin williamson , i know what you did last summer begins with appropriately angsty modern rock music combined with some startling cinematography of a cliff along the ocean and an angsty sort sitting at the top .	2	-4	 based[0] on[0] a[0] teen[0] book[0] of[0] the[0] same[0] name[0] and[0] disappointingly[-1] adapted[0] by[0] scream[-3] scribe[0] kevin[0] williamson[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] begins[0] with[0] appropriately[0] angsty[0] modern[0] rock[1] music[0] combined[0] with[0] some[0] startling[-1][--1 LastWordBoosterStrength] cinematography[0] of[0] a[0] cliff[0] along[0] the[0] ocean[0] and[0] an[0] angsty[0] sort[0] sitting[0] at[0] the[0] top[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the appropriate mood being set ( this is angst-horror for the 90's ) , we cut over to the july 4th parade in a small north carolina town . 	the appropriate mood being set ( this is angst-horror for the 90's ) , we cut over to the july 4th parade in a small north carolina town .	1	-4	 the[0] appropriate[0] mood[0] being[0] set[0] this[0] is[0] angst[0] horror[-3] for[0] the[0] 90's[0] we[0] cut[0] over[0] to[0] the[0] july[0] 4th[0] parade[0] in[0] a[0] small[0] north[0] carolina[0] town[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
from there , we see the blond , female protagonist , helen shivers ( woodenly played by sarah michelle geller ) , getting crowned croaker queen as the blond male " hero , " barry cox ( woodenly played by ryan phillipe ) , and matched brunette pair of protagonists , julie james and ray bronson ( woodenly played by party of five's jennifer love hewitt and freddie prinze jr . , respectively ) cheer her on . 	from there , we see the blond , female protagonist , helen shivers ( woodenly played by sarah michelle geller ) , getting crowned croaker queen as the blond male " hero , " barry cox ( woodenly played by ryan phillipe ) , and matched brunette pair of protagonists , julie james and ray bronson ( woodenly played by party of five's jennifer love hewitt and freddie prinze jr .<br> , respectively ) cheer her on .	3	-2	 from[0] there[0] we[0] see[0] the[0] blond[0] female[0] protagonist[0] helen[0] shivers[-1] woodenly[0] played[0] by[0] sarah[0] michelle[0] geller[0] getting[0] crowned[0] croaker[0] queen[0] as[0] the[0] blond[0] male[0] hero[2] barry[0] cox[0] woodenly[0] played[0] by[0] ryan[0] phillipe[0] and[0] matched[0] brunette[0] pair[0] of[0] protagonists[0] julie[0] james[0] and[0] ray[0] bronson[0] woodenly[0] played[0] by[0] party[0] of[0] five's[0] jennifer[0] love[2] hewitt[0] and[0] freddie[0] prinze[0] jr[0] [[Sentence=-2,3=word max, 1-5]] respectively[2] cheer[1] her[0] on[0] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
after getting drunk at a party , going to a beach to wittily discuss urban legend and indulge in some foreshadowing , and having some meaningful sex ( if you believe what the characters say ) , the four run down some guy crossing the windy cliff road at night . 	after getting drunk at a party , going to a beach to wittily discuss urban legend and indulge in some foreshadowing , and having some meaningful sex ( if you believe what the characters say ) , the four run down some guy crossing the windy cliff road at night .	1	-2	 after[0] getting[0] drunk[-1] at[0] a[0] party[0] going[0] to[0] a[0] beach[0] to[0] wittily[0] discuss[0] urban[0] legend[0] and[0] indulge[-1] in[0] some[0] foreshadowing[0] and[0] having[0] some[0] meaningful[0] sex[0] if[0] you[0] believe[0] what[0] the[0] characters[0] say[0] the[0] four[0] run[0] down[0] some[0] guy[0] crossing[0] the[0] windy[0] cliff[0] road[0] at[0] night[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his face is mangled so they can't tell who it is , and they come to the decision to dump him in the ocean so as to not ruin any of their future chances for success in the world . 	his face is mangled so they can't tell who it is , and they come to the decision to dump him in the ocean so as to not ruin any of their future chances for success in the world .	3	-2	 his[0] face[0] is[0] mangled[0] so[0] they[0] can't[0] tell[0] who[0] it[0] is[0] and[0] they[0] come[0] to[0] the[0] decision[0] to[0] dump[-1] him[0] in[0] the[0] ocean[0] so[0] as[0] to[0] not[0] ruin[-1][NegatedDueToPreviousWord] any[0] of[0] their[0] future[0] chances[0] for[0] success[2] in[0] the[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
cut to one year later . 	cut to one year later .	1	-1	 cut[0] to[0] one[0] year[0] later[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lives of our protagonists have gone from annoying to bad . 	the lives of our protagonists have gone from annoying to bad .	1	-3	 the[0] lives[0] of[0] our[0] protagonists[0] have[0] gone[0] from[0] annoying[-2] to[0] bad[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
main brunette female , the bright one of the bunch , has been plagued with guilt and almost failed out of college . 	main brunette female , the bright one of the bunch , has been plagued with guilt and almost failed out of college .	1	-4	 main[0] brunette[0] female[0] the[0] bright[0] one[0] of[0] the[0] bunch[0] has[0] been[0] plagued[-1] with[0] guilt[-3] and[0] almost[0] failed[-2] out[0] of[0] college[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
blond female has forfeited her dreams of starring on guiding light , and now works at the family store in town . 	blond female has forfeited her dreams of starring on guiding light , and now works at the family store in town .	1	-1	 blond[0] female[0] has[0] forfeited[0] her[0] dreams[0] of[0] starring[0] on[0] guiding[0] light[0] and[0] now[0] works[0] at[0] the[0] family[0] store[0] in[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brunette male is a fisherman , living off the land . 	brunette male is a fisherman , living off the land .	1	-1	 brunette[0] male[0] is[0] a[0] fisherman[0] living[0] off[0] the[0] land[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blond male has become a complete jerk and quarterback on some college football team . 	blond male has become a complete jerk and quarterback on some college football team .	1	-4	 blond[0] male[0] has[0] become[0] a[0] complete[0] jerk[-2][-1 LastWordBoosterStrength] and[0] quarterback[0] on[0] some[0] college[0] football[0] team[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
then , predictably , their past comes back to haunt them . 	then , predictably , their past comes back to haunt them .	1	-2	 then[0] predictably[0] their[0] past[0] comes[0] back[0] to[0] haunt[-1] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it all begins with an irrational murder , followed by some taunting of protagonists by the mysterious killer , bad acting by a good actress ( anne heche ) , an improbable plot , bad acting by the main bad actors , some more killing , concluding in a climactic scene , mostly climactic in the relief at the end of the movie . 	it all begins with an irrational murder , followed by some taunting of protagonists by the mysterious killer , bad acting by a good actress ( anne heche ) , an improbable plot , bad acting by the main bad actors , some more killing , concluding in a climactic scene , mostly climactic in the relief at the end of the movie .	2	-5	 it[0] all[0] begins[0] with[0] an[0] irrational[-2] murder[-3][-1 MultiplePositiveWords] followed[0] by[0] some[0] taunting[-1][--1 LastWordBoosterStrength] of[0] protagonists[0] by[0] the[0] mysterious[0] killer[-1] bad[-1] acting[0] by[0] a[0] good[1] actress[0] anne[0] heche[0] an[0] improbable[0] plot[0] bad[-1] acting[0] by[0] the[0] main[0] bad[-1] actors[0] some[0] more[0] killing[-1] concluding[0] in[0] a[0] climactic[0] scene[0] mostly[0] climactic[0] in[0] the[0] relief[1] at[0] the[0] end[0] of[0] the[0] movie[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
all the while , the actors and actresses spout off bad lines , and main brunette male does his best keanu reeves imitation . 	all the while , the actors and actresses spout off bad lines , and main brunette male does his best keanu reeves imitation .	2	-2	 all[0] the[0] while[0] the[0] actors[0] and[0] actresses[0] spout[0] off[0] bad[-1] lines[0] and[0] main[0] brunette[0] male[0] does[0] his[0] best[1] keanu[0] reeves[0] imitation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not that the movie was without pleasure . 	not that the movie was without pleasure .	3	-1	 not[0] that[0] the[0] movie[0] was[0] without[0] pleasure[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
count the illogical plot twists and bad lines for some fun . 	count the illogical plot twists and bad lines for some fun .	1	-2	 count[0] the[0] illogical[-1] plot[0] twists[0] and[0] bad[-1] lines[0] for[0] some[0] fun[1][-1 LastWordBoosterStrength] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mostly , though , note the costumes of main females and how trendily unattractive they make the otherwise eye-catching pair look . 	mostly , though , note the costumes of main females and how trendily unattractive they make the otherwise eye-catching pair look .	1	-3	 mostly[0] though[0] note[0] the[0] costumes[0] of[0] main[0] females[0] and[0] how[0] trendily[0] unattractive[-2] they[0] make[0] the[0] otherwise[0] eye[0] catching[0] pair[0] look[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
