although i had not been a viewer of the " rugrats " television series , i went into their first animated feature film , " the rugrats movie , " with a positive attitude . 	Translation	Positive	Negative	EmotionRationale
the trailer looked cute enough , after all . 	the trailer looked cute enough , after all .	2	-1	 the[0] trailer[0] looked[0] cute[1] enough[0] after[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after seeing it , i think the words in my recent " antz " review , in which i stated that it was the worst film of its type since 1995's " the pebble and the penguin , " were a bit premature . 	after seeing it , i think the words in my recent " antz " review , in which i stated that it was the worst film of its type since 1995's " the pebble and the penguin , " were a bit premature .	1	-3	 after[0] seeing[0] it[0] i[0] think[0] the[0] words[0] in[0] my[0] recent[0] antz[0] review[0] in[0] which[0] i[0] stated[0] that[0] it[0] was[0] the[0] worst[-2] film[0] of[0] its[0] type[0] since[0] 1995's[0] the[0] pebble[0] and[0] the[0] penguin[0] were[0] a[0] bit[0] premature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " the rugrats movie , " is bottom-of-the-barrel children's fare at its worst , and starts to make , " antz " look good in comparison . 	 " the rugrats movie , " is bottom-of-the-barrel children's fare at its worst , and starts to make , " antz " look good in comparison .	2	-3	 the[0] rugrats[0] movie[0] is[0] bottom[0] of[0] the[0] barrel[0] children's[0] fare[0] at[0] its[0] worst[-2] and[0] starts[0] to[0] make[0] antz[0] look[0] good[1] in[0] comparison[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as in the show , " the rugrats movie , " is about a group of very little friends , ranging from babies to a three-year-old . 	as in the show , " the rugrats movie , " is about a group of very little friends , ranging from babies to a three-year-old .	2	-1	 as[0] in[0] the[0] show[0] the[0] rugrats[0] movie[0] is[0] about[0] a[0] group[0] of[0] very[0] little[0] friends[1] ranging[0] from[0] babies[1] to[0] a[0] three[0] year[0] old[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the head of the group , tommy pickles ( e . g . 	the head of the group , tommy pickles ( e .<br> grin� .	1	-1	 the[0] head[0] of[0] the[0] group[0] tommy[0] pickles[0] e[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
daily ) , becomes distraught when his mother has a newborn baby named dill ( get it ? 	daily ) , becomes distraught when his mother has a newborn baby named dill ( get it ?	2	-4	 daily[0] becomes[0] distraught[-3] when[0] his[0] mother[0] has[0] a[0] newborn[0] baby[1] named[0] dill[0] get[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
dill pickles ? . . . hardee-har-har ! ) and is informed by his three-year-old cousin , anjelica ( cheryl chase ) , that the new babies always take all of the attention away from the other children . 	dill pickles ?<br> .<br> .<br> .<br> hardee-har-har !<br> ) and is informed by his three-year-old cousin , anjelica ( cheryl chase ) , that the new babies always take all of the attention away from the other children .	2	-2	 dill[0] pickles[0] [[Sentence=-1,1=word max, 1-5]] hardee[0] har[0] har[0] [[Sentence=-1,1=word max, 1-5]] and[0] is[0] informed[0] by[0] his[0] three[0] year[0] old[0] cousin[0] anjelica[0] cheryl[0] chase[-1] that[0] the[0] new[0] babies[1] always[0] take[0] all[0] of[0] the[0] attention[0] away[0] from[0] the[0] other[0] children[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when the other children , chuckie , and twins lil and phil , suggest taking dill back to the hospital , tommy goes along with it , but on their way there , they crash in the forest , and become lost , running into wolves and circus monkeys , among other things . 	when the other children , chuckie , and twins lil and phil , suggest taking dill back to the hospital , tommy goes along with it , but on their way there , they crash in the forest , and become lost , running into wolves and circus monkeys , among other things .	1	-1	 when[0] the[0] other[0] children[0] chuckie[0] and[0] twins[0] lil[0] and[0] phil[0] suggest[0] taking[0] dill[0] back[0] to[0] the[0] hospital[0] tommy[0] goes[0] along[0] with[0] it[0] but[0] on[0] their[0] way[0] there[0] they[0] crash[0] in[0] the[0] forest[0] and[0] become[0] lost[0] running[0] into[0] wolves[0] and[0] circus[0] monkeys[0] among[0] other[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the rugrats movie , " judging from the idea of being lost in the woods , could have been a potentially fun family film , and there were many different things that could have been done with the story . 	 " the rugrats movie , " judging from the idea of being lost in the woods , could have been a potentially fun family film , and there were many different things that could have been done with the story .	2	-1	 the[0] rugrats[0] movie[0] judging[0] from[0] the[0] idea[0] of[0] being[0] lost[0] in[0] the[0] woods[0] could[0] have[0] been[0] a[0] potentially[0] fun[1] family[0] film[0] and[0] there[0] were[0] many[0] different[0] things[0] that[0] could[0] have[0] been[0] done[0] with[0] the[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so what did the writers choose to do ? 	so what did the writers choose to do ?	1	-1	 so[0] what[0] did[0] the[0] writers[0] choose[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why , they set up a protracted , cliched scene where the children almost go over a waterfall , of course ! 	why , they set up a protracted , cliched scene where the children almost go over a waterfall , of course !	1	-1	 why[0] they[0] set[0] up[0] a[0] protracted[0] cliched[0] scene[0] where[0] the[0] children[0] almost[0] go[0] over[0] a[0] waterfall[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the youngest of children ( ages 3-7 ) , " the rugrats movie , " may very well entertain them , judging from the audience i saw this with . 	for the youngest of children ( ages 3-7 ) , " the rugrats movie , " may very well entertain them , judging from the audience i saw this with .	1	-1	 for[0] the[0] youngest[0] of[0] children[0] ages[0] 3[0] -7[0] the[0] rugrats[0] movie[0] may[0] very[0] well[0] entertain[0] them[0] judging[0] from[0] the[0] audience[0] i[0] saw[0] this[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , if you looked around at all of the older kids and their parents , they were all desperately struggling to stay awake , and that included me . 	of course , if you looked around at all of the older kids and their parents , they were all desperately struggling to stay awake , and that included me .	1	-3	 of[0] course[0] if[0] you[0] looked[0] around[0] at[0] all[0] of[0] the[0] older[0] kids[0] and[0] their[0] parents[0] they[0] were[0] all[0] desperately[-2] struggling[-1] to[0] stay[0] awake[0] and[0] that[0] included[0] me[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for an adult , " the rugrats movie , " is a piece of garbage . 	for an adult , " the rugrats movie , " is a piece of garbage .	1	-3	 for[0] an[0] adult[0] the[0] rugrats[0] movie[0] is[0] a[0] piece[0] of[0] garbage[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plotline is unoriginal and the writing has absolutely no wit or charm . 	the plotline is unoriginal and the writing has absolutely no wit or charm .	2	-1	 the[0] plotline[0] is[0] unoriginal[0] and[0] the[0] writing[0] has[0] absolutely[0] no[0] wit[0] or[0] charm[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there isn't one laugh to be had in the film , nor is there any excitement . 	there isn't one laugh to be had in the film , nor is there any excitement .	3	-2	 there[0] isn't[0] one[0] laugh[1][NegatedDueToPreviousWord] to[0] be[0] had[0] in[0] the[0] film[0] nor[0] is[0] there[0] any[0] excitement[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if anything is even marginally good in the picture , it is the bright animation style , so it is especially unfortunate that it wasn't to service a more quality film . 	if anything is even marginally good in the picture , it is the bright animation style , so it is especially unfortunate that it wasn't to service a more quality film .	2	-3	 if[0] anything[0] is[0] even[0] marginally[0] good[1] in[0] the[0] picture[0] it[0] is[0] the[0] bright[0] animation[0] style[0] so[0] it[0] is[0] especially[0] unfortunate[-1][-1 LastWordBoosterStrength] that[0] it[0] wasn't[0] to[0] service[0] a[0] more[0] quality[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " the rugrats movie " is doa from the start . 	 " the rugrats movie " is doa from the start .	1	-1	 the[0] rugrats[0] movie[0] is[0] doa[0] from[0] the[0] start[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am all for a worthwhile family movie , but sometimes an animated film comes along that is simply awful . 	i am all for a worthwhile family movie , but sometimes an animated film comes along that is simply awful .	2	-4	 i[0] am[0] all[0] for[0] a[0] worthwhile[1] family[0] movie[0] but[0] sometimes[0] an[0] animated[0] film[0] comes[0] along[0] that[0] is[0] simply[0] awful[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as said before , young children may like it , but even they deserve better than this . 	as said before , young children may like it , but even they deserve better than this .	1	-1	 as[0] said[0] before[0] young[0] children[0] may[0] like[1][-1 LastWordBoosterStrength] it[0] but[0] even[0] they[0] deserve[0] better[0] than[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for adults , it is a nearly unbearable , excruciating chore to sit through . 	for adults , it is a nearly unbearable , excruciating chore to sit through .	1	-5	 for[0] adults[0] it[0] is[0] a[0] nearly[0] unbearable[-3] excruciating[-4][-1 MultiplePositiveWords] chore[-2][-1 MultiplePositiveWords] to[0] sit[0] through[0] [[Sentence=-6,1=word max, 1-5]][[[1,-5 max of sentences]]]
