a documentary from the twin hughes brothers , allen and albert ( dead presidents , menace ii society ) , about street pimps , all of whom are african-american . 	Translation	Positive	Negative	EmotionRationale
an offscreen interviewer questions them about their lives and profession . 	an offscreen interviewer questions them about their lives and profession .	1	-1	 an[0] offscreen[0] interviewer[0] questions[0] them[0] about[0] their[0] lives[0] and[0] profession[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is mostly the pimps who do the talking for their ho's , and the egotistical and flamboyant way you would expect them to be , is what you get . 	it is mostly the pimps who do the talking for their ho's , and the egotistical and flamboyant way you would expect them to be , is what you get .	1	-3	 it[0] is[0] mostly[0] the[0] pimps[0] who[0] do[0] the[0] talking[0] for[0] their[0] ho's[0] and[0] the[0] egotistical[-2] and[0] flamboyant[0] way[0] you[0] would[0] expect[0] them[0] to[0] be[0] is[0] what[0] you[0] get[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i learned that the word " bitch " is their favorite word , as it seemed to crop up in every sentence they used . 	i learned that the word " bitch " is their favorite word , as it seemed to crop up in every sentence they used .	2	-2	 i[0] learned[0] that[0] the[0] word[0] bitch[-1] is[0] their[0] favorite[1] word[0] as[0] it[0] seemed[0] to[0] crop[0] up[0] in[0] every[0] sentence[0] they[0] used[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it makes for a film with no surprises or nothing fresh to say , but if one has a sense a humor for what their lifestyle is about , then some of what they rap about might seem amusing . 	it makes for a film with no surprises or nothing fresh to say , but if one has a sense a humor for what their lifestyle is about , then some of what they rap about might seem amusing .	3	-1	 it[0] makes[0] for[0] a[0] film[0] with[0] no[0] surprises[0] or[0] nothing[0] fresh[0] to[0] say[0] but[0] if[0] one[0] has[0] a[0] sense[0] a[0] humor[2] for[0] what[0] their[0] lifestyle[0] is[0] about[0] then[0] some[0] of[0] what[0] they[0] rap[0] about[0] might[0] seem[0] amusing[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they seem to all want to be thought of as businessmen , in the business because it is the easiest way for them to make big money . 	they seem to all want to be thought of as businessmen , in the business because it is the easiest way for them to make big money .	1	-1	 they[0] seem[0] to[0] all[0] want[0] to[0] be[0] thought[0] of[0] as[0] businessmen[0] in[0] the[0] business[0] because[0] it[0] is[0] the[0] easiest[0] way[0] for[0] them[0] to[0] make[0] big[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's also a power trip , accomplished by manipulating the girls to work for them , mostly by humiliating them and keeping them in place . 	it's also a power trip , accomplished by manipulating the girls to work for them , mostly by humiliating them and keeping them in place .	2	-4	 it's[0] also[0] a[0] power[0] trip[0] accomplished[1] by[0] manipulating[-1] the[0] girls[0] to[0] work[0] for[0] them[0] mostly[0] by[0] humiliating[-3] them[0] and[0] keeping[0] them[0] in[0] place[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this sleazy pic , soon became grating and wore out its welcome to my unreceptive ears . 	this sleazy pic , soon became grating and wore out its welcome to my unreceptive ears .	2	-3	 this[0] sleazy[-2] pic[0] soon[0] became[0] grating[1] and[0] wore[0] out[0] its[0] welcome[1] to[0] my[0] unreceptive[0] ears[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
these verbose pimps had a smart answer for everything and never knew when to shut their face . 	these verbose pimps had a smart answer for everything and never knew when to shut their face .	2	-1	 these[0] verbose[0] pimps[0] had[0] a[0] smart[1] answer[0] for[0] everything[0] and[0] never[0] knew[0] when[0] to[0] shut[0] their[0] face[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the hughes brothers used as their pimp role models , the feather-hatted , fur-coated , diamond ring-wearing , gold chain wearing , flashy cadillac-cruising pimp of the late '70s blaxploitation movies--like the mack and willie dynamite . 	the hughes brothers used as their pimp role models , the feather-hatted , fur-coated , diamond ring-wearing , gold chain wearing , flashy cadillac-cruising pimp of the late '70s blaxploitation movies-like the mack and willie dynamite .	2	-1	 the[0] hughes[0] brothers[0] used[0] as[0] their[0] pimp[0] role[0] models[0] the[0] feather[0] hatted[0] fur[0] coated[0] diamond[0] ring[0] wearing[0] gold[0] chain[0] wearing[0] flashy[0] cadillac[0] cruising[0] pimp[0] of[0] the[0] late[0] '70s[0] blaxploitation[0] movies[0] like[1] the[0] mack[0] and[0] willie[0] dynamite[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also used as reference , was iceberg slim's best-seller pimp , the story of my life . 	also used as reference , was iceberg slim's best-seller pimp , the story of my life .	2	-1	 also[0] used[0] as[0] reference[0] was[0] iceberg[0] slim's[0] best[1] seller[0] pimp[0] the[0] story[0] of[0] my[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
