the rich legacy of cinema has left us with certain indelible images . 	Translation	Positive	Negative	EmotionRationale
the tinkling christmas tree bell in " it's a wonderful life . " 	the tinkling christmas tree bell in " it's a wonderful life .<br> "	3	-1	 the[0] tinkling[0] christmas[0] tree[0] bell[0] in[0] it's[0] a[0] wonderful[2] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bogie's speech at the airport in " casablanca . " 	bogie's speech at the airport in " casablanca .<br> "	1	-1	 bogie's[0] speech[0] at[0] the[0] airport[0] in[0] casablanca[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
little elliott's flying bicycle , silhouetted by the moon in " e . t . " 	little elliott's flying bicycle , silhouetted by the moon in " e .<br> t .<br> "	1	-1	 little[0] elliott's[0] flying[0] bicycle[0] silhouetted[0] by[0] the[0] moon[0] in[0] e[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and now , " starship troopers " director paul verhoeven adds one more image that will live in our memories forever : doogie houser doing a vulcan mind meld with a giant slug . 	and now , " starship troopers " director paul verhoeven adds one more image that will live in our memories forever : doogie houser doing a vulcan mind meld with a giant slug .	1	-2	 and[0] now[0] starship[0] troopers[0] director[0] paul[0] verhoeven[0] adds[0] one[0] more[0] image[0] that[0] will[0] live[0] in[0] our[0] memories[0] forever[0] doogie[0] houser[0] doing[0] a[0] vulcan[0] mind[0] meld[0] with[0] a[0] giant[0] slug[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " starship troopers , " loosely based on the robert heinlein novel , is the story of an interstellar war between humans and giant insects . 	 " starship troopers , " loosely based on the robert heinlein novel , is the story of an interstellar war between humans and giant insects .	1	-3	 starship[0] troopers[0] loosely[0] based[0] on[0] the[0] robert[0] heinlein[0] novel[0] is[0] the[0] story[0] of[0] an[0] interstellar[0] war[-2] between[0] humans[0] and[0] giant[0] insects[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the hands of verhoeven , the mammoth sci-fi battle flick is one of the most astonishingly bad films ever made , a monument to inept filmmaking on a colossal scale . 	in the hands of verhoeven , the mammoth sci-fi battle flick is one of the most astonishingly bad films ever made , a monument to inept filmmaking on a colossal scale .	1	-2	 in[0] the[0] hands[0] of[0] verhoeven[0] the[0] mammoth[0] sci[0] fi[0] battle[-1] flick[0] is[0] one[0] of[0] the[0] most[0] astonishingly[0] bad[-1] films[0] ever[0] made[0] a[0] monument[0] to[0] inept[0] filmmaking[0] on[0] a[0] colossal[0] scale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to put it simply , it's a bug bomb . 	to put it simply , it's a bug bomb .	1	-2	 to[0] put[0] it[0] simply[0] it's[0] a[0] bug[-1] bomb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in " robocop " and " total recall , " verhoeven displayed a gift for creating an entertaining mix of violence , special effects and social satire , and " starship troopers " starts off in similar fashion , with a tongue-in-cheek futuristic military recruitment ad that shows promise . 	in " robocop " and " total recall , " verhoeven displayed a gift for creating an entertaining mix of violence , special effects and social satire , and " starship troopers " starts off in similar fashion , with a tongue-in-cheek futuristic military recruitment ad that shows promise .	2	-4	 in[0] robocop[0] and[0] total[0] recall[0] verhoeven[0] displayed[0] a[0] gift[0] for[0] creating[0] an[0] entertaining[0] mix[0] of[0] violence[-3] special[1] effects[0] and[0] social[0] satire[0] and[0] starship[0] troopers[0] starts[0] off[0] in[0] similar[0] fashion[0] with[0] a[0] tongue[0] in[0] cheek[0] futuristic[0] military[0] recruitment[0] ad[0] that[0] shows[0] promise[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
things go downhill fast , though , as we meet our heroes , a group of buenos aires teens preparing to graduate from high school . 	things go downhill fast , though , as we meet our heroes , a group of buenos aires teens preparing to graduate from high school .	3	-1	 things[0] go[0] downhill[0] fast[0] though[0] as[0] we[0] meet[0] our[0] heroes[2] a[0] group[0] of[0] buenos[0] aires[0] teens[0] preparing[0] to[0] graduate[0] from[0] high[0] school[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
inexplicably , johnny rico , carmen ibenez , dizzy flores and xander barcalow are played by square-jawed anglo kids who look like they just stepped out of a mountain dew commercial . 	inexplicably , johnny rico , carmen ibenez , dizy flores and xander barcalow are played by square-jawed anglo kids who look like they just stepped out of a mountain dew commercial .	2	-1	 inexplicably[0] johnny[0] rico[0] carmen[0] ibenez[0] dizzy/dizy[0] flores[0] and[0] xander[0] barcalow[0] are[0] played[0] by[0] square[0] jawed[0] anglo[0] kids[0] who[0] look[0] like[1] they[0] just[0] stepped[0] out[0] of[0] a[0] mountain[0] dew[0] commercial[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a veritable " alpha centuri 90210 " as we watch the love-smitten teens squabble in the name of love . 	it's a veritable " alpha centuri 90210 " as we watch the love-smitten teens squabble in the name of love .	3	-1	 it's[0] a[0] veritable[0] alpha[0] centuri[0] 90210[0] as[0] we[0] watch[0] the[0] love[2] smitten[0] teens[0] squabble[0] in[0] the[0] name[0] of[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
michael ironside plays their teacher , who waves around a cheesy fake severed arm while lecturing about civic responsibilities . 	michael ironside plays their teacher , who waves around a cheesy fake severed arm while lecturing about civic responsibilities .	2	-2	 michael[0] ironside[0] plays[1] their[0] teacher[0] who[0] waves[0] around[0] a[0] cheesy[0] fake[-1] severed[-1] arm[0] while[0] lecturing[0] about[0] civic[0] responsibilities[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eventually , the kids join the military , with dreams of glory in their addled little minds . 	eventually , the kids join the military , with dreams of glory in their addled little minds .	2	-1	 eventually[0] the[0] kids[0] join[0] the[0] military[0] with[0] dreams[0] of[0] glory[1] in[0] their[0] addled[0] little[0] minds[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
