any movie that kills emilio estevez off in the first fifteen minutes has something going for it . 	Translation	Positive	Negative	EmotionRationale
unfortunately , this and the familiar theme music are the only worthwhile things about mission impossible , directed by brian depalma . 	unfortunately , this and the familiar theme music are the only worthwhile things about mission impossible , directed by brian depalma .	2	-2	 unfortunately[-1] this[0] and[0] the[0] familiar[0] theme[0] music[0] are[0] the[0] only[0] worthwhile[1] things[0] about[0] mission[0] impossible[0] directed[0] by[0] brian[0] depalma[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the first problem is that this film has absolutely no connection with the tv show whatsoever , aside from the music . 	the first problem is that this film has absolutely no connection with the tv show whatsoever , aside from the music .	1	-2	 the[0] first[0] problem[-1] is[0] that[0] this[0] film[0] has[0] absolutely[0] no[0] connection[0] with[0] the[0] tv[0] show[0] whatsoever[0] aside[0] from[0] the[0] music[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the tv show was about an impossible mission force whose deft teamwork , orchestrated by jim phelps , allowed them to counfound evil dictators of mythic banana republics from inflicting their sordid schemes upon the world . 	the tv show was about an impossible mission force whose deft teamwork , orchestrated by jim phelps , allowed them to counfound evil dictators of mythic banana republics from inflicting their sordid schemes upon the world .	1	-3	 the[0] tv[0] show[0] was[0] about[0] an[0] impossible[0] mission[0] force[-1] whose[0] deft[0] teamwork[0] orchestrated[0] by[0] jim[0] phelps[0] allowed[0] them[0] to[0] counfound[0] evil[-2] dictators[0] of[0] mythic[0] banana[0] republics[0] from[0] inflicting[0] their[0] sordid[0] schemes[0] upon[0] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
teamwork was the key . 	teamwork was the key .	1	-1	 teamwork[0] was[0] the[0] key[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is set up as a cross between james bond and depalma's " blow out , " where the john travolta character was the victim of real and imagined conspiracies from all directions . 	this film is set up as a cross between james bond and depalma's " blow out , " where the john travolta character was the victim of real and imagined conspiracies from all directions .	1	-3	 this[0] film[0] is[0] set[0] up[0] as[0] a[0] cross[-1] between[0] james[0] bond[0] and[0] depalma's[0] blow[0] out[0] where[0] the[0] john[0] travolta[0] character[0] was[0] the[0] victim[-2] of[0] real[0] and[0] imagined[0] conspiracies[0] from[0] all[0] directions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was travolta's vulnerability that made that film so exciting and claustrophobic . 	it was travolta's vulnerability that made that film so exciting and claustrophobic .	3	-3	 it[0] was[0] travolta's[0] vulnerability[-2] that[0] made[0] that[0] film[0] so[0] exciting[2] and[0] claustrophobic[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in this film , tom cruise is basically omniscient ( believe that ? ) and so there's no fun going on here whatsoever . 	in this film , tom cruise is basically omniscient ( believe that ?<br> ) and so there's no fun going on here whatsoever .	2	-1	 in[0] this[0] film[0] tom[0] cruise[0] is[0] basically[0] omniscient[0] believe[0] that[0] [[Sentence=-1,1=word max, 1-5]] and[0] so[0] there's[0] no[0] fun[1] going[0] on[0] here[0] whatsoever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story is about as contrived as contrived gets , and is full of holes . 	the story is about as contrived as contrived gets , and is full of holes .	1	-1	 the[0] story[0] is[0] about[0] as[0] contrived[0] as[0] contrived[0] gets[0] and[0] is[0] full[0] of[0] holes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are basically two memorable sequences : one involves breaking into a kubrickesque computer room -- a task that could have been made much easier had the characters a whit of common sense ( suffice it to say that the alarm system is disengaged when the computer operator is in the room ) ; the second involves a high-speed train , a helicopter , and the chunnel and does not have to be seen to be disbelieved . 	there are basically two memorable sequences : one involves breaking into a kubrickesque computer room - a task that could have been made much easier had the characters a whit of common sense ( suffice it to say that the alarm system is disengaged when the computer operator is in the room ) ; the second involves a high-speed train , a helicopter , and the chunnel and does not have to be seen to be disbelieved .	1	-3	 there[0] are[0] basically[0] two[0] memorable[0] sequences[0] one[0] involves[0] breaking[0] into[0] a[0] kubrickesque[0] computer[0] room[0] a[0] task[0] that[0] could[0] have[0] been[0] made[0] much[0] easier[0] had[0] the[0] characters[0] a[0] whit[0] of[0] common[0] sense[0] suffice[0] it[0] to[0] say[0] that[0] the[0] alarm[-2] system[0] is[0] disengaged[0] when[0] the[0] computer[0] operator[0] is[0] in[0] the[0] room[0] the[0] second[0] involves[0] a[0] high[0] speed[0] train[0] a[0] helicopter[0] and[0] the[0] chunnel[0] and[0] does[0] not[0] have[0] to[0] be[0] seen[0] to[0] be[0] disbelieved[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the actors are all miscast , especially emannuelle beart as jim phelps wife , who cannot act , and ving rhames as a computer hacker ( ! ) , who looks lost and embarrased to be in this movie . 	the actors are all miscast , especially emannuelle beart as jim phelps wife , who cannot act , and ving rhames as a computer hacker ( !<br> ) , who looks lost and embarrased to be in this movie .	1	-1	 the[0] actors[0] are[0] all[0] miscast[0] especially[0] emannuelle[0] beart[0] as[0] jim[0] phelps[0] wife[0] who[0] cannot[0] act[0] and[0] ving[0] rhames[0] as[0] a[0] computer[0] hacker[0] [[Sentence=-1,1=word max, 1-5]] who[0] looks[0] lost[0] and[0] embarrased[0] to[0] be[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
