vampires starts out almost in the style of a spaghetti western with an attack on a small homestead in new mexico . 	Translation	Positive	Negative	EmotionRationale
the house has a nest of vampires and jack crow ( james woods ) is leading a team of vampire hunters in to clean them out . 	the house has a nest of vampires and jack crow ( james woods ) is leading a team of vampire hunters in to clean them out .	1	-1	 the[0] house[0] has[0] a[0] nest[0] of[0] vampires[0] and[0] jack[0] crow[0] james[0] woods[0] is[0] leading[0] a[0] team[0] of[0] vampire[0] hunters[0] in[0] to[0] clean[0] them[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the initial imagery is a little over-dramatic , it gives way to what is a fairly decent action sequence . 	while the initial imagery is a little over-dramatic , it gives way to what is a fairly decent action sequence .	1	-1	 while[0] the[0] initial[0] imagery[0] is[0] a[0] little[0] over[0] dramatic[0] it[0] gives[0] way[0] to[0] what[0] is[0] a[0] fairly[0] decent[0] action[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is enough action to last us a while and we could , director john carpenter would let us , get to a story line . 	that is enough action to last us a while and we could , director john carpenter would let us , get to a story line .	1	-1	 that[0] is[0] enough[0] action[0] to[0] last[0] us[0] a[0] while[0] and[0] we[0] could[0] director[0] john[0] carpenter[0] would[0] let[0] us[0] get[0] to[0] a[0] story[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it is not very long and there is not much plot until the next big action scene . 	but it is not very long and there is not much plot until the next big action scene .	1	-1	 but[0] it[0] is[0] not[0] very[0] long[0] and[0] there[0] is[0] not[0] much[0] plot[0] until[0] the[0] next[0] big[0] action[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there is only a bit more of plot before the next action scene after that . 	then there is only a bit more of plot before the next action scene after that .	1	-1	 then[0] there[0] is[0] only[0] a[0] bit[0] more[0] of[0] plot[0] before[0] the[0] next[0] action[0] scene[0] after[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is kept to a minimum and the interesting ideas in the plot really get the short end . 	the plot is kept to a minimum and the interesting ideas in the plot really get the short end .	2	-1	 the[0] plot[0] is[0] kept[0] to[0] a[0] minimum[0] and[0] the[0] interesting[1] ideas[0] in[0] the[0] plot[0] really[0] get[0] the[0] short[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and that is something of a pity because the film , based on the book vampire  by john steakley , gives us a myth for the origins of vampires and explains why vampires are so intertwined with religious imagery . 	and that is something of a pity because the film , based on the book vampire  by john steakley , gives us a myth for the origins of vampires and explains why vampires are so intertwined with religious imagery .	1	-2	 and[0] that[0] is[0] something[0] of[0] a[0] pity[-1] because[0] the[0] film[0] based[0] on[0] the[0] book[0] vampire[0] by[0] john[0] steakley[0] gives[0] us[0] a[0] myth[0] for[0] the[0] origins[0] of[0] vampires[0] and[0] explains[0] why[0] vampires[0] are[0] so[0] intertwined[0] with[0] religious[0] imagery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this could be an interesting departure from the standard vampire film , but carpenter decides to tell us about it rather than to show it . 	this could be an interesting departure from the standard vampire film , but carpenter decides to tell us about it rather than to show it .	2	-1	 this[0] could[0] be[0] an[0] interesting[1] departure[0] from[0] the[0] standard[0] vampire[0] film[0] but[0] carpenter[0] decides[0] to[0] tell[0] us[0] about[0] it[0] rather[0] than[0] to[0] show[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what carpenter saves his serious screen time for a sequence of spectacular fights between hunters and vampires . 	what carpenter saves his serious screen time for a sequence of spectacular fights between hunters and vampires .	2	-3	 what[0] carpenter[0] saves[1] his[0] serious[-1] screen[0] time[0] for[0] a[0] sequence[0] of[0] spectacular[0] fights[-2] between[0] hunters[0] and[0] vampires[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there is a lot of fighting and lots of gore . 	there is a lot of fighting and lots of gore .	1	-3	 there[0] is[0] a[0] lot[0] of[0] fighting[-2] and[0] lots[0] of[0] gore[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
