i have little against remakes and updates of older films and tv series . 	Translation	Positive	Negative	EmotionRationale
if there's a will , there's a way ; and i believe that anything , no matter how great or revered can be effectively improved upon . 	if there's a will , there's a way ; and i believe that anything , no matter how great or revered can be effectively improved upon .	3	-1	 if[0] there's[0] a[0] will[0] there's[0] a[0] way[0] and[0] i[0] believe[0] that[0] anything[0] no[0] matter[0] how[0] great[2] or[0] revered[0] can[0] be[0] effectively[0] improved[1] upon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is the reason that i responded so well to gus van sant's universally panned update of psycho ; i thought it to be not only an intriguing cinematic experience , but also very on-par with an original . 	this is the reason that i responded so well to gus van sant's universally panned update of psycho ; i thought it to be not only an intriguing cinematic experience , but also very on-par with an original .	1	-1	 this[0] is[0] the[0] reason[0] that[0] i[0] responded[0] so[0] well[0] to[0] gus[0] van[0] sant's[0] universally[0] panned[0] update[0] of[0] psycho[0] i[0] thought[0] it[0] to[0] be[0] not[0] only[0] an[0] intriguing[0] cinematic[0] experience[0] but[0] also[0] very[0] on[0] par[0] with[0] an[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i do have a big problem with remakes that are blatantly bad . 	but i do have a big problem with remakes that are blatantly bad .	1	-2	 but[0] i[0] do[0] have[0] a[0] big[0] problem[-1] with[0] remakes[0] that[0] are[0] blatantly[-1] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you see , the point of a remake is , or at least it should be , to iron out the original's flaws and bring the work that much closer to greatness or even perfection . 	you see , the point of a remake is , or at least it should be , to iron out the original's flaws and bring the work that much closer to greatness or even perfection .	3	-1	 you[0] see[0] the[0] point[0] of[0] a[0] remake[0] is[0] or[0] at[0] least[0] it[0] should[0] be[0] to[0] iron[0] out[0] the[0] original's[0] flaws[0] and[0] bring[0] the[0] work[0] that[0] much[0] closer[0] to[0] greatness[2] or[0] even[0] perfection[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but what if the source material on which the remake is based isn't any good to begin with ? 	but what if the source material on which the remake is based isn't any good to begin with ?	1	-2	 but[0] what[0] if[0] the[0] source[-1] material[0] on[0] which[0] the[0] remake[0] is[0] based[0] isn't[0] any[0] good[1][NegatedDueToPreviousWord] to[0] begin[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that is the only cinematic question pondered by the bland actioner the mod squad . 	that is the only cinematic question pondered by the bland actioner the mod squad .	1	-2	 that[0] is[0] the[0] only[0] cinematic[0] question[0] pondered[0] by[0] the[0] bland[-1] actioner[0] the[0] mod[0] squad[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've only seen a couple episodes of the late 60s tv series on which it is based , and to be honest , i didn't like it all that much . 	i've only seen a couple episodes of the late 60s tv series on which it is based , and to be honest , i didn't like it all that much .	2	-1	 i've[0] only[0] seen[0] a[0] couple[0] episodes[0] of[0] the[0] late[0] 60s[0] tv[0] series[0] on[0] which[0] it[0] is[0] based[0] and[0] to[0] be[0] honest[0] i[0] didn't[0] like[1] it[0] all[0] that[0] much[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it has a concept that -- and still is -- interesting ; a group of corrupt young adults , all in their early 20s are given a choice : they either go to jail for the various crimes that they all have committed , or they can become undercover cops , helping the police get into places that they normally wouldn't be able to access . 	it has a concept that - and still is - interesting ; a group of corrupt young adults , all in their early 20s are given a choice : they either go to jail for the various crimes that they all have committed , or they can become undercover cops , helping the police get into places that they normally wouldn't be able to access .	2	-3	 it[0] has[0] a[0] concept[0] that[0] and[0] still[0] is[0] interesting[1] a[0] group[0] of[0] corrupt[-2] young[0] adults[0] all[0] in[0] their[0] early[0] 20s[0] are[0] given[0] a[0] choice[0] they[0] either[0] go[0] to[0] jail[-1] for[0] the[0] various[0] crimes[-1] that[0] they[0] all[0] have[0] committed[0] or[0] they[0] can[0] become[0] undercover[0] cops[0] helping[0] the[0] police[0] get[0] into[0] places[0] that[0] they[0] normally[0] wouldn't[0] be[0] able[0] to[0] access[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
obviously , all 3 opt for the latter option and become undercover policemen ( and policewomen ) . 	obviously , all 3 opt for the latter option and become undercover policemen ( and policewomen ) .	1	-1	 obviously[0] all[0] 3[0] opt[0] for[0] the[0] latter[0] option[0] and[0] become[0] undercover[0] policemen[0] and[0] policewomen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the three main characters here are played by claire danes , omar epps and giovanni ribisi . 	the three main characters here are played by claire danes , omar epps and giovanni ribisi .	1	-1	 the[0] three[0] main[0] characters[0] here[0] are[0] played[0] by[0] claire[0] danes[0] omar[0] epps[0] and[0] giovanni[0] ribisi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
