one of these days , i'll make good on my promise never to rent another abel ferrara movie . 	Translation	Positive	Negative	EmotionRationale
king of new york and body snatchers notwithstanding ( and bad lieutenant is only fit for a single , emotive viewing ) , his exploitation flicks have fallen into a rut of hoary art-house trappings . 	king of new york and body snatchers notwithstanding ( and bad lieutenant is only fit for a single , emotive viewing ) , his exploitation flicks have fallen into a rut of hoary art-house trappings .	1	-2	 king[0] of[0] new[0] york[0] and[0] body[0] snatchers[-1] notwithstanding[0] and[0] bad[-1] lieutenant[0] is[0] only[0] fit[0] for[0] a[0] single[0] emotive[0] viewing[0] his[0] exploitation[0] flicks[0] have[0] fallen[0] into[0] a[0] rut[0] of[0] hoary[0] art[0] house[0] trappings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a perfume-drenched , coke-addled visit to the seedy pornography shop , where beautiful models ( no , hookers -- no , courtesans ) usher you through the silk curtains . 	it's a perfume-drenched , coke-addled visit to the seedy pornography shop , where beautiful models ( no , hookers - no , courtesans ) usher you through the silk curtains .	3	-1	 it's[0] a[0] perfume[0] drenched[0] coke[0] addled[0] visit[0] to[0] the[0] seedy[0] pornography[0] shop[0] where[0] beautiful[2] models[0] no[0] hookers[0] no[0] courtesans[0] usher[0] you[0] through[0] the[0] silk[0] curtains[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ferrara's only consistently smart move has been casting christopher walken over and over again , since walken can make a good movie great and a loathsome movie durable whenever he's onscreen . 	ferrara's only consistently smart move has been casting christopher walken over and over again , since walken can make a good movie great and a loathsome movie durable whenever he's onscreen .	3	-1	 ferrara's[0] only[0] consistently[0] smart[1] move[0] has[0] been[0] casting[0] christopher[0] walken[0] over[0] and[0] over[0] again[0] since[0] walken[0] can[0] make[0] a[0] good[1] movie[0] great[2] and[0] a[0] loathsome[0] movie[0] durable[0] whenever[0] he's[0] onscreen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his 8-minute scene in the addiction is the saving grace of that otherwise abysmal , unwatchable , and pretentious failure . 	his 8-minute scene in the addiction is the saving grace of that otherwise abysmal , unwatchable , and pretentious failure .	3	-3	 his[0] 8[0] minute[0] scene[0] in[0] the[0] addiction[-1] is[0] the[0] saving[0] grace[2] of[0] that[0] otherwise[0] abysmal[0] unwatchable[0] and[0] pretentious[-1] failure[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when he starts talking about his vampiric bowel movements , or questions whether lili taylor has ever read naked lunch , there's a much-needed dose of humor in an otherwise terminally unfunny affair . 	when he starts talking about his vampiric bowel movements , or questions whether lili taylor has ever read naked lunch , there's a much-needed dose of humor in an otherwise terminally unfunny affair .	3	-1	 when[0] he[0] starts[0] talking[0] about[0] his[0] vampiric[0] bowel[0] movements[0] or[0] questions[0] whether[0] lili[0] taylor[0] has[0] ever[0] read[0] naked[0] lunch[0] there's[0] a[0] much[0] needed[0] dose[0] of[0] humor[2] in[0] an[0] otherwise[0] terminally[0] unfunny[0] affair[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you know those gothic club kids who are too cool to smile and let you know they're actually having fun ? 	you know those gothic club kids who are too cool to smile and let you know they're actually having fun ?	3	-1	 you[0] know[0] those[0] gothic[0] club[0] kids[0] who[0] are[0] too[0] cool[1] to[0] smile[2] and[0] let[0] you[0] know[0] they're[0] actually[0] having[0] fun[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the addiction is that movie . 	the addiction is that movie .	1	-2	 the[0] addiction[-1] is[0] that[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
walken , sadly , does not appear in the blackout . 	walken , sadly , does not appear in the blackout .	1	-2	 walken[0] sadly[-1] does[0] not[0] appear[0] in[0] the[0] blackout[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the central role of matty , a junkie film star whose lightning paced hollywood life among the beautiful people is inevitably leading to his destruction , is played by matthew modine ( who takes what he can get after cutthroat island ) . 	the central role of matty , a junkie film star whose lightning paced hollywood life among the beautiful people is inevitably leading to his destruction , is played by matthew modine ( who takes what he can get after cutthroat island ) .	3	-2	 the[0] central[0] role[0] of[0] matty[0] a[0] junkie[0] film[0] star[0] whose[0] lightning[0] paced[0] hollywood[0] life[0] among[0] the[0] beautiful[2] people[0] is[0] inevitably[0] leading[0] to[0] his[0] destruction[-1] is[0] played[0] by[0] matthew[0] modine[0] who[0] takes[0] what[0] he[0] can[0] get[0] after[0] cutthroat[0] island[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
much like the protagonists of michelangelo antonioni's terminally bored cultural elite , matty is involved in a bitter pill " relationship " with high fashioned model annie ( at least i think she's a model . ) 	much like the protagonists of michelangelo antonioni's terminally bored cultural elite , matty is involved in a bitter pill " relationship " with high fashioned model annie ( at least i think she's a model .<br> )	2	-2	 much[0] like[1] the[0] protagonists[0] of[0] michelangelo[0] antonioni's[0] terminally[0] bored[-1] cultural[0] elite[0] matty[0] is[0] involved[0] in[0] a[0] bitter[-1] pill[0] relationship[0] with[0] high[0] fashioned[0] model[0] annie[0] at[0] least[0] i[0] think[0] she's[0] a[0] model[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
matty's lady is played by french actress b ? atrice dalle , arrested twice for cocaine possession during filming of the blackout -- not that you needed to know that , but it lends credence to the idea that ferrara's entire oeuvre has been filmed in a fucking blackout . 	matty's lady is played by french actress b ?<br> atrice dale , arrested twice for cocaine possession during filming of the blackout - not that you needed to know that , but it lends credence to the idea that ferrara's entire oeuvre has been filmed in a fucking blackout .	1	-1	 matty's[0] lady[0] is[0] played[0] by[0] french[0] actress[0] b[0] [[Sentence=-1,1=word max, 1-5]] atrice[0] dalle/dale[0] arrested[0] twice[0] for[0] cocaine[0] possession[0] during[0] filming[0] of[0] the[0] blackout[0] not[0] that[0] you[0] needed[0] to[0] know[0] that[0] but[0] it[0] lends[0] credence[0] to[0] the[0] idea[0] that[0] ferrara's[0] entire[0] oeuvre[0] has[0] been[0] filmed[0] in[0] a[0] fucking[0] blackout[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no kidding . 	no kidding .	1	-1	 no[0] kidding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
requiem for a dream has nothing on the junkie presentations seen in ferrara's movies and his controversial urban lifestyle . 	requiem for a dream has nothing on the junkie presentations seen in ferrara's movies and his controversial urban lifestyle .	1	-2	 requiem[0] for[0] a[0] dream[0] has[0] nothing[0] on[0] the[0] junkie[0] presentations[0] seen[0] in[0] ferrara's[0] movies[0] and[0] his[0] controversial[-1] urban[0] lifestyle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
matty and annie struggle over her decision to have an abortion without consulting him . 	matty and annie struggle over her decision to have an abortion without consulting him .	1	-2	 matty[0] and[0] annie[0] struggle[-1] over[0] her[0] decision[0] to[0] have[0] an[0] abortion[0] without[0] consulting[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no doubt , he was off chasing the dragon . 	no doubt , he was off chasing the dragon .	1	-2	 no[0] doubt[-1] he[0] was[0] off[0] chasing[0] the[0] dragon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in his despair , matty indulges in a chemical induced weekend of debauchery , tooling around the streets of miami with video filmmaker mickey wayne ( dennis hopper , in full " dirty ol' man " mold smacking models on the ass and telling them to spread their legs . 	in his despair , matty indulges in a chemical induced weekend of debauchery , tooling around the streets of miami with video filmmaker mickey wayne ( dennis hopper , in full " dirty ol' man " mold smacking models on the ass and telling them to spread their legs .	1	-4	 in[0] his[0] despair[-3] matty[0] indulges[0] in[0] a[0] chemical[0] induced[0] weekend[0] of[0] debauchery[0] tooling[0] around[0] the[0] streets[0] of[0] miami[0] with[0] video[0] filmmaker[0] mickey[0] wayne[0] dennis[0] hopper[0] in[0] full[0] dirty[-1] ol'[0] man[0] mold[0] smacking[-1] models[0] on[0] the[0] ass[0] and[0] telling[0] them[0] to[0] spread[0] their[0] legs[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
wider ! ) 	wider !<br> )	1	-1	 wider[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
toward the end of the night , they pick up a teenage waitress also named annie ( sarah lassez ) , start shooting a hastily improvised sexual scene , then matty thankfully blacks out . 	toward the end of the night , they pick up a teenage waitress also named annie ( sarah lassez ) , start shooting a hastily improvised sexual scene , then matty thankfully blacks out .	2	-2	 toward[0] the[0] end[0] of[0] the[0] night[0] they[0] pick[0] up[0] a[0] teenage[0] waitress[0] also[0] named[0] annie[0] sarah[0] lassez[0] start[0] shooting[-1] a[0] hastily[0] improvised[0] sexual[0] scene[0] then[0] matty[0] thankfully[1] blacks[0] out[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
something happened that night which haunts him throughout the rest of the movie , and it's exactly what you think it was . 	something happened that night which haunts him throughout the rest of the movie , and it's exactly what you think it was .	1	-1	 something[0] happened[0] that[0] night[0] which[0] haunts[0] him[0] throughout[0] the[0] rest[0] of[0] the[0] movie[0] and[0] it's[0] exactly[0] what[0] you[0] think[0] it[0] was[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
