there are those of us who think of leslie nielsen as the bumbling , hapless straight man from the hysterical " naked gun " films , crack an immediate smile and forgive him of whatever wavering movie spoof he's committed himself to starring in since . 	Translation	Positive	Negative	EmotionRationale
the wavering movie spoofs , however , are less forgivable . 	the wavering movie spoofs , however , are less forgivable .	2	-1	 the[0] wavering[0] movie[0] spoofs[0] however[0] are[0] less[0] forgivable[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to be fair , " wrongfully accused , " the send-up in question and nielsen's third parody since the last " gun , " isn't quite as excruciatingly humorless as his " dracula : dead and loving it " or " spy hard , " which is a mighty good thing . 	to be fair , " wrongfully accused , " the send-up in question and nielsen's third parody since the last " gun , " isn't quite as excruciatingly humorless as his " dracula : dead and loving it " or " spy hard , " which is a mighty good thing .	4	-5	 to[0] be[0] fair[0] wrongfully[-2] accused[-1] the[0] send[0] up[0] in[0] question[0] and[0] nielsen's[0] third[0] parody[0] since[0] the[0] last[0] gun[-1] isn't[0] quite[0] as[0] excruciatingly[-4] humorless[-2][-1 MultiplePositiveWords] as[0] his[0] dracula[0] dead[-2] and[0] loving[3] it[0] or[0] spy[0] hard[0] which[0] is[0] a[0] mighty[0] good[1] thing[0] [[Sentence=-5,4=word max, 1-5]][[[4,-5 max of sentences]]]
nielsen is still in tip-top comedic form , able as ever to deadpan his way through even the most horrible puns , but he really needs a screenplay that plays off his talents instead of relying on them , and he needs one very soon . 	nielsen is still in tip-top comedic form , able as ever to deadpan his way through even the most horrible puns , but he really needs a screenplay that plays off his talents instead of relying on them , and he needs one very soon .	2	-4	 nielsen[0] is[0] still[0] in[0] tip[0] top[0] comedic[0] form[0] able[0] as[0] ever[0] to[0] deadpan[0] his[0] way[0] through[0] even[0] the[0] most[0] horrible[-3] puns[0] but[0] he[0] really[0] needs[0] a[0] screenplay[0] that[0] plays[1] off[0] his[0] talents[1] instead[0] of[0] relying[0] on[0] them[0] and[0] he[0] needs[0] one[0] very[0] soon[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " wrongfully accused " meshes together the premises of " the fugitive " and " patriot games , " casting its always game star as ryan harrison ( get it ? ) , a master violinist who is drawn into an affair with a married temptress ( kelly le brock ) . 	 " wrongfully accused " meshes together the premises of " the fugitive " and " patriot games , " casting its always game star as ryan harrison ( get it ?<br> ) , a master violinist who is drawn into an affair with a married temptress ( kelly le brock ) .	1	-3	 wrongfully[-2] accused[-1] meshes[0] together[0] the[0] premises[0] of[0] the[0] fugitive[-1] and[0] patriot[0] games[0] casting[0] its[0] always[0] game[0] star[0] as[0] ryan[0] harrison[0] get[0] it[0] [[Sentence=-3,1=word max, 1-5]] a[0] master[0] violinist[0] who[0] is[0] drawn[0] into[0] an[0] affair[0] with[0] a[0] married[0] temptress[0] kelly[0] le[0] brock[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
she , however , sets harrison up to take the rap for the murder of her husband ( michael york ) - a crime actually committed by a one-armed , one-legged , one-eyed man ( aaron pearl ) . 	she , however , sets harrison up to take the rap for the murder of her husband ( michael york ) - a crime actually committed by a one-armed , one-legged , one-eyed man ( aron pearl ) .	1	-4	 she[0] however[0] sets[0] harrison[0] up[0] to[0] take[0] the[0] rap[0] for[0] the[0] murder[-3] of[0] her[0] husband[0] michael[0] york[0] a[0] crime[-1] actually[0] committed[0] by[0] a[0] one[0] armed[0] one[0] legged[0] one[0] eyed[0] man[0] aaron/aron[0] pearl[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
harrison is arrested , found guilty and sentenced to death , but escapes from a prison bus , of course , and then is pursued by a determined u . s . marshal named fergus falls ( richard crenna , unnecessarily riffing off of tommy lee jones' already smirky oscar-winning role ) . 	harrison is arrested , found guilty and sentenced to death , but escapes from a prison bus , of course , and then is pursued by a determined you .<br> s .<br> marshal named fergus falls ( richard crenna , unnecessarily riffing off of tommy lee jones' already smirky oscar-winning role ) .	2	-4	 harrison[0] is[0] arrested[0] found[0] guilty[-3] and[0] sentenced[0] to[0] death[-2] but[0] escapes[0] from[0] a[0] prison[-1] bus[0] of[0] course[0] and[0] then[0] is[0] pursued[0] by[0] a[0] determined[0] u[0] [[Sentence=-4,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] marshal[0] named[0] fergus[0] falls[0] richard[0] crenna[0] unnecessarily[-1] riffing[0] off[0] of[0] tommy[0] lee[0] jones'[0] already[0] smirky[0] oscar[0] winning[1] role[0] [[Sentence=-2,2=word max, 1-5]][[[2,-4 max of sentences]]]
there's also a mystery brunette ( melinda mcgraw ) and an assassination subplot involving the u . n . secretary general , but like any of it matters . 	there's also a mystery brunette ( melinda mcgraw ) and an assassination subplot involving the you .<br> n .<br> secretary general , but like any of it matters .	2	-3	 there's[0] also[0] a[0] mystery[0] brunette[0] melinda[0] mcgraw[0] and[0] an[0] assassination[-2] subplot[0] involving[0] the[0] u[0] [[Sentence=-3,1=word max, 1-5]] n[0] [[Sentence=-1,1=word max, 1-5]] secretary[0] general[0] but[0] like[1] any[0] of[0] it[0] matters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " wrongfully accused " gets off to an assured start , with an in-concert nielsen , touted " lord of the violin " by bare-chested posters , pulling a jimi hendrix on his musical instrument as hundreds of tuxedo-clad mosh in front of the stage . 	 " wrongfully accused " gets off to an assured start , with an in-concert nielsen , touted " lord of the violin " by bare-chested posters , pulling a jimi hendrix on his musical instrument as hundreds of tuxedo-clad mosh in front of the stage .	1	-3	 wrongfully[-2] accused[-1] gets[0] off[0] to[0] an[0] assured[0] start[0] with[0] an[0] in[0] concert[0] nielsen[0] touted[0] lord[0] of[0] the[0] violin[0] by[0] bare[0] chested[0] posters[0] pulling[0] a[0] jimi[0] hendrix[0] on[0] his[0] musical[0] instrument[0] as[0] hundreds[0] of[0] tuxedo[0] clad[0] mosh[0] in[0] front[0] of[0] the[0] stage[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nice touch . 	nice touch .	2	-1	 nice[1] touch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of the scenes that follow , however , never top the opener . 	most of the scenes that follow , however , never top the opener .	1	-1	 most[0] of[0] the[0] scenes[0] that[0] follow[0] however[0] never[0] top[0] the[0] opener[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
