chill factor is a carbon copy of speed with one notable exception : instead of a speeding bus , we now have an ice cream truck . 	Translation	Positive	Negative	EmotionRationale
the truck is driven by arlo ( cuba gooding jr . ) and mason ( skeet ulrich ) , who have been instructed by a dying scientist to transport a deadly chemical weapon to a military base by the name of fort mcgruder . 	the truck is driven by arlo ( cuba gooding jr .<br> ) and mason ( skeet ulrich ) , who have been instructed by a dying scientist to transport a deadly chemical weapon to a military base by the name of fort mcgruder .	1	-2	 the[0] truck[0] is[0] driven[0] by[0] arlo[0] cuba[0] gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]] and[0] mason[0] skeet[0] ulrich[0] who[0] have[0] been[0] instructed[0] by[0] a[0] dying[-1] scientist[0] to[0] transport[0] a[0] deadly[-1] chemical[0] weapon[-1] to[0] a[0] military[0] base[0] by[0] the[0] name[0] of[0] fort[0] mcgruder[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this particular weapon ( nicknamed  elvis' ) must be kept below a temperature of 50 degrees , or else the shockwave will goo-iffy everything in a mile radius . 	this particular weapon ( nicknamed  elvis' ) must be kept below a temperature of 50 degrees , or else the shockwave will goo-iffy everything in a mile radius .	1	-3	 this[0] particular[0] weapon[-1] nicknamed[0] elvis'[0] must[0] be[0] kept[0] below[0] a[0] temperature[0] of[0] 50[0] degrees[0] or[0] else[0] the[0] shockwave[-2] will[0] goo[0] iffy[0] everything[0] in[0] a[0] mile[0] radius[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that would be pretty nasty . 	that would be pretty nasty .	3	-3	 that[0] would[0] be[0] pretty[2] nasty[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the power of elvis is revealed in the opening scene , as dr . richard long ( david paymer ) conducts a test on an isolated tropical island . 	the power of elvis is revealed in the opening scene , as dr .<br> richard long ( david paymer ) conducts a test on an isolated tropical island .	1	-2	 the[0] power[0] of[0] elvis[0] is[0] revealed[0] in[0] the[0] opening[0] scene[0] as[0] dr[0] [[Sentence=-1,1=word max, 1-5]] richard[0] long[0] david[0] paymer[0] conducts[0] a[0] test[0] on[0] an[0] isolated[-1] tropical[0] island[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
long accidentally melts 18 soldiers and defoliates virtually the entire island , due to an enormously miscalculated safety distance . 	long accidentally melts 18 soldiers and defoliates virtually the entire island , due to an enormously miscalculated safety distance .	2	-2	 long[0] accidentally[-1] melts[0] 18[0] soldiers[0] and[0] defoliates[0] virtually[0] the[0] entire[0] island[0] due[0] to[0] an[0] enormously[0] miscalculated[0] safety[1] distance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the commanding officer , general brynner ( peter firth ) , is sentenced to 10 years in prison for the murder of his troops . 	the commanding officer , general brynner ( peter firth ) , is sentenced to 10 years in prison for the murder of his troops .	1	-4	 the[0] commanding[0] officer[0] general[0] brynner[0] peter[0] firth[0] is[0] sentenced[0] to[0] 10[0] years[0] in[0] prison[-1] for[0] the[0] murder[-3] of[0] his[0] troops[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
upon his release , the general is intent on tracking the good doctor down , snatching elvis , and selling the weapon to the highest international bidder . 	upon his release , the general is intent on tracking the good doctor down , snatching elvis , and selling the weapon to the highest international bidder .	2	-2	 upon[0] his[0] release[0] the[0] general[0] is[0] intent[0] on[0] tracking[0] the[0] good[1] doctor[0] down[0] snatching[-1] elvis[0] and[0] selling[0] the[0] weapon[-1] to[0] the[0] highest[0] international[0] bidder[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
protecting the fate of the world is a drifting hamburger flipper ( ulrich ) and a feisty ice cream delivery man ( gooding jr . ) , who must elude brynner's men and get elvis to safety at fort mcgruder . 	protecting the fate of the world is a drifting hamburger flipper ( ulrich ) and a feisty ice cream delivery man ( gooding jr .<br> ) , who must elude brynner's men and get elvis to safety at fort mcgruder .	2	-1	 protecting[0] the[0] fate[0] of[0] the[0] world[0] is[0] a[0] drifting[0] hamburger[0] flipper[0] ulrich[0] and[0] a[0] feisty[0] ice[0] cream[0] delivery[0] man[0] gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]] who[0] must[0] elude[0] brynner's[0] men[0] and[0] get[0] elvis[0] to[0] safety[1] at[0] fort[0] mcgruder[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all the while , of course , they must keep the weapon below 50 degrees . 	all the while , of course , they must keep the weapon below 50 degrees .	1	-2	 all[0] the[0] while[0] of[0] course[0] they[0] must[0] keep[0] the[0] weapon[-1] below[0] 50[0] degrees[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this proves to be tricky . 	this proves to be tricky .	1	-2	 this[0] proves[0] to[0] be[0] tricky[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
