man , this was one wierd movie . 	Translation	Positive	Negative	EmotionRationale
similar to conspiracy theory in that it couldn't decide which genre it is . 	similar to conspiracy theory in that it couldn't decide which genre it is .	1	-2	 similar[0] to[0] conspiracy[-1] theory[0] in[0] that[0] it[0] couldn't[0] decide[0] which[0] genre[0] it[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first hour is your standard stock aliens clone , which nicely created an eerie atmosphere about the ship . 	the first hour is your standard stock aliens clone , which nicely created an eerie atmosphere about the ship .	2	-1	 the[0] first[0] hour[0] is[0] your[0] standard[0] stock[0] aliens[0] clone[0] which[0] nicely[1] created[0] an[0] eerie[0] atmosphere[0] about[0] the[0] ship[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the last half hour ? 	the last half hour ?	1	-1	 the[0] last[0] half[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this was when the makers blew the script out the airlock and just decided - " screw it , let's just kill everybody " . 	this was when the makers blew the script out the airlock and just decided - " screw it , let's just kill everybody " .	1	-1	 this[0] was[0] when[0] the[0] makers[0] blew[0] the[0] script[0] out[0] the[0] airlock[0] and[0] just[0] decided[0] screw[0] it[0] let's[0] just[0] kill[-1][--1 LastWordBoosterStrength] everybody[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from then on - forget sci-fi . . . this 	from then on - forget sci-fi .<br> .<br> .<br> this	1	-1	 from[0] then[0] on[0] forget[0] sci[0] fi[0] [[Sentence=-1,1=word max, 1-5]] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
movie becomes 100% horror . 	movie becomes 100% horror .	1	-4	 movie[0] becomes[0] 100%[0] horror[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what really dissappointed me about this movie was that it tried to scare you in entirely the wrong way . 	what really disappointed me about this movie was that it tried to scare you in entirely the wrong way .	1	-4	 what[0] really[0] dissappointed/disappointed[-1][-1 LastWordBoosterStrength] me[0] about[0] this[0] movie[0] was[0] that[0] it[0] tried[0] to[0] scare[-3] you[0] in[0] entirely[0] the[0] wrong[-1] way[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
instead of using clever tricks or trying to build up to a scare - this movie just uses loud noises , sudden camera shifts and short quick bursts of gore . . . . . yawn . . . . everyone's 	instead of using clever tricks or trying to build up to a scare - this movie just uses loud noises , sudden camera shifts and short quick bursts of gore .<br> .<br> .<br> .<br> .<br> yawn .<br> .<br> .<br> .<br> everyone's	1	-4	 instead[0] of[0] using[0] clever[0] tricks[-1] or[0] trying[0] to[0] build[0] up[0] to[0] a[0] scare[-3] this[0] movie[0] just[0] uses[0] loud[0] noises[0] sudden[0] camera[0] shifts[0] and[0] short[0] quick[0] bursts[0] of[0] gore[0] [[Sentence=-4,1=word max, 1-5]] yawn[-1] [[Sentence=-2,1=word max, 1-5]] everyone's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
seen it all before and knows when to expect it . 	seen it all before and knows when to expect it .	1	-1	 seen[0] it[0] all[0] before[0] and[0] knows[0] when[0] to[0] expect[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one thing that was done well was the lead up to finding out about what happened to the previous crew . 	the one thing that was done well was the lead up to finding out about what happened to the previous crew .	1	-1	 the[0] one[0] thing[0] that[0] was[0] done[0] well[0] was[0] the[0] lead[0] up[0] to[0] finding[0] out[0] about[0] what[0] happened[0] to[0] the[0] previous[0] crew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are skeletons lying around mangled and mashed , but what did this ? 	there are skeletons lying around mangled and mashed , but what did this ?	1	-4	 there[0] are[0] skeletons[0] lying[-3] around[0] mangled[0] and[0] mashed[0] but[0] what[0] did[0] this[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
then finally after being painfully restored - the new crew views the video . 	then finally after being painfully restored - the new crew views the video .	1	-4	 then[0] finally[0] after[0] being[0] painfully[-3] restored[0] the[0] new[0] crew[0] views[0] the[0] video[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
