i'm giving this stinker . 	Translation	Positive	Negative	EmotionRationale
normally , the worst that i would ever rate a movie would be . 	normally , the worst that i would ever rate a movie would be .	1	-3	 normally[0] the[0] worst[-2] that[0] i[0] would[0] ever[0] rate[0] a[0] movie[0] would[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the total waste of time that is blazing saddles is , compounded by the fact that this movie is incredibly offensive , helped me come to the big goose egg . 	but the total waste of time that is blazing saddles is , compounded by the fact that this movie is incredibly offensive , helped me come to the big goose egg .	1	-5	 but[0] the[0] total[0] waste[-1][-1 LastWordBoosterStrength] of[0] time[0] that[0] is[0] blazing[0] saddles[0] is[0] compounded[0] by[0] the[0] fact[0] that[0] this[0] movie[0] is[0] incredibly[0] offensive[-2][-2 LastWordBoosterStrength] helped[0] me[0] come[0] to[0] the[0] big[0] goose[0] egg[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
i'm not sure what the hell mel brooks was thinking when he made this thing , or if he was even thinking at all . 	i'm not sure what the hell mel brooks was thinking when he made this thing , or if he was even thinking at all .	1	-2	 i'm[0] not[0] sure[0] what[0] the[0] hell[-1] mel[0] brooks[0] was[0] thinking[0] when[0] he[0] made[0] this[0] thing[0] or[0] if[0] he[0] was[0] even[0] thinking[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe in mel's little mind a horse being knocked unconscious because of a punch to the face is funny . 	maybe in mel's little mind a horse being knocked unconscious because of a punch to the face is funny .	2	-2	 maybe[0] in[0] mel's[0] little[0] mind[0] a[0] horse[0] being[0] knocked[0] unconscious[0] because[0] of[0] a[0] punch[-1] to[0] the[0] face[0] is[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in mine , it's not . 	in mine , it's not .	1	-1	 in[0] mine[0] it's[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or maybe mel graduated from the spike lee school of filmmaking . 	or maybe mel graduated from the spike lee school of filmmaking .	1	-1	 or[0] maybe[0] mel[0] graduated[0] from[0] the[0] spike[0] lee[0] school[0] of[0] filmmaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because only the self-righteous lee uses the n-word more often in his films than brooks did in this one . 	because only the self-righteous lee uses the n-word more often in his films than brooks did in this one .	1	-1	 because[0] only[0] the[0] self[0] righteous[0] lee[0] uses[0] the[0] n[0] word[0] more[0] often[0] in[0] his[0] films[0] than[0] brooks[0] did[0] in[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least lee has the smarts to realize that nobody is going to find that term amusing . 	at least lee has the smarts to realize that nobody is going to find that term amusing .	2	-1	 at[0] least[0] lee[0] has[0] the[0] smarts[1] to[0] realize[0] that[0] nobody[0] is[0] going[0] to[0] find[0] that[0] term[0] amusing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
brooks bandies it about like he figures the audience will be rolling in the aisles every time they hear it . 	brooks bandies it about like he figures the audience will be rolling in the aisles every time they hear it .	2	-1	 brooks[0] bandies[0] it[0] about[0] like[1] he[0] figures[0] the[0] audience[0] will[0] be[0] rolling[0] in[0] the[0] aisles[0] every[0] time[0] they[0] hear[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
wrong mel ! 	wrong mel !	1	-2	 wrong[-1] mel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i would call you a boob mel , but that insults breasts everywhere . 	i would call you a bob mel , but that insults breasts everywhere .	1	-3	 i[0] would[0] call[0] you[0] a[0] boob/bob[0] mel[0] but[0] that[0] insults[-2] breasts[0] everywhere[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this idiotic attempt at a comedy centers on the evil lieutenant governor's ( harvey korman ) attempts to clear out a town so he can buy up the land cheap and sell it to the railroad . 	this idiotic attempt at a comedy centers on the evil lieutenant governor's ( harvey korman ) attempts to clear out a town so he can buy up the land cheap and sell it to the railroad .	1	-3	 this[0] idiotic[-2] attempt[0] at[0] a[0] comedy[0] centers[0] on[0] the[0] evil[-2] lieutenant[0] governor's[0] harvey[0] korman[0] attempts[0] to[0] clear[0] out[0] a[0] town[0] so[0] he[0] can[0] buy[0] up[0] the[0] land[0] cheap[-1] and[0] sell[0] it[0] to[0] the[0] railroad[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he sends his goons to run the townsfolk out . 	he sends his goons to run the townsfolk out .	1	-1	 he[0] sends[0] his[0] goons[0] to[0] run[0] the[0] townsfolk[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the town appeals to the governor ( mel brooks in one of many uninspired , and unfunny roles ) to send them a new sheriff to protect them . 	but the town appeals to the governor ( mel brooks in one of many uninspired , and unfunny roles ) to send them a new sheriff to protect them .	1	-1	 but[0] the[0] town[0] appeals[0] to[0] the[0] governor[0] mel[0] brooks[0] in[0] one[0] of[0] many[0] uninspired[0] and[0] unfunny[0] roles[0] to[0] send[0] them[0] a[0] new[0] sheriff[0] to[0] protect[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
