if there were a subject just screaming to be made into a film , it was studio 54 , the late steve rubell's infamous new york discotheque , which came to symbolize the taboo-smashing excesses of the disco era's heyday : easy drugs and even easier sex between everyone , all set to a thumping dance beat . 	Translation	Positive	Negative	EmotionRationale
so when miramax started production on _54_ last year , the buzz of hype and resulting anticipation began : an edgy film as down-and-dirty as the club itself , written and directed by a promising first-timer ( mark christopher ) and starring some hot young talent ( salma hayek , neve campbell , newcomer ryan phillippe , and mike myers in his dramatic debut ) . 	so when miramax started production on _54_ last year , the buz of hype and resulting anticipation began : an edgy film as down-and-dirty as the club itself , written and directed by a promising first-timer ( mark christopher ) and starring some hot young talent ( salma hayek , neve campbell , newcomer ryan phillippe , and mike myers in his dramatic debut ) .	2	-2	 so[0] when[0] miramax[0] started[0] production[0] on[0] _54_[0] last[0] year[0] the[0] buzz/buz[0] of[0] hype[0] and[0] resulting[0] anticipation[0] began[0] an[0] edgy[0] film[0] as[0] down[0] and[0] dirty[-1] as[0] the[0] club[0] itself[0] written[0] and[0] directed[0] by[0] a[0] promising[1] first[0] timer[0] mark[0] christopher[0] and[0] starring[0] some[0] hot[0] young[0] talent[1] salma[0] hayek[0] neve[0] campbell[0] newcomer[0] ryan[0] phillippe[0] and[0] mike[0] myers[0] in[0] his[0] dramatic[0] debut[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
my , how easily does the worm turn . 	my , how easily does the worm turn .	1	-1	 my[0] how[0] easily[0] does[0] the[0] worm[0] turn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hype turned into damage control when word got out about 11th-hour reshoots ( wrapped only a month ago ) , a rash of studio-imposed edits that left virtually the entire cast and crew ( especially christopher ) unhappy , and the very likely possibility that miramax would not screen the finished film for critics . 	hype turned into damage control when word got out about 11th-hour reshoots ( wrapped only a month ago ) , a rash of studio-imposed edits that left virtually the entire cast and crew ( especially christopher ) unhappy , and the very likely possibility that miramax would not screen the finished film for critics .	1	-3	 hype[0] turned[0] into[0] damage[0] control[0] when[0] word[0] got[0] out[0] about[0] 11th[0] hour[0] reshoots[0] wrapped[0] only[0] a[0] month[0] ago[0] a[0] rash[-1] of[0] studio[0] imposed[-1] edits[0] that[0] left[0] virtually[0] the[0] entire[0] cast[0] and[0] crew[0] especially[0] christopher[0] unhappy[-2] and[0] the[0] very[0] likely[0] possibility[0] that[0] miramax[0] would[0] not[0] screen[0] the[0] finished[0] film[0] for[0] critics[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at the last minute , though , miramax did decide to screen the film ( so hastily scheduled was the screening that myers's last name was misspelled on the invitation , not to mention the numerous typos in the press notes ) for a media audience that came away noticeably less than impressed , myself included . 	at the last minute , though , miramax did decide to screen the film ( so hastily scheduled was the screening that myers's last name was misspelled on the invitation , not to mention the numerous typos in the press notes ) for a media audience that came away noticeably less than impressed , myself included .	2	-1	 at[0] the[0] last[0] minute[0] though[0] miramax[0] did[0] decide[0] to[0] screen[0] the[0] film[0] so[0] hastily[0] scheduled[0] was[0] the[0] screening[0] that[0] myers's[0] last[0] name[0] was[0] misspelled[0] on[0] the[0] invitation[0] not[0] to[0] mention[0] the[0] numerous[0] typos[0] in[0] the[0] press[0] notes[0] for[0] a[0] media[0] audience[0] that[0] came[0] away[0] noticeably[0] less[0] than[0] impressed[1] myself[0] included[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and with good reason--somehow , some way , the supremely disappointing _54_ has made the historically hip haven of hedonism . . . 	and with good reason-somehow , some way , the supremely disappointing _54_ has made the historically hip haven of hedonism .<br> .<br> .	3	-2	 and[0] with[0] good[1] reason[0] somehow[0] some[0] way[0] the[0] supremely[2] disappointing[-1] _54_[0] has[0] made[0] the[0] historically[0] hip[0] haven[0] of[0] hedonism[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
boring . 	boring .	1	-2	 boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although christopher has distanced himself from the finished film , he still must shoulder some of the blame for _54_'s lifelessness . 	although christopher has distanced himself from the finished film , he still must shoulder some of the blame for _54_'s lifelessness .	1	-2	 although[0] christopher[0] has[0] distanced[0] himself[0] from[0] the[0] finished[0] film[0] he[0] still[0] must[0] shoulder[0] some[0] of[0] the[0] blame[-1] for[0] _54_'s[0] lifelessness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
_54_ focuses , for the most part , on a tight-knit trio of employees at the club : coat check girl/aspiring disco diva anita ( a wasted hayek ) ; her busboy husband , greg ( breckin meyer ) ; and , most prominently , the fresh-from-jersey shane o'shea ( phillippe ) , who enjoys a quick rise from busboy to head bartender . 	_54_ focuses , for the most part , on a tight-knit trio of employees at the club : coat check girl/aspiring disco diva anita ( a wasted hayek ) ; her busboy husband , greg ( breckin meyer ) ; and , most prominently , the fresh-from-jersey shane o'shea ( phillippe ) , who enjoys a quick rise from busboy to head bartender .	3	-2	 _54_[0] focuses[0] for[0] the[0] most[0] part[0] on[0] a[0] tight[0] knit[0] trio[0] of[0] employees[0] at[0] the[0] club[0] coat[0] check[0] girl/aspiring[0] disco[0] diva[0] anita[0] a[0] wasted[-1] hayek[0] her[0] busboy[0] husband[0] greg[0] breckin[0] meyer[0] and[0] most[0] prominently[0] the[0] fresh[0] from[0] jersey[0] shane[0] o'shea[0] phillippe[0] who[0] enjoys[2] a[0] quick[0] rise[0] from[0] busboy[0] to[0] head[0] bartender[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
these characters are about as generic as those descriptions . 	these characters are about as generic as those descriptions .	1	-1	 these[0] characters[0] are[0] about[0] as[0] generic[0] as[0] those[0] descriptions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in focusing on the hired help , christopher really missed the boat . 	in focusing on the hired help , christopher really missed the boat .	1	-3	 in[0] focusing[0] on[0] the[0] hired[0] help[0] christopher[0] really[0] missed[-1][-1 LastWordBoosterStrength] the[0] boat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
