i came to an epiphany while watching the bachelor , an innocuous-enough-on-the-surface romantic comedy . 	Translation	Positive	Negative	EmotionRationale
it's not the sort of film in which one would expect to achieve any moment of clarity , but there it was nonetheless . 	it's not the sort of film in which one would expect to achieve any moment of clarity , but there it was nonetheless .	1	-1	 it's[0] not[0] the[0] sort[0] of[0] film[0] in[0] which[0] one[0] would[0] expect[0] to[0] achieve[0] any[0] moment[0] of[0] clarity[0] but[0] there[0] it[0] was[0] nonetheless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i sat there watching this marshmallow of a movie unfold when suddenly i realized what is so ridiculously wrong with the entire romantic comedy genre circa 1999 . 	i sat there watching this marshmallow of a movie unfold when suddenly i realized what is so ridiculously wrong with the entire romantic comedy genre circa 199 .	4	-3	 i[0] sat[0] there[0] watching[0] this[0] marshmallow[0] of[0] a[0] movie[0] unfold[0] when[0] suddenly[0] i[0] realized[0] what[0] is[0] so[0] ridiculously[-2] wrong[-1] with[0] the[0] entire[0] romantic[3] comedy[0] genre[0] circa[0] 1999/199[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
in a word , it's the same thing that's wrong with so many movies circa 1999 : writing . 	in a word , it's the same thing that's wrong with so many movies circa 199 : writing .	1	-2	 in[0] a[0] word[0] it's[0] the[0] same[0] thing[0] that's[0] wrong[-1] with[0] so[0] many[0] movies[0] circa[0] 1999/199[0] writing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
more to the point , it's the refusal to acknowledge that characterizations matter when you're telling a story about a relationship . 	more to the point , it's the refusal to acknowledge that characterizations matter when you're telling a story about a relationship .	1	-2	 more[0] to[0] the[0] point[0] it's[0] the[0] refusal[-1] to[0] acknowledge[0] that[0] characterizations[0] matter[0] when[0] you're[0] telling[0] a[0] story[0] about[0] a[0] relationship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the bachelor is merely the latest in a long line of films where we're expected to get dewy-eyed over any pairing of attractive , pleasant people just because they're attractive and pleasant . 	the bachelor is merely the latest in a long line of films where we're expected to get dewy-eyed over any pairing of attractive , pleasant people just because they're attractive and pleasant .	3	-1	 the[0] bachelor[0] is[0] merely[0] the[0] latest[0] in[0] a[0] long[0] line[0] of[0] films[0] where[0] we're[0] expected[0] to[0] get[0] dewy[0] eyed[0] over[0] any[0] pairing[0] of[0] attractive[1] pleasant[2] people[0] just[0] because[0] they're[0] attractive[1] and[0] pleasant[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in this particular case , attractive and pleasant exhibit a is jimmy shannon ( chris o'donnell ) , a single guy who has been watching his friends slowly but surely sucked into marriage . 	in this particular case , attractive and pleasant exhibit a is jimmy shannon ( chris o'donnell ) , a single guy who has been watching his friends slowly but surely sucked into marriage .	3	-2	 in[0] this[0] particular[0] case[0] attractive[1] and[0] pleasant[2] exhibit[0] a[0] is[0] jimmy[0] shannon[0] chris[0] o'donnell[0] a[0] single[0] guy[0] who[0] has[0] been[0] watching[0] his[0] friends[1] slowly[0] but[0] surely[0] sucked[-1] into[0] marriage[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's a scary notion for jimmy , even though he dearly loves attractive and pleasant exhibit b anne ( renee zellweger ) , his girlfriend of three years . 	it's a scary notion for jimmy , even though he dearly loves attractive and pleasant exhibit b anne ( renee zellweger ) , his girlfriend of three years .	3	-4	 it's[0] a[0] scary[-3] notion[0] for[0] jimmy[0] even[0] though[0] he[0] dearly[0] loves[2] attractive[1] and[0] pleasant[2] exhibit[0] b[0] anne[0] renee[0] zellweger[0] his[0] girlfriend[0] of[0] three[0] years[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
convinced despite his reservations that it's time to " sh * t or get off the pot , " jimmy proposes to anne -- very badly . 	convinced despite his reservations that it's time to " sh * t or get off the pot , " jimmy proposes to anne - very badly .	1	-3	 convinced[0] despite[0] his[0] reservations[0] that[0] it's[0] time[0] to[0] sh[0] t[0] or[0] get[0] off[0] the[0] pot[0] jimmy[0] proposes[0] to[0] anne[0] very[0] badly[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anne refuses , which leaves jimmy in a very odd position when his eccentric grandfather ( peter ustinov ) dies and leaves a very specific video will . 	anne refuses , which leaves jimmy in a very odd position when his eccentric grandfather ( peter ustinov ) dies and leaves a very specific video will .	1	-2	 anne[0] refuses[-1] which[0] leaves[0] jimmy[0] in[0] a[0] very[0] odd[0] position[0] when[0] his[0] eccentric[-1] grandfather[0] peter[0] ustinov[0] dies[0] and[0] leaves[0] a[0] very[0] specific[0] video[0] will[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jimmy stands to inhereit  100 million if he is married by 6 : 05 p . m . on his 30th birthday , stays married for 10 years and produces a child . 	jimmy stands to inhereit  100 million if he is married by 6 : 05 p .<br> m .<br> on his 30th birthday , stays married for 10 years and produces a child .	1	-1	 jimmy[0] stands[0] to[0] inhereit[0] 100[0] million[0] if[0] he[0] is[0] married[0] by[0] 6[0] 05[0] p[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] on[0] his[0] 30th[0] birthday[0] stays[0] married[0] for[0] 10[0] years[0] and[0] produces[0] a[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are only a couple of minor problems : 1 ) jimmy's 30th birthday is the next day ; 2 ) anne is nowhere to be found , meaning jimmy has to find another willing bride from among his many ex-girlfriends . 	there are only a couple of minor problems : 1 ) jimmy's 30th birthday is the next day ; 2 ) anne is nowhere to be found , meaning jimmy has to find another willing bride from among his many ex-girlfriends .	1	-2	 there[0] are[0] only[0] a[0] couple[0] of[0] minor[0] problems[-1] 1[0] jimmy's[0] 30th[0] birthday[0] is[0] the[0] next[0] day[0] 2[0] anne[0] is[0] nowhere[0] to[0] be[0] found[0] meaning[0] jimmy[0] has[0] to[0] find[0] another[0] willing[0] bride[0] from[0] among[0] his[0] many[0] ex[0] girlfriends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a wacky , brewster's millions-esque premise ( acknowledged as such in one of the film's better , more self-aware lines of dialogue ) , the kind where a shallow and materialistic guy learns what really matters . 	it's a wacky , brewster's millions-esque premise ( acknowledged as such in one of the film's better , more self-aware lines of dialogue ) , the kind where a shallow and materialistic guy learns what really matters .	2	-2	 it's[0] a[0] wacky[0] brewster's[0] millions[0] esque[0] premise[0] acknowledged[0] as[0] such[0] in[0] one[0] of[0] the[0] film's[0] better[0] more[0] self[0] aware[0] lines[0] of[0] dialogue[0] the[0] kind[1] where[0] a[0] shallow[-1] and[0] materialistic[0] guy[0] learns[0] what[0] really[0] matters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at least that would be the case if jimmy weren't already a world-class altruist . 	at least that would be the case if jimmy weren't already a world-class altruist .	1	-1	 at[0] least[0] that[0] would[0] be[0] the[0] case[0] if[0] jimmy[0] weren't[0] already[0] a[0] world[0] class[0] altruist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
screenwriter steve cohen slides into the story an even more draconian condition in the will : if jimmy doesn't get married , not only will he lose all the money , but the family billiard table buisness will be sold out from under him , costing hudreds of jobs . 	screenwriter steve cohen slides into the story an even more draconian condition in the will : if jimmy doesn't get married , not only will he lose all the money , but the family billiard table buisness will be sold out from under him , costing hudreds of jobs .	1	-2	 screenwriter[0] steve[0] cohen[0] slides[0] into[0] the[0] story[0] an[0] even[0] more[0] draconian[0] condition[0] in[0] the[0] will[0] if[0] jimmy[0] doesn't[0] get[0] married[0] not[0] only[0] will[0] he[0] lose[-1] all[0] the[0] money[0] but[0] the[0] family[0] billiard[0] table[0] buisness[0] will[0] be[0] sold[0] out[0] from[0] under[0] him[0] costing[0] hudreds[0] of[0] jobs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from the outset , jimmy's motivation isn't cash ; it's the livelihoods of his devoted employees . 	from the outset , jimmy's motivation isn't cash ; it's the livelihoods of his devoted employees .	3	-1	 from[0] the[0] outset[0] jimmy's[0] motivation[0] isn't[0] cash[0] it's[0] the[0] livelihoods[1] of[0] his[0] devoted[2] employees[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
