first troy beyer wrote the critically panned " b . a . p . s . " 	Translation	Positive	Negative	EmotionRationale
now she makes her directorial debut , writing , directing , and starring in this sub-par film about women talking about sex . 	now she makes her directorial debut , writing , directing , and starring in this sub-par film about women talking about sex .	1	-1	 now[0] she[0] makes[0] her[0] directorial[0] debut[0] writing[0] directing[0] and[0] starring[0] in[0] this[0] sub[0] par[0] film[0] about[0] women[0] talking[0] about[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though not without redeeming qualities , this film is bad . 	though not without redeeming qualities , this film is bad .	1	-2	 though[0] not[0] without[0] redeeming[0] qualities[0] this[0] film[0] is[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the basic story follows three single friends -- jazz ( beyer ) , lena ( randi ingerman ) , and michelle ( paget brewster ) -- in their search for love . 	the basic story follows three single friends - jaz ( beyer ) , lena ( randi ingerman ) , and michelle ( paget brewster ) - in their search for love .	3	-1	 the[0] basic[0] story[0] follows[0] three[0] single[0] friends[1] jazz/jaz[0] beyer[0] lena[0] randi[0] ingerman[0] and[0] michelle[0] paget[0] brewster[0] in[0] their[0] search[0] for[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jazz has an idea for a local talk show ; it would feature women talking about sex and dating . 	jaz has an idea for a local talk show ; it would feature women talking about sex and dating .	1	-1	 jazz/jaz[0] has[0] an[0] idea[0] for[0] a[0] local[0] talk[0] show[0] it[0] would[0] feature[0] women[0] talking[0] about[0] sex[0] and[0] dating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she and her friends make a demo tape of interviews with the women of miami . 	she and her friends make a demo tape of interviews with the women of miami .	2	-1	 she[0] and[0] her[0] friends[1] make[0] a[0] demo[0] tape[0] of[0] interviews[0] with[0] the[0] women[0] of[0] miami[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film itself is sprinkled with these real interviews throughout , both as part of the plot and as commentary on the situations of the main characters . 	the film itself is sprinkled with these real interviews throughout , both as part of the plot and as commentary on the situations of the main characters .	1	-1	 the[0] film[0] itself[0] is[0] sprinkled[0] with[0] these[0] real[0] interviews[0] throughout[0] both[0] as[0] part[0] of[0] the[0] plot[0] and[0] as[0] commentary[0] on[0] the[0] situations[0] of[0] the[0] main[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact that they are real provides a refreshing break from some of the more melodramatic moments in the film . 	the fact that they are real provides a refreshing break from some of the more melodramatic moments in the film .	1	-2	 the[0] fact[0] that[0] they[0] are[0] real[0] provides[0] a[0] refreshing[0] break[0] from[0] some[0] of[0] the[0] more[0] melodramatic[-1] moments[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are several moments of bad acting , corny dialogue , and emotional overextension . 	there are several moments of bad acting , corny dialogue , and emotional overextension .	1	-2	 there[0] are[0] several[0] moments[0] of[0] bad[-1] acting[0] corny[0] dialogue[0] and[0] emotional[-1] overextension[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a low-budget independent film from a first-time director , these faults can sometimes be forgiven , if the screenplay is fresh and solid . 	in a low-budget independent film from a first-time director , these faults can sometimes be forgiven , if the screenplay is fresh and solid .	2	-2	 in[0] a[0] low[-1] budget[0] independent[0] film[0] from[0] a[0] first[0] time[0] director[0] these[0] faults[-1] can[0] sometimes[0] be[0] forgiven[1] if[0] the[0] screenplay[0] is[0] fresh[0] and[0] solid[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that is not the case here . 	that is not the case here .	1	-1	 that[0] is[0] not[0] the[0] case[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script suffers from random plot developments . 	the script suffers from random plot developments .	1	-4	 the[0] script[0] suffers[-3] from[0] random[0] plot[0] developments[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are four or five of these turns in the plot , each one raising the question " where did that come from ? " 	there are four or five of these turns in the plot , each one raising the question " where did that come from ?<br> "	1	-1	 there[0] are[0] four[0] or[0] five[0] of[0] these[0] turns[0] in[0] the[0] plot[0] each[0] one[0] raising[0] the[0] question[0] where[0] did[0] that[0] come[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at one point , a character has a lifelong reconciliation with her mother . 	at one point , a character has a lifelong reconciliation with her mother .	1	-1	 at[0] one[0] point[0] a[0] character[0] has[0] a[0] lifelong[0] reconciliation[0] with[0] her[0] mother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we are supposed to be moved , but since the scene is completely un-led-up to , we really don't care if she and her mother get along . 	we are supposed to be moved , but since the scene is completely un-led-up to , we really don't care if she and her mother get along .	1	-2	 we[0] are[0] supposed[0] to[0] be[0] moved[0] but[0] since[0] the[0] scene[0] is[0] completely[0] un[0] led[0] up[0] to[0] we[0] really[0] don't[0] care[1][NegatedDueToPreviousWord] if[0] she[0] and[0] her[0] mother[0] get[0] along[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we've never seen her mother before . 	we've never seen her mother before .	1	-1	 we've[0] never[0] seen[0] her[0] mother[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we never see her again . 	we never see her again .	1	-1	 we[0] never[0] see[0] her[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who cares ? 	who cares ?	2	-1	 who[0] cares[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
