wizards is an animated feature that begins with a narration of epic proportions . 	Translation	Positive	Negative	EmotionRationale
over black and white drawings , we are told that the earth is destroyed in an apocalyptic nuclear exchange , sending the remnants of humanity through generations of radiation-induced mutation . 	over black and white drawings , we are told that the earth is destroyed in an apocalyptic nuclear exchange , sending the remnants of humanity through generations of radiation-induced mutation .	1	-3	 over[0] black[0] and[0] white[0] drawings[0] we[0] are[0] told[0] that[0] the[0] earth[0] is[0] destroyed[-2] in[0] an[0] apocalyptic[0] nuclear[0] exchange[0] sending[0] the[0] remnants[0] of[0] humanity[0] through[0] generations[0] of[0] radiation[0] induced[0] mutation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the " original " inhabitants of the earth , fairies and elves , return to populate the globe , along with their evil , mutant counterparts . 	the " original " inhabitants of the earth , fairies and elves , return to populate the globe , along with their evil , mutant counterparts .	1	-3	 the[0] original[0] inhabitants[0] of[0] the[0] earth[0] fairies[0] and[0] elves[0] return[0] to[0] populate[0] the[0] globe[0] along[0] with[0] their[0] evil[-2] mutant[0] counterparts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one day ( and i say " one day " not to be trite , but because that's exactly how it happened - no advance notice ) , a fairy queen gives birth to twins , one good and one evil . 	one day ( and i say " one day " not to be trite , but because that's exactly how it happened - no advance notice ) , a fairy queen gives birth to twins , one good and one evil .	2	-3	 one[0] day[0] and[0] i[0] say[0] one[0] day[0] not[0] to[0] be[0] trite[-2] but[0] because[0] that's[0] exactly[0] how[0] it[0] happened[0] no[0] advance[0] notice[0] a[0] fairy[0] queen[0] gives[0] birth[0] to[0] twins[0] one[0] good[1] and[0] one[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the twins grow up to be powerful wizards , the good one embracing magic , and the bad one utilizing technology to attempt to expand his evil empire . 	the twins grow up to be powerful wizards , the good one embracing magic , and the bad one utilizing technology to attempt to expand his evil empire .	2	-3	 the[0] twins[0] grow[0] up[0] to[0] be[0] powerful[0] wizards[0] the[0] good[1] one[0] embracing[0] magic[0] and[0] the[0] bad[-1] one[0] utilizing[0] technology[0] to[0] attempt[0] to[0] expand[0] his[0] evil[-2] empire[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we are given the notion that an ultimate battle must occur between the forces of magic and those of technology . 	we are given the notion that an ultimate battle must occur between the forces of magic and those of technology .	1	-2	 we[0] are[0] given[0] the[0] notion[0] that[0] an[0] ultimate[0] battle[-1] must[0] occur[0] between[0] the[0] forces[0] of[0] magic[0] and[0] those[0] of[0] technology[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as unoriginal as the premise is , i was still somewhat interested in how this story would play itself out . 	as unoriginal as the premise is , i was still somewhat interested in how this story would play itself out .	2	-1	 as[0] unoriginal[0] as[0] the[0] premise[0] is[0] i[0] was[0] still[0] somewhat[0] interested[1] in[0] how[0] this[0] story[0] would[0] play[0] itself[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's a lot you can do in an animated fantasy world , after all . 	there's a lot you can do in an animated fantasy world , after all .	1	-1	 there's[0] a[0] lot[0] you[0] can[0] do[0] in[0] an[0] animated[0] fantasy[0] world[0] after[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i soon learned , however , that the fantasy was the expectation of a decent film . 	i soon learned , however , that the fantasy was the expectation of a decent film .	1	-1	 i[0] soon[0] learned[0] however[0] that[0] the[0] fantasy[0] was[0] the[0] expectation[0] of[0] a[0] decent[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once the transition was made from still art to color animation , an entirely different feel takes precedence . 	once the transition was made from still art to color animation , an entirely different feel takes precedence .	1	-1	 once[0] the[0] transition[0] was[0] made[0] from[0] still[0] art[0] to[0] color[0] animation[0] an[0] entirely[0] different[0] feel[0] takes[0] precedence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather than the epic saga promised by the narration , we get a goofy-looking world of a saturday morning cartoon . 	rather than the epic saga promised by the narration , we get a goofy-looking world of a saturday morning cartoon .	2	-2	 rather[0] than[0] the[0] epic[0] saga[-1] promised[1] by[0] the[0] narration[0] we[0] get[0] a[0] goofy[0] looking[0] world[0] of[0] a[0] saturday[0] morning[0] cartoon[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not just the look , mind you , but all the zany sounds like  honk boing 	not just the look , mind you , but all the zany sounds like  honk boing	2	-1	 not[0] just[0] the[0] look[0] mind[0] you[0] but[0] all[0] the[0] zany[0] sounds[0] like[1] honk[0] boing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
