there are two things the american film industry should avoid at all costs . 	Translation	Positive	Negative	EmotionRationale
one is letting an ambitious actor convert one of his or her favorite novels into a feature film . 	one is letting an ambitious actor convert one of his or her favorite novels into a feature film .	2	-1	 one[0] is[0] letting[0] an[0] ambitious[0] actor[0] convert[0] one[0] of[0] his[0] or[0] her[0] favorite[1] novels[0] into[0] a[0] feature[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
two is never greenlight a sci-fi film starring john travolta . 	two is never greenlight a sci-fi film starring john travolta .	1	-1	 two[0] is[0] never[0] greenlight[0] a[0] sci[0] fi[0] film[0] starring[0] john[0] travolta[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to wit , we present the disaster that is battlefield earth . 	to wit , we present the disaster that is battlefield earth .	1	-2	 to[0] wit[0] we[0] present[0] the[0] disaster[-1] that[0] is[0] battlefield[-1] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a science-fiction opus starring the barbarino of the actors guild , battlefield earth should be shown only at maximum-security prisons when a prisoner is tossed in solitary for bad behavior . 	a science-fiction opus starring the barbarino of the actors guild , battlefield earth should be shown only at maximum-security prisons when a prisoner is tossed in solitary for bad behavior .	2	-3	 a[0] science[0] fiction[0] opus[0] starring[0] the[0] barbarino[-2] of[0] the[0] actors[0] guild[0] battlefield[-1] earth[0] should[0] be[0] shown[0] only[0] at[0] maximum[0] security[1] prisons[-1] when[0] a[0] prisoner[-1] is[0] tossed[0] in[0] solitary[0] for[0] bad[-1] behavior[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sci-fi is always a tricky beast : tight script , a good director , an ensemble cast of decent actors , and the ability to suspend even the most difficult of disbeliefs . 	sci-fi is always a tricky beast : tight script , a good director , an ensemble cast of decent actors , and the ability to suspend even the most difficult of disbeliefs .	2	-2	 sci[0] fi[0] is[0] always[0] a[0] tricky[-1] beast[0] tight[0] script[0] a[0] good[1] director[0] an[0] ensemble[0] cast[0] of[0] decent[0] actors[0] and[0] the[0] ability[0] to[0] suspend[-1] even[0] the[0] most[0] difficult[-1] of[0] disbeliefs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
battlefield earth fails at achieving even one of these attributes . 	battlefield earth fails at achieving even one of these attributes .	1	-3	 battlefield[-1] earth[0] fails[-2] at[0] achieving[0] even[0] one[0] of[0] these[0] attributes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
here's the  plot . ' 	here's the  plot .<br> '	1	-1	 here's[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the year is 3000 . 	the year is 300 .	1	-1	 the[0] year[0] is[0] 3000/300[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mankind has been become an endangered species thanks to the conquest of a race of aliens called the psychlos ( sounds like either the latest clown act from cirque de soleil or a white rap group ) . 	mankind has been become an endangered species thanks to the conquest of a race of aliens called the psychlos ( sounds like either the latest clown act from cirque de soleil or a white rap group ) .	2	-2	 mankind[0] has[0] been[0] become[0] an[0] endangered[-1] species[0] thanks[1] to[0] the[0] conquest[0] of[0] a[0] race[0] of[0] aliens[0] called[0] the[0] psychlos[0] sounds[0] like[1] either[0] the[0] latest[0] clown[0] act[0] from[0] cirque[0] de[0] soleil[0] or[0] a[0] white[0] rap[0] group[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a small band of humans dwell in radioactive caves located in the rockies in fear of the  demons' who dwell in the cities below . 	a small band of humans dwell in radioactive caves located in the rockies in fear of the  demons' who dwell in the cities below .	1	-4	 a[0] small[0] band[0] of[0] humans[0] dwell[0] in[0] radioactive[0] caves[0] located[0] in[0] the[0] rockies[0] in[0] fear[-3] of[0] the[0] demons'[0] who[0] dwell[0] in[0] the[0] cities[0] below[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
