this season needs another serial killer movie like kathie lee gifford needs more public devastation . 	Translation	Positive	Negative	EmotionRationale
but lo and behold , here comes " switchback , " and fast on the heels of such stalker fare as " kiss the girls " and " i know what you did last summer . " 	but lo and behold , here comes " switchback , " and fast on the heels of such stalker fare as " kiss the girls " and " i know what you did last summer .<br> "	3	-1	 but[0] lo[0] and[0] behold[0] here[0] comes[0] switchback[0] and[0] fast[0] on[0] the[0] heels[0] of[0] such[0] stalker[0] fare[0] as[0] kiss[2] the[0] girls[0] and[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but " switchback " is an undoubtedly weak genre entry , as the material it covers is old and tired , and the filmmakers rarely sustain enough energy to make any of the proceedings interesting . 	but " switchback " is an undoubtedly weak genre entry , as the material it covers is old and tired , and the filmmakers rarely sustain enough energy to make any of the proceedings interesting .	2	-2	 but[0] switchback[0] is[0] an[0] undoubtedly[0] weak[-1] genre[0] entry[0] as[0] the[0] material[0] it[0] covers[0] is[0] old[0] and[0] tired[-1] and[0] the[0] filmmakers[0] rarely[0] sustain[0] enough[0] energy[0] to[0] make[0] any[0] of[0] the[0] proceedings[0] interesting[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " switchback " opens with the murder of a babysitter and the abduction of the young child she's watching . 	 " switchback " opens with the murder of a babysitter and the abduction of the young child she's watching .	1	-4	 switchback[0] opens[0] with[0] the[0] murder[-3] of[0] a[0] babysitter[0] and[0] the[0] abduction[0] of[0] the[0] young[0] child[0] she's[0] watching[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we learn late in the game that the kid belongs to fbi agent frank lacrosse ( dennis quaid ) , and that the kidnapper/killer is a nameless fiend that lacrosse has been tracking across the country for quite a while . 	we learn late in the game that the kid belongs to fbi agent frank lacrosse ( dennis quaid ) , and that the kidnapper/killer is a nameless fiend that lacrosse has been tracking across the country for quite a while .	1	-3	 we[0] learn[0] late[0] in[0] the[0] game[0] that[0] the[0] kid[0] belongs[0] to[0] fbi[0] agent[0] frank[0] lacrosse[0] dennis[0] quaid[0] and[0] that[0] the[0] kidnapper/killer[0] is[0] a[0] nameless[0] fiend[-2] that[0] lacrosse[0] has[0] been[0] tracking[0] across[0] the[0] country[0] for[0] quite[0] a[0] while[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is promptly removed from the case , but this conflict of interest doesn't keep him from offering pursuit . 	he is promptly removed from the case , but this conflict of interest doesn't keep him from offering pursuit .	2	-2	 he[0] is[0] promptly[0] removed[0] from[0] the[0] case[0] but[0] this[0] conflict[-1] of[0] interest[1] doesn't[0] keep[0] him[0] from[0] offering[0] pursuit[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lacrosse's most recent trek takes him to a blood-soaked hotel room in amarillo , texas , where the local sheriff ( r . lee ermey ) is torn between his re-election campaign and helping his new ally catch his man . 	lacrosse's most recent trek takes him to a blood-soaked hotel room in amarillo , texas , where the local sheriff ( are .<br> lee ermey ) is torn between his re-election campaign and helping his new ally catch his man .	1	-1	 lacrosse's[0] most[0] recent[0] trek[0] takes[0] him[0] to[0] a[0] blood[0] soaked[0] hotel[0] room[0] in[0] amarillo[0] texas[0] where[0] the[0] local[0] sheriff[0] r[0] [[Sentence=-1,1=word max, 1-5]] lee[0] ermey[0] is[0] torn[0] between[0] his[0] re[0] election[0] campaign[0] and[0] helping[0] his[0] new[0] ally[0] catch[0] his[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a related aside , former railway worker bob goodall ( danny glover ) is cruising through the snowbound west in his pinup-plastered ( even on the seatbelts ) el dorado . 	in a related aside , former railway worker bob goodall ( danny glover ) is cruising through the snowbound west in his pinup-plastered ( even on the seatbelts ) el dorado .	1	-1	 in[0] a[0] related[0] aside[0] former[0] railway[0] worker[0] bob[0] goodall[0] danny[0] glover[0] is[0] cruising[0] through[0] the[0] snowbound[0] west[0] in[0] his[0] pinup[0] plastered[0] even[0] on[0] the[0] seatbelts[0] el[0] dorado[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the way , he picks up -- and subsequently saves the life of -- hitchhiking loner lane dixon ( jared leto ) . 	along the way , he picks up - and subsequently saves the life of - hitchiking loner lane dixon ( jared leto ) .	2	-2	 along[0] the[0] way[0] he[0] picks[0] up[0] and[0] subsequently[0] saves[1] the[0] life[0] of[0] hitchhiking/hitchiking[0] loner[-1] lane[0] dixon[0] jared[0] leto[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this tangent isn't a random one , as bob or lane will end up either holding a piece of the puzzle or turn out to be the killer himself . 	this tangent isn't a random one , as bob or lane will end up either holding a piece of the puzle or turn out to be the killer himself .	1	-2	 this[0] tangent[0] isn't[0] a[0] random[0] one[0] as[0] bob[0] or[0] lane[0] will[0] end[0] up[0] either[0] holding[0] a[0] piece[0] of[0] the[0] puzzle/puzle[0] or[0] turn[0] out[0] to[0] be[0] the[0] killer[-1] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or is the villain in fact lacrosse , only pretending to be after the cold-hearted murderer he knows so much about . 	or is the villain in fact lacrosse , only pretending to be after the cold-hearted murderer he knows so much about .	1	-4	 or[0] is[0] the[0] villain[-2] in[0] fact[0] lacrosse[0] only[0] pretending[0] to[0] be[0] after[0] the[0] cold[-1] hearted[0] murderer[-3] he[0] knows[0] so[0] much[0] about[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
