plot : a rich psychiatrist with a great home life gets his cute daughter kidnapped by some bad guys who want him to extract some information from the mind of one of his nutty patients . 	Translation	Positive	Negative	EmotionRationale
of course , the patient is not cooperative and the doctor only has a few hours to comply with their demands , before they kill his daughter . 	of course , the patient is not cooperative and the doctor only has a few hours to comply with their demands , before they kill his daughter .	1	-2	 of[0] course[0] the[0] patient[0] is[0] not[0] cooperative[0] and[0] the[0] doctor[0] only[0] has[0] a[0] few[0] hours[0] to[0] comply[0] with[0] their[0] demands[0] before[0] they[0] kill[-1] his[0] daughter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pretty good premise , no ? 	pretty good premise , no ?	3	-1	 pretty[2] good[1] premise[0] no[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
critique : if you're not a fan of movies packed with plot holes , inconsistencies and yes , even more plot holes , heed my words and skip this hollow thriller . 	critique : if you're not a fan of movies packed with plot holes , inconsistencies and yes , even more plot holes , heed my words and skip this hollow thriller .	2	-2	 critique[0] if[0] you're[0] not[0] a[0] fan[0] of[0] movies[0] packed[0] with[0] plot[0] holes[0] inconsistencies[-1] and[0] yes[0] even[0] more[0] plot[0] holes[0] heed[0] my[0] words[0] and[0] skip[0] this[0] hollow[-1] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and i don't like saying that either , since this film actually had some potential and started off pretty well . 	and i don't like saying that either , since this film actually had some potential and started off pretty well .	3	-2	 and[0] i[0] don't[0] like[1][NegatedDueToPreviousWord] saying[0] that[0] either[0] since[0] this[0] film[0] actually[0] had[0] some[0] potential[0] and[0] started[0] off[0] pretty[2] well[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sure , the story is basically just an amalgamation of ransom , primal fear and nick of time pureed into one , but the whole " psychiatrist working against the clock " thing , actually had me engaged at first . 	sure , the story is basically just an amalgamation of ransom , primal fear and nick of time pureed into one , but the whole " psychiatrist working against the clock " thing , actually had me engaged at first .	1	-4	 sure[0] the[0] story[0] is[0] basically[0] just[0] an[0] amalgamation[0] of[0] ransom[0] primal[0] fear[-3] and[0] nick[0] of[0] time[0] pureed[0] into[0] one[0] but[0] the[0] whole[0] psychiatrist[0] working[0] against[-1] the[0] clock[0] thing[0] actually[0] had[0] me[0] engaged[0] at[0] first[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but it's at about the halfway mark of this movie , that the bottom drops out and all that we're left with are a lot of questions and very few plausible answers . 	but it's at about the halfway mark of this movie , that the bottom drops out and all that we're left with are a lot of questions and very few plausible answers .	1	-1	 but[0] it's[0] at[0] about[0] the[0] halfway[0] mark[0] of[0] this[0] movie[0] that[0] the[0] bottom[0] drops[0] out[0] and[0] all[0] that[0] we're[0] left[0] with[0] are[0] a[0] lot[0] of[0] questions[0] and[0] very[0] few[0] plausible[0] answers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get the overly smart kid who manages to " pull one " over on the bad guys . 	we get the overly smart kid who manages to " pull one " over on the bad guys .	2	-2	 we[0] get[0] the[0] overly[0] smart[1] kid[0] who[0] manages[0] to[0] pull[0] one[0] over[0] on[0] the[0] bad[-1] guys[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we get a weak woman with her leg in a cast beating the crap out of a tough bad guy . 	we get a weak woman with her leg in a cast beating the crap out of a tough bad guy .	1	-3	 we[0] get[0] a[0] weak[-1] woman[0] with[0] her[0] leg[0] in[0] a[0] cast[0] beating[0] the[0] crap[-2] out[0] of[0] a[0] tough[-1] bad[-1] guy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we get douglas' character , a new york uppedity psychiatrist , suddenly turning into an action hero , with moves and attitude to boot . 	we get douglas' character , a new york uppedity psychiatrist , suddenly turning into an action hero , with moves and attitude to boot .	3	-1	 we[0] get[0] douglas'[0] character[0] a[0] new[0] york[0] uppedity[0] psychiatrist[0] suddenly[0] turning[0] into[0] an[0] action[0] hero[2] with[0] moves[0] and[0] attitude[0] to[0] boot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and what about the film's main plot point ? 	and what about the film's main plot point ?	1	-1	 and[0] what[0] about[0] the[0] film's[0] main[0] plot[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why would the bad guys still give a crap about this thing after 10 years , and even more so , why would they only give the shrink until the day's end to do his part ? 	why would the bad guys still give a crap about this thing after 10 years , and even more so , why would they only give the shrink until the day's end to do his part ?	1	-3	 why[0] would[0] the[0] bad[-1] guys[0] still[0] give[0] a[0] crap[-2] about[0] this[0] thing[0] after[0] 10[0] years[0] and[0] even[0] more[0] so[0] why[0] would[0] they[0] only[0] give[0] the[0] shrink[0] until[0] the[0] day's[0] end[0] to[0] do[0] his[0] part[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( you waited 10 years , what's another few days ? - or why not set up another heist instead ? ) . 	 ( you waited 10 years , what's another few days ?<br> - or why not set up another heist instead ?<br> ) .	1	-1	 you[0] waited[0] 10[0] years[0] what's[0] another[0] few[0] days[0] [[Sentence=-1,1=word max, 1-5]] or[0] why[0] not[0] set[0] up[0] another[0] heist[0] instead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll tell you why , it's because we wouldn't have a ( bad ) movie otherwise , that's why ! 	i'll tell you why , it's because we wouldn't have a ( bad ) movie otherwise , that's why !	1	-2	 i'll[0] tell[0] you[0] why[0] it's[0] because[0] we[0] wouldn't[0] have[0] a[0] bad[-1] movie[0] otherwise[0] that's[0] why[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and many , many more . 	and many , many more .	1	-1	 and[0] many[0] many[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ugh , whatever the case , it was just about the time that douglas' character suddenly removed murphy's character from the mental home ( and how come she went with him so nicely ? 	ugh , whatever the case , it was just about the time that douglas' character suddenly removed murphy's character from the mental home ( and how come she went with him so nicely ?	2	-3	 ugh[-2] whatever[0] the[0] case[0] it[0] was[0] just[0] about[0] the[0] time[0] that[0] douglas'[0] character[0] suddenly[0] removed[0] murphy's[0] character[0] from[0] the[0] mental[0] home[0] and[0] how[0] come[0] she[0] went[0] with[0] him[0] so[0] nicely[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i thought she didn't trust him ) , that i turned to my buddy and asked when the movie had turned into a joke . 	i thought she didn't trust him ) , that i turned to my buddy and asked when the movie had turned into a joke .	2	-1	 i[0] thought[0] she[0] didn't[0] trust[1] him[0] that[0] i[0] turned[0] to[0] my[0] buddy[0] and[0] asked[0] when[0] the[0] movie[0] had[0] turned[0] into[0] a[0] joke[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and a few bogus chase and action sequences later , we were left with a long-winded ending that did little to answer any other questions i might've still had , and actually brought up even more contradictions . 	and a few bogus chase and action sequences later , we were left with a long-winded ending that did little to answer any other questions i might've still had , and actually brought up even more contradictions .	1	-2	 and[0] a[0] few[0] bogus[-1] chase[-1] and[0] action[0] sequences[0] later[0] we[0] were[0] left[0] with[0] a[0] long[0] winded[0] ending[0] that[0] did[0] little[0] to[0] answer[0] any[0] other[0] questions[0] i[0] might've[0] still[0] had[0] and[0] actually[0] brought[0] up[0] even[0] more[0] contradictions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
badly put together , this movie features some decent acting , some nice cinematography and an initially interesting premise , but loses it all in a haze of plot miscues which ultimately leave you with little care for anyone . 	badly put together , this movie features some decent acting , some nice cinematography and an initially interesting premise , but loses it all in a haze of plot miscues which ultimately leave you with little care for anyone .	2	-2	 badly[-1] put[0] together[0] this[0] movie[0] features[0] some[0] decent[0] acting[0] some[0] nice[1][-1 LastWordBoosterStrength] cinematography[0] and[0] an[0] initially[0] interesting[1] premise[0] but[0] loses[-1] it[0] all[0] in[0] a[0] haze[0] of[0] plot[0] miscues[0] which[0] ultimately[0] leave[0] you[0] with[0] little[0] care[1] for[0] anyone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
