synopsis : a novelist struggling with his latest work buys a weird brain with a protruding eyeball encased in a jar . 	Translation	Positive	Negative	EmotionRationale
the brain exerts its evil influence upon the novelist and his secretary , while his wife disapproves . 	the brain exerts its evil influence upon the novelist and his secretary , while his wife disapproves .	1	-3	 the[0] brain[0] exerts[0] its[0] evil[-2] influence[0] upon[0] the[0] novelist[0] and[0] his[0] secretary[0] while[0] his[0] wife[0] disapproves[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , a loan shark in need of a shave tries to leave his profession . 	meanwhile , a loan shark in need of a shave tries to leave his profession .	1	-2	 meanwhile[0] a[0] loan[0] shark[-1] in[0] need[0] of[0] a[0] shave[0] tries[0] to[0] leave[0] his[0] profession[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
comments : why is this movie called possessed by the night ? 	comments : why is this movie called possessed by the night ?	1	-1	 comments[0] why[0] is[0] this[0] movie[0] called[0] possessed[0] by[0] the[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's hard to speculate . 	it's hard to speculate .	1	-1	 it's[0] hard[0] to[0] speculate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of this film takes place during the day , and the only thing possessing anyone is an icky , pulsating , bubbling brain thingie in a jar . 	most of this film takes place during the day , and the only thing possessing anyone is an icky , pulsating , bubbling brain thingie in a jar .	1	-1	 most[0] of[0] this[0] film[0] takes[0] place[0] during[0] the[0] day[0] and[0] the[0] only[0] thing[0] possessing[0] anyone[0] is[0] an[0] icky[0] pulsating[0] bubbling[0] brain[0] thingie[0] in[0] a[0] jar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in case you haven't picked up on this yet , possessed by the night is a bottom-of-the-barrel " thriller " ( i use the term " thriller " loosely here ) which is really cheap and bad . 	in case you haven't picked up on this yet , possessed by the night is a bottom-of-the-barrel " thriller " ( i use the term " thriller " loosely here ) which is really cheap and bad .	2	-3	 in[0] case[0] you[0] haven't[0] picked[0] up[0] on[0] this[0] yet[0] possessed[0] by[0] the[0] night[0] is[0] a[0] bottom[0] of[0] the[0] barrel[0] thriller[1] i[0] use[0] the[0] term[0] thriller[1] loosely[0] here[0] which[0] is[0] really[0] cheap[-1][-1 LastWordBoosterStrength] and[0] bad[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the plot , which sounds like a cheesy pulp science fiction story from the 1950s , actually serves one purpose : to exploit nude women as often as possible . 	the plot , which sounds like a cheesy pulp science fiction story from the 1950s , actually serves one purpose : to exploit nude women as often as possible .	2	-1	 the[0] plot[0] which[0] sounds[0] like[1] a[0] cheesy[0] pulp[0] science[0] fiction[0] story[0] from[0] the[0] 1950s[0] actually[0] serves[0] one[0] purpose[0] to[0] exploit[0] nude[0] women[0] as[0] often[0] as[0] possible[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
writing a movie review for a film like this proves oddly challenging . 	writing a movie review for a film like this proves oddly challenging .	2	-1	 writing[0] a[0] movie[0] review[0] for[0] a[0] film[0] like[1] this[0] proves[0] oddly[0] challenging[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's really not much to say . 	there's really not much to say .	1	-1	 there's[0] really[0] not[0] much[0] to[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the acting is lousy ; although , occasionally , the attempts at acting are so absurd that they garner a chuckle or two from the audience . 	the acting is lousy ; although , occasionally , the attempts at acting are so absurd that they garner a chuckle or two from the audience .	3	-3	 the[0] acting[0] is[0] lousy[-2] although[0] occasionally[0] the[0] attempts[0] at[0] acting[0] are[0] so[0] absurd[-1] that[0] they[0] garner[0] a[0] chuckle[2] or[0] two[0] from[0] the[0] audience[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
most humorous is frank sivero , who plays murray , the novelist's agent . 	most humorous is frank sivero , who plays murray , the novelist's agent .	3	-1	 most[0] humorous[2] is[0] frank[0] sivero[0] who[0] plays[1] murray[0] the[0] novelist's[0] agent[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is so horrible in this role that one can't help but be amused . 	he is so horrible in this role that one can't help but be amused .	2	-4	 he[0] is[0] so[0] horrible[-3] in[0] this[0] role[0] that[0] one[0] can't[0] help[0] but[0] be[0] amused[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the plot sucks . 	the plot sucks .	1	-2	 the[0] plot[0] sucks[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nearly half the film is devoted to a loser loan shark who wants out of the profession , even though he has only limited relevance to the movie as a whole . 	nearly half the film is devoted to a loser loan shark who wants out of the profession , even though he has only limited relevance to the movie as a whole .	3	-3	 nearly[0] half[0] the[0] film[0] is[0] devoted[2] to[0] a[0] loser[-2] loan[0] shark[-1] who[0] wants[0] out[0] of[0] the[0] profession[0] even[0] though[0] he[0] has[0] only[0] limited[0] relevance[0] to[0] the[0] movie[0] as[0] a[0] whole[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the dialogue stinks . 	the dialogue stinks .	1	-3	 the[0] dialogue[0] stinks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a loan shark , for instance , tells another how much he loves bimbos , which is something the audience really doesn't need to know . 	a loan shark , for instance , tells another how much he loves bimbos , which is something the audience really doesn't need to know .	3	-2	 a[0] loan[0] shark[-1] for[0] instance[0] tells[0] another[0] how[0] much[0] he[0] loves[2] bimbos[0] which[0] is[0] something[0] the[0] audience[0] really[0] doesn't[0] need[0] to[0] know[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
everything about possessed by the night is second rate , even the film credits . 	everything about possessed by the night is second rate , even the film credits .	1	-1	 everything[0] about[0] possessed[0] by[0] the[0] night[0] is[0] second[0] rate[0] even[0] the[0] film[0] credits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the names of the not-so-talented film crew scrolled by at the end , joseph scales came up , credited as being " assistsant to foley artist . " 	as the names of the not-so-talented film crew scrolled by at the end , joseph scales came up , credited as being " assistsant to foley artist .<br> "	1	-2	 as[0] the[0] names[0] of[0] the[0] not[0] so[0] talented[1][NegatedDueToPreviousWord] film[0] crew[0] scrolled[0] by[0] at[0] the[0] end[0] joseph[0] scales[0] came[0] up[0] credited[0] as[0] being[0] assistsant[0] to[0] foley[0] artist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
someone could have used an editor ! 	someone could have used an editor !	1	-1	 someone[0] could[0] have[0] used[0] an[0] editor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to be honest , the film is basically an excuse to flash frontal nudity and show some sex scenes . 	to be honest , the film is basically an excuse to flash frontal nudity and show some sex scenes .	1	-1	 to[0] be[0] honest[0] the[0] film[0] is[0] basically[0] an[0] excuse[0] to[0] flash[0] frontal[0] nudity[0] and[0] show[0] some[0] sex[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
playboy playmate shannon tweed , after all , is the star here . 	playboy playmate shannon tweed , after all , is the star here .	1	-1	 playboy[0] playmate[0] shannon[0] tweed[0] after[0] all[0] is[0] the[0] star[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
