instinct is the kind of movie that inexperienced moviegoers will undoubtedly label as " powerful " or " touching " . 	Translation	Positive	Negative	EmotionRationale
i have a name for it myself : " gross " . 	i have a name for it myself : " gross " .	1	-2	 i[0] have[0] a[0] name[0] for[0] it[0] myself[0] gross[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is the sort of film where somebody stands up to a bully , the bully looks at the " rebel " threateningly , about to hurt him , and then everyone else whom the bully has heretofore controlled stands up too . 	this is the sort of film where somebody stands up to a bully , the bully looks at the " rebel " threateningly , about to hurt him , and then everyone else whom the bully has heretofore controlled stands up too .	1	-3	 this[0] is[0] the[0] sort[0] of[0] film[0] where[0] somebody[0] stands[0] up[0] to[0] a[0] bully[0] the[0] bully[0] looks[0] at[0] the[0] rebel[-1] threateningly[-2] about[0] to[0] hurt[-2] him[0] and[0] then[0] everyone[0] else[0] whom[0] the[0] bully[0] has[0] heretofore[0] controlled[0] stands[0] up[0] too[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how that scene is still present in so many movies today appalls me : aren't present day moviegoers beyond being " inspired " by something like that ? 	how that scene is still present in so many movies today appals me : aren't present day moviegoers beyond being " inspired " by something like that ?	3	-1	 how[0] that[0] scene[0] is[0] still[0] present[0] in[0] so[0] many[0] movies[0] today[0] appalls/appals[0] me[0] aren't[0] present[0] day[0] moviegoers[0] beyond[0] being[0] inspired[2] by[0] something[0] like[1] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is one example ( there are actually some more in instinct alone ) of filmmakers insulting the audience's intelligence . 	this is one example ( there are actually some more in instinct alone ) of filmmakers insulting the audience's intelligence .	1	-3	 this[0] is[0] one[0] example[0] there[0] are[0] actually[0] some[0] more[0] in[0] instinct[0] alone[0] of[0] filmmakers[0] insulting[-2] the[0] audience's[0] intelligence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instinct's plot is brimming with potential : world-renowned anthropologist ethan powell ( anthony hopkins ) disappeared for two years whilst doing research in the jungles of africa . 	instinct's plot is brimming with potential : world-renowned anthropologist ethan powell ( anthony hopkins ) disappeared for two years whilst doing research in the jungles of africa .	1	-1	 instinct's[0] plot[0] is[0] brimming[0] with[0] potential[0] world[0] renowned[0] anthropologist[0] ethan[0] powell[0] anthony[0] hopkins[0] disappeared[0] for[0] two[0] years[0] whilst[0] doing[0] research[0] in[0] the[0] jungles[0] of[0] africa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was found and is coming back to the united states a convicted killer ; he murdered to african policemen who were allegedly trying to capture him . 	he was found and is coming back to the united states a convicted killer ; he murdered to african policemen who were allegedly trying to capture him .	1	-4	 he[0] was[0] found[0] and[0] is[0] coming[0] back[0] to[0] the[0] united[0] states[0] a[0] convicted[-1] killer[-1] he[0] murdered[-3] to[0] african[0] policemen[0] who[0] were[0] allegedly[-1] trying[0] to[0] capture[-1] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after committing a few more brutal acts of violence in the airport , the authorities stick him in a prison's " psychotics ward " . 	after committing a few more brutal acts of violence in the airport , the authorities stick him in a prison's " psychotics ward " .	1	-4	 after[0] committing[0] a[0] few[0] more[0] brutal[-2] acts[0] of[0] violence[-3] in[0] the[0] airport[0] the[0] authorities[0] stick[0] him[0] in[0] a[0] prison's[-1] psychotics[0] ward[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
assigned to do an evaluation on powell is a bright ( or so we are told ) young psychiatrist theo caulder ( cuba gooding jr . ) . 	assigned to do an evaluation on powell is a bright ( or so we are told ) young psychiatrist theo caulder ( cuba gooding jr .<br> ) .	1	-1	 assigned[0] to[0] do[0] an[0] evaluation[0] on[0] powell[0] is[0] a[0] bright[0] or[0] so[0] we[0] are[0] told[0] young[0] psychiatrist[0] theo[0] caulder[0] cuba[0] gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
caulder starts out doing the evaluation merely for the purpose of furthering his career . 	caulder starts out doing the evaluation merely for the purpose of furthering his career .	1	-1	 caulder[0] starts[0] out[0] doing[0] the[0] evaluation[0] merely[0] for[0] the[0] purpose[0] of[0] furthering[0] his[0] career[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course ( and no mainstream filmmaker would ever have it any other way ) he starts really caring for powell and he becomes fixed on helping powell prove that he is not a psychotic and that he should not be in prison . 	of course ( and no mainstream filmmaker would ever have it any other way ) he starts really caring for powell and he becomes fixed on helping powell prove that he is not a psychotic and that he should not be in prison .	4	-2	 of[0] course[0] and[0] no[0] mainstream[0] filmmaker[0] would[0] ever[0] have[0] it[0] any[0] other[0] way[0] he[0] starts[0] really[0] caring[2][1 LastWordBoosterStrength] for[0] powell[0] and[0] he[0] becomes[0] fixed[0] on[0] helping[0] powell[0] prove[0] that[0] he[0] is[0] not[0] a[0] psychotic[0] and[0] that[0] he[0] should[0] not[0] be[0] in[0] prison[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and then there's the inevitable " heartless meanie " character , in the form of donald sutherland who plays caulder's mentor . 	and then there's the inevitable " heartless meanie " character , in the form of donald sutherland who plays caulder's mentor .	2	-3	 and[0] then[0] there's[0] the[0] inevitable[0] heartless[-2] meanie[-1] character[0] in[0] the[0] form[0] of[0] donald[0] sutherland[0] who[0] plays[1] caulder's[0] mentor[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
