writer/director lawrence kasdan had a hand in penning some of the biggest film successes of the 1980s . 	Translation	Positive	Negative	EmotionRationale
yes , that's right , he co-wrote raiders of the lost ark ( 9/10 ) , the empire strikes back ( 8 . 5/10 ) and return of the jedi ( 8/10 ) . 	yes , that's right , he co-wrote raiders of the lost ark ( 9/10 ) , the empire strikes back ( 8 .<br> 5/10 ) and return of the jedi ( 8/10 ) .	1	-1	 yes[0] that's[0] right[0] he[0] co[0] wrote[0] raiders[0] of[0] the[0] lost[0] ark[0] 9/10[0] the[0] empire[0] strikes[0] back[0] 8[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] and[0] return[0] of[0] the[0] jedi[0] 8/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now with this film , it looks as though he has decided to test his skills at mediocre screenwriting and bland directing . 	now with this film , it looks as though he has decided to test his skills at mediocre screenwriting and bland directing .	1	-2	 now[0] with[0] this[0] film[0] it[0] looks[0] as[0] though[0] he[0] has[0] decided[0] to[0] test[0] his[0] skills[0] at[0] mediocre[-1] screenwriting[0] and[0] bland[-1] directing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and guess what ? 	and guess what ?	1	-1	 and[0] guess[0] what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he succeeds once again ! 	he succeeds once again !	3	-1	 he[0] succeeds[2] once[0] again[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
plot : a man with a shady and regrettable past decides to run away and into a small american town , where he pretends to be a licensed psychologist to an open-armed swarm of people with problems . 	plot : a man with a shady and regrettable past decides to run away and into a small american town , where he pretends to be a licensed psychologist to an open-armed swarm of people with problems .	1	-2	 plot[0] a[0] man[0] with[0] a[0] shady[-1] and[0] regrettable[-1] past[0] decides[0] to[0] run[0] away[0] and[0] into[0] a[0] small[0] american[0] town[0] where[0] he[0] pretends[0] to[0] be[0] a[0] licensed[0] psychologist[0] to[0] an[0] open[0] armed[0] swarm[0] of[0] people[0] with[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it isn't long before he befriends the small-town billionaire , folks become suspicious and he falls for one of his own patients . 	it isn't long before he befriends the small-town billionaire , folks become suspicious and he falls for one of his own patients .	1	-2	 it[0] isn't[0] long[0] before[0] he[0] befriends[0] the[0] small[0] town[0] billionaire[0] folks[0] become[0] suspicious[-1] and[0] he[0] falls[0] for[0] one[0] of[0] his[0] own[0] patients[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
critique : this film is not a comedy ! 	critique : this film is not a comedy !	1	-1	 critique[0] this[0] film[0] is[0] not[0] a[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a drama . 	it is a drama .	1	-1	 it[0] is[0] a[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i say this right up front because from the looks of the trailer , you would think that this film secures its base in humor , but unfortunately for us , it does not . 	i say this right up front because from the looks of the trailer , you would think that this film secures its base in humor , but unfortunately for us , it does not .	3	-2	 i[0] say[0] this[0] right[0] up[0] front[0] because[0] from[0] the[0] looks[0] of[0] the[0] trailer[0] you[0] would[0] think[0] that[0] this[0] film[0] secures[1] its[0] base[0] in[0] humor[2] but[0] unfortunately[-1] for[0] us[0] it[0] does[0] not[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is a serious film ( seriously flawed if you ask me , but i digress ) which offers a couple of witty quips to keep you awake , but overall , just sits there . 	it is a serious film ( seriously flawed if you ask me , but i digress ) which offers a couple of witty quips to keep you awake , but overall , just sits there .	1	-2	 it[0] is[0] a[0] serious[-1] film[0] seriously[0] flawed[0] if[0] you[0] ask[0] me[0] but[0] i[0] digress[0] which[0] offers[0] a[0] couple[0] of[0] witty[0] quips[0] to[0] keep[0] you[0] awake[0] but[0] overall[0] just[0] sits[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
