mulholland drive did very well at the cannes film festival . 	Translation	Positive	Negative	EmotionRationale
as you can see from the rating it did not do very well from me at the toronto international film festival . 	as you can see from the rating it did not do very well from me at the toronto international film festival .	1	-1	 as[0] you[0] can[0] see[0] from[0] the[0] rating[0] it[0] did[0] not[0] do[0] very[0] well[0] from[0] me[0] at[0] the[0] toronto[0] international[0] film[0] festival[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it may not be clear to the viewer why i am so negative on this film for most of the running time . 	it may not be clear to the viewer why i am so negative on this film for most of the running time .	1	-2	 it[0] may[0] not[0] be[0] clear[0] to[0] the[0] viewer[0] why[0] i[0] am[0] so[0] negative[-1] on[0] this[0] film[0] for[0] most[0] of[0] the[0] running[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact it is an interesting mystery story told on the backdrop of the hollywood film industry . 	in fact it is an interesting mystery story told on the backdrop of the hollywood film industry .	2	-1	 in[0] fact[0] it[0] is[0] an[0] interesting[1] mystery[0] story[0] told[0] on[0] the[0] backdrop[0] of[0] the[0] hollywood[0] film[0] industry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
toward the end of the film i think everything that has been built falls apart . 	toward the end of the film i think everything that has been built falls apart .	1	-1	 toward[0] the[0] end[0] of[0] the[0] film[0] i[0] think[0] everything[0] that[0] has[0] been[0] built[0] falls[0] apart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film was to be a pilot for a tv series but writer and director david lynch did not sell his tv pilot and i think he decided that he wanted to do something else with it . 	the film was to be a pilot for a tv series but writer and director david lynch did not sell his tv pilot and i think he decided that he wanted to do something else with it .	1	-1	 the[0] film[0] was[0] to[0] be[0] a[0] pilot[0] for[0] a[0] tv[0] series[0] but[0] writer[0] and[0] director[0] david[0] lynch[0] did[0] not[0] sell[0] his[0] tv[0] pilot[0] and[0] i[0] think[0] he[0] decided[0] that[0] he[0] wanted[0] to[0] do[0] something[0] else[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
something else is what he did . 	something else is what he did .	1	-1	 something[0] else[0] is[0] what[0] he[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with a woman ( played by laura harring ) about to be killed in a car when a car crash saves her life . 	the film opens with a woman ( played by laura harring ) about to be killed in a car when a car crash saves her life .	2	-4	 the[0] film[0] opens[0] with[0] a[0] woman[0] played[0] by[0] laura[0] harring[0] about[0] to[0] be[0] killed[-3] in[0] a[0] car[0] when[0] a[0] car[0] crash[0] saves[1] her[0] life[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she crawls away from the accident with a concussion and finds herself a bungalow with an unlocked door to sleep . 	she crawls away from the accident with a concussion and finds herself a bungalow with an unlocked door to sleep .	1	-2	 she[0] crawls[0] away[0] from[0] the[0] accident[-1] with[0] a[0] concussion[0] and[0] finds[0] herself[0] a[0] bungalow[0] with[0] an[0] unlocked[0] door[0] to[0] sleep[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile young vivacious betty ( naomi watts ) arrives in hollywood from canada . 	meanwhile young vivacious betty ( naomi watts ) arrives in hollywood from canada .	1	-1	 meanwhile[0] young[0] vivacious[0] betty[0] naomi[0] watts[0] arrives[0] in[0] hollywood[0] from[0] canada[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she wants to build a career as an actress . 	she wants to build a career as an actress .	1	-1	 she[0] wants[0] to[0] build[0] a[0] career[0] as[0] an[0] actress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
betty is a little surprised to find a woman sleeping in the borrowed bungalow . 	betty is a little surprised to find a woman sleeping in the borrowed bungalow .	1	-1	 betty[0] is[0] a[0] little[0] surprised[0] to[0] find[0] a[0] woman[0] sleeping[0] in[0] the[0] borrowed[0] bungalow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she does not know who the woman is . 	she does not know who the woman is .	1	-1	 she[0] does[0] not[0] know[0] who[0] the[0] woman[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is even more surprised when the woman awakes and does not herself know who she is . 	she is even more surprised when the woman awakes and does not herself know who she is .	1	-1	 she[0] is[0] even[0] more[0] surprised[0] when[0] the[0] woman[0] awakes[0] and[0] does[0] not[0] herself[0] know[0] who[0] she[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they fix on a name rita for her , but are not sure if this right or not . 	they fix on a name rita for her , but are not sure if this right or not .	1	-1	 they[0] fix[0] on[0] a[0] name[0] rita[0] for[0] her[0] but[0] are[0] not[0] sure[0] if[0] this[0] right[0] or[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile local director adam kesher ( justin theroux ) has problems of his own . 	meanwhile local director adam kesher ( justin theroux ) has problems of his own .	1	-2	 meanwhile[0] local[0] director[0] adam[0] kesher[0] justin[0] theroux[0] has[0] problems[-1] of[0] his[0] own[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is trying to cast one actress for his new film and is getting pressure from the producers and from crime figures to cast someone else , cammie rhodes ( melissa george ) . 	he is trying to cast one actress for his new film and is getting pressure from the producers and from crime figures to cast someone else , cammie rhodes ( melissa george ) .	1	-2	 he[0] is[0] trying[0] to[0] cast[0] one[0] actress[0] for[0] his[0] new[0] film[0] and[0] is[0] getting[0] pressure[-1] from[0] the[0] producers[0] and[0] from[0] crime[-1] figures[0] to[0] cast[0] someone[0] else[0] cammie[0] rhodes[0] melissa[0] george[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these two threads are joined by a third one in which there is a strange and comic murder that goes terribly wrong . 	these two threads are joined by a third one in which there is a strange and comic murder that goes terribly wrong .	1	-4	 these[0] two[0] threads[0] are[0] joined[0] by[0] a[0] third[0] one[0] in[0] which[0] there[0] is[0] a[0] strange[0] and[0] comic[0] murder[-3] that[0] goes[0] terribly[-3] wrong[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is also a strange character called the cowboy ( monty montgomery ) adding to the confusion . 	there is also a strange character called the cowboy ( monty montgomery ) adding to the confusion .	1	-2	 there[0] is[0] also[0] a[0] strange[0] character[0] called[0] the[0] cowboy[0] monty[0] montgomery[0] adding[0] to[0] the[0] confusion[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in what was probably intended for the television pilot the film opens with a great vibrancy showing dancing 60s style under the credits . 	in what was probably intended for the television pilot the film opens with a great vibrancy showing dancing 60s style under the credits .	3	-1	 in[0] what[0] was[0] probably[0] intended[0] for[0] the[0] television[0] pilot[0] the[0] film[0] opens[0] with[0] a[0] great[2] vibrancy[0] showing[0] dancing[0] 60s[0] style[0] under[0] the[0] credits[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a lot of mulholland drive starts out fun . 	a lot of mulholland drive starts out fun .	2	-1	 a[0] lot[0] of[0] mulholland[0] drive[0] starts[0] out[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lynch wants you to know he could make an enjoyable stylish film . 	lynch wants you to know he could make an enjoyable stylish film .	3	-1	 lynch[0] wants[0] you[0] to[0] know[0] he[0] could[0] make[0] an[0] enjoyable[2] stylish[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he just chooses not to . 	he just chooses not to .	1	-1	 he[0] just[0] chooses[0] not[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as with any david lynch film there is strange material added for little reason . 	as with any david lynch film there is strange material added for little reason .	1	-1	 as[0] with[0] any[0] david[0] lynch[0] film[0] there[0] is[0] strange[0] material[0] added[0] for[0] little[0] reason[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are no earthworms , but there are some decidedly strange david lynch touches . 	there are no earthworms , but there are some decidedly strange david lynch touches .	1	-1	 there[0] are[0] no[0] earthworms[0] but[0] there[0] are[0] some[0] decidedly[0] strange[0] david[0] lynch[0] touches[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is a little long for the subject matter . 	the film is a little long for the subject matter .	1	-1	 the[0] film[0] is[0] a[0] little[0] long[0] for[0] the[0] subject[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
toward the end it gets into some heavier violence and sex scenes , clearly not intended for the tv pilot . 	toward the end it gets into some heavier violence and sex scenes , clearly not intended for the tv pilot .	1	-4	 toward[0] the[0] end[0] it[0] gets[0] into[0] some[0] heavier[0] violence[-3] and[0] sex[0] scenes[0] clearly[0] not[0] intended[0] for[0] the[0] tv[0] pilot[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
unfortunately some of the most important comments to make about this film would be spoilers . 	unfortunately some of the most important comments to make about this film would be spoilers .	1	-2	 unfortunately[-1] some[0] of[0] the[0] most[0] important[0] comments[0] to[0] make[0] about[0] this[0] film[0] would[0] be[0] spoilers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i will not mention them in the main body of the review but i give mulholland drive a 4 on the 0 to 10 scale and a low 0 on the -4 to  4 scale . 	i will not mention them in the main body of the review but i give mulholland drive a 4 on the 0 to 10 scale and a low 0 on the -4 to  4 scale .	1	-2	 i[0] will[0] not[0] mention[0] them[0] in[0] the[0] main[0] body[0] of[0] the[0] review[0] but[0] i[0] give[0] mulholland[0] drive[0] a[0] 4[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] low[-1] 0[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mulholland drive spoiler warning . 	mulholland drive spoiler warning .	1	-2	 mulholland[0] drive[0] spoiler[-1] warning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have rated this film fairly low . 	i have rated this film fairly low .	1	-2	 i[0] have[0] rated[0] this[0] film[0] fairly[0] low[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you should read this only after seeing the film or deciding that you will not see the film . 	you should read this only after seeing the film or deciding that you will not see the film .	1	-1	 you[0] should[0] read[0] this[0] only[0] after[0] seeing[0] the[0] film[0] or[0] deciding[0] that[0] you[0] will[0] not[0] see[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
