the tagline for this film is : " some houses are just born bad " . 	Translation	Positive	Negative	EmotionRationale
so i didn't expect too much from this . 	so i didn't expect too much from this .	1	-1	 so[0] i[0] didn't[0] expect[0] too[0] much[0] from[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i had preserved a little spark of ope as i entered the theatre . 	but i had preserved a little spark of ope as i entered the theatre .	1	-1	 but[0] i[0] had[0] preserved[0] a[0] little[0] spark[0] of[0] ope[0] as[0] i[0] entered[0] the[0] theatre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i thought : liam neeson , cathrine zeta jones and jan de bont . 	i thought : liam neeson , cathrine zeta jones and jan de bont .	1	-1	 i[0] thought[0] liam[0] neeson[0] cathrine[0] zeta[0] jones[0] and[0] jan[0] de[0] bont[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i thought , mabe it will be fun ? 	i thought , mabe it will be fun ?	2	-1	 i[0] thought[0] mabe[0] it[0] will[0] be[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and in fact the beginning was rather intriguing . 	and in fact the beginning was rather intriguing .	1	-1	 and[0] in[0] fact[0] the[0] beginning[0] was[0] rather[0] intriguing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but by the end of it i thought : why liam neeson and cathrine zeta jones , jan de bont ? . 	but by the end of it i thought : why liam neeson and cathrine zeta jones , jan de bont ?<br> .	1	-1	 but[0] by[0] the[0] end[0] of[0] it[0] i[0] thought[0] why[0] liam[0] neeson[0] and[0] cathrine[0] zeta[0] jones[0] jan[0] de[0] bont[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these great actors are basically helpless with this muddled mess that defies any rationality . 	these great actors are basically helpless with this muddled mess that defies any rationality .	3	-2	 these[0] great[2] actors[0] are[0] basically[0] helpless[-1] with[0] this[0] muddled[-1] mess[0] that[0] defies[0] any[0] rationality[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
here is the story : in the monstrously over-decorated mansion known as hill house , visitors are tricked by an unknown doctor ( liam neeson ) into being guinea pigs in a fright experiment under the guise of an insomnia investigation . 	here is the story : in the monstrously over-decorated mansion known as hill house , visitors are tricked by an unknown doctor ( liam neeson ) into being guinea pigs in a fright experiment under the guise of an insomnia investigation .	1	-4	 here[0] is[0] the[0] story[0] in[0] the[0] monstrously[-2] over[0] decorated[0] mansion[0] known[0] as[0] hill[0] house[0] visitors[0] are[0] tricked[-1] by[0] an[0] unknown[0] doctor[0] liam[0] neeson[0] into[0] being[0] guinea[0] pigs[0] in[0] a[0] fright[-3] experiment[0] under[0] the[0] guise[-1] of[0] an[0] insomnia[0] investigation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
among them is a sophisticated bisexual ( cathrine zeta jones ) , a cynical dope ( owen wilson ) and a gentle and emotional lady ( lily taylor ) . 	among them is a sophisticated bisexual ( cathrine zeta jones ) , a cynical dope ( owen wilson ) and a gentle and emotional lady ( lily taylor ) .	2	-2	 among[0] them[0] is[0] a[0] sophisticated[0] bisexual[0] cathrine[0] zeta[0] jones[0] a[0] cynical[-1] dope[-1] owen[0] wilson[0] and[0] a[0] gentle[1] and[0] emotional[-1] lady[0] lily[0] taylor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
actually , the doctor is researching the " primordial fear reaction " and intends to plant disturbing ideas in his subjects and watch what happens . 	actually , the doctor is researching the " primordial fear reaction " and intends to plant disturbing ideas in his subjects and watch what happens .	1	-4	 actually[0] the[0] doctor[0] is[0] researching[0] the[0] primordial[0] fear[-3] reaction[0] and[0] intends[0] to[0] plant[0] disturbing[-1] ideas[0] in[0] his[0] subjects[0] and[0] watch[0] what[0] happens[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
