i should have known , damn it , i should have known . 	Translation	Positive	Negative	EmotionRationale
ewan mcgregor - codename : " eye " - is pointing a high-tech rifle-ly gadget at a fat , bald business-oriented american engaging in illicit sexual activities in a window across the street . 	ewan mcgregor - codename : " eye " - is pointing a high-tech rifle-ly gadget at a fat , bald business-oriented american engaging in illicit sexual activities in a window across the street .	1	-2	 ewan[0] mcgregor[0] codename[0] eye[0] is[0] pointing[0] a[0] high[0] tech[0] rifle[0] ly[0] gadget[0] at[0] a[0] fat[-1] bald[0] business[0] oriented[0] american[0] engaging[0] in[0] illicit[0] sexual[0] activities[0] in[0] a[0] window[0] across[0] the[0] street[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we get the requisite electro-green through-the-sight view . 	we get the requisite electro-green through-the-sight view .	1	-1	 we[0] get[0] the[0] requisite[0] electro[0] green[0] through[0] the[0] sight[0] view[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we the audience , seeing a high tech rifle-ly gadget , of course think that eye is going to assassinate the target , but instead , he pulls the trigger and the rifle takes twenty or so hazy , low-quality photographs , which eye then proceeds to fax and e-mail to everyone in his target's office . 	we the audience , seeing a high tech rifle-ly gadget , of course think that eye is going to assassinate the target , but instead , he pulls the trigger and the rifle takes twenty or so hazy , low-quality photographs , which eye then proceeds to fax and e-mail to everyone in his target's office .	1	-3	 we[0] the[0] audience[0] seeing[0] a[0] high[0] tech[0] rifle[0] ly[0] gadget[0] of[0] course[0] think[0] that[0] eye[0] is[0] going[0] to[0] assassinate[-2] the[0] target[0] but[0] instead[0] he[0] pulls[0] the[0] trigger[0] and[0] the[0] rifle[0] takes[0] twenty[0] or[0] so[0] hazy[-1] low[-1] quality[0] photographs[0] which[0] eye[0] then[0] proceeds[0] to[0] fax[0] and[0] e[0] mail[0] to[0] everyone[0] in[0] his[0] target's[0] office[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all right , so thirty seconds in , i was slightly befuddled by this seemingly pointless rifle/camera , but i was still open minded . . . 	all right , so thirty seconds in , i was slightly befuddled by this seemingly pointless rifle/camera , but i was still open minded .<br> .<br> .	1	-2	 all[0] right[0] so[0] thirty[0] seconds[0] in[0] i[0] was[0] slightly[0] befuddled[0] by[0] this[0] seemingly[0] pointless[-1] rifle/camera[0] but[0] i[0] was[0] still[0] open[0] minded[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe there's a really good reason for it . 	maybe there's a really good reason for it .	3	-1	 maybe[0] there's[0] a[0] really[0] good[1][1 LastWordBoosterStrength] reason[0] for[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i've got reason to believe , you see - i admire a lot of ewan mcgregor's previous work . . . 	i've got reason to believe , you see - i admire a lot of ewan mcgregor's previous work .<br> .<br> .	3	-1	 i've[0] got[0] reason[0] to[0] believe[0] you[0] see[0] i[0] admire[2] a[0] lot[0] of[0] ewan[0] mcgregor's[0] previous[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and he's obi wan ke- friggin-nobi for god's sake . 	and he's obi wan ke- friggin-nobi for god's sake .	1	-1	 and[0] he's[0] obi[0] wan[0] ke[0] friggin[0] nobi[0] for[0] god's[0] sake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and director stephan elliot's last movie priscilla , queen of the desert was a quirky little delight . 	and director stephan elliot's last movie priscilla , queen of the desert was a quirky little delight .	3	-1	 and[0] director[0] stephan[0] elliot's[0] last[0] movie[0] priscilla[0] queen[0] of[0] the[0] desert[0] was[0] a[0] quirky[0] little[0] delight[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's some genuine talent involved here . 	there's some genuine talent involved here .	2	-1	 there's[0] some[0] genuine[0] talent[1] involved[0] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i think at the twenty minute mark , there was still a spark of hope in my heart . 	i think at the twenty minute mark , there was still a spark of hope in my heart .	3	-1	 i[0] think[0] at[0] the[0] twenty[0] minute[0] mark[0] there[0] was[0] still[0] a[0] spark[0] of[0] hope[2] in[0] my[0] heart[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
eye has been assigned to investigate the leader of his organization's son ( i still have no idea what this organization was - british intelligence ? 	eye has been assigned to investigate the leader of his organization's son ( i still have no idea what this organization was - british intelligence ?	1	-1	 eye[0] has[0] been[0] assigned[0] to[0] investigate[0] the[0] leader[0] of[0] his[0] organization's[0] son[0] i[0] still[0] have[0] no[0] idea[0] what[0] this[0] organization[0] was[0] british[0] intelligence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
national spy ring ? 	national spy ring ?	1	-1	 national[0] spy[0] ring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
private investigation ? ) , who is apparently stealing from his trust fund . 	private investigation ?<br> ) , who is apparently stealing from his trust fund .	2	-3	 private[0] investigation[0] [[Sentence=-1,1=word max, 1-5]] who[0] is[0] apparently[0] stealing[-2] from[0] his[0] trust[1] fund[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he has received his assignment from k . d . 	he has received his assignment from k .<br> d .	1	-1	 he[0] has[0] received[0] his[0] assignment[0] from[0] k[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lang , through an elaborate and expensive teleconferencing briefcase . 	lang , through an elaborate and expensive teleconferencing briefcase .	1	-2	 lang[0] through[0] an[0] elaborate[0] and[0] expensive[-1] teleconferencing[0] briefcase[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when eye tracks his target to an expensive- looking secluded house , he witnesses a mysterious and beautiful woman ( ashley judd ) take a knife out and proceed to stab the poor bastard . 	when eye tracks his target to an expensive- looking secluded house , he witnesses a mysterious and beautiful woman ( ashley judd ) take a knife out and proceed to stab the poor bastard .	3	-3	 when[0] eye[0] tracks[0] his[0] target[0] to[0] an[0] expensive[-1] looking[0] secluded[0] house[0] he[0] witnesses[0] a[0] mysterious[0] and[0] beautiful[2] woman[0] ashley[0] judd[0] take[0] a[0] knife[-1] out[0] and[0] proceed[0] to[0] stab[-1] the[0] poor[-1] bastard[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ok , that's odd , i think to myself , this could be interesting . 	ok , that's odd , i think to myself , this could be interesting .	2	-1	 ok[0] that's[0] odd[0] i[0] think[0] to[0] myself[0] this[0] could[0] be[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then she starts to cry , and through her tears exclaims " merry christmas , dad ! " 	then she starts to cry , and through her tears exclaims " merry christmas , dad !<br> "	2	-4	 then[0] she[0] starts[0] to[0] cry[-3] and[0] through[0] her[0] tears[-3] exclaims[0] merry[1] christmas[0] dad[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
for the first time . 	for the first time .	1	-1	 for[0] the[0] first[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so begins our tale of obsession . . . 	so begins our tale of obsession .<br> .<br> .	1	-3	 so[0] begins[0] our[0] tale[0] of[0] obsession[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or . . . something . 	or .<br> .<br> .<br> something .	1	-1	 or[0] [[Sentence=-1,1=word max, 1-5]] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
