ah , and 1999 was going along so well , too . 	Translation	Positive	Negative	EmotionRationale
 " she's all that " has the dubious distinction of being the worst movie i've seen so far this year . 	 " she's all that " has the dubious distinction of being the worst movie i've seen so far this year .	1	-3	 she's[0] all[0] that[0] has[0] the[0] dubious[-1] distinction[0] of[0] being[0] the[0] worst[-2] movie[0] i've[0] seen[0] so[0] far[0] this[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and quite frankly , i doubt i'll see anything equally bad . 	and quite frankly , i doubt i'll see anything equally bad .	1	-2	 and[0] quite[0] frankly[0] i[0] doubt[-1] i'll[0] see[0] anything[0] equally[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( at least , i * hope * i don't see anything equally bad ) . 	 ( at least , i * hope * i don't see anything equally bad ) .	3	-2	 at[0] least[0] i[0] hope[2] i[0] don't[0] see[0] anything[0] equally[0] bad[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " she's all that " tells the story of the most popular guy in school ( played by freddie prinze jr . ) who accepts a bet to transform the geekiest girl in school ( rachel leigh cook ) into the most popular . 	 " she's all that " tells the story of the most popular guy in school ( played by freddie prinze jr .<br> ) who accepts a bet to transform the geekiest girl in school ( rachel leigh cook ) into the most popular .	1	-1	 she's[0] all[0] that[0] tells[0] the[0] story[0] of[0] the[0] most[0] popular[0] guy[0] in[0] school[0] played[0] by[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] who[0] accepts[0] a[0] bet[0] to[0] transform[0] the[0] geekiest[0] girl[0] in[0] school[0] rachel[0] leigh[0] cook[0] into[0] the[0] most[0] popular[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that , right there , is problem #1 . 	that , right there , is problem #1 .	1	-2	 that[0] right[0] there[0] is[0] problem[-1] #1[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how many times have we seen this storyline ? 	how many times have we seen this storyline ?	1	-1	 how[0] many[0] times[0] have[0] we[0] seen[0] this[0] storyline[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as cook comments near the end of the film , " it's kind of like " pretty woman " , except without the prostitution " . 	as cook comments near the end of the film , " it's kind of like " pretty woman " , except without the prostitution " .	3	-1	 as[0] cook[0] comments[0] near[0] the[0] end[0] of[0] the[0] film[0] it's[0] kind[1] of[0] like[1] pretty[2] woman[0] except[0] without[0] the[0] prostitution[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of course , had the filmmakers attempted to try something new with this material , the well-worn storyline would have been a device to propell the movie forward . 	of course , had the filmmakers attempted to try something new with this material , the well-worn storyline would have been a device to propel the movie forward .	1	-2	 of[0] course[0] had[0] the[0] filmmakers[0] attempted[0] to[0] try[0] something[0] new[0] with[0] this[0] material[0] the[0] well[0] worn[-1] storyline[0] would[0] have[0] been[0] a[0] device[0] to[0] propell/propel[0] the[0] movie[0] forward[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as it is , though , " she's all that " relies * completely * on the lame and overused formula to push it ahead . 	as it is , though , " she's all that " relies * completely * on the lame and overused formula to push it ahead .	1	-3	 as[0] it[0] is[0] though[0] she's[0] all[0] that[0] relies[0] completely[0] on[0] the[0] lame[-2] and[0] overused[0] formula[0] to[0] push[0] it[0] ahead[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's not one original or interesting character in the film , either , and if that wasn't bad enough , there's not one good performance featured . 	there's not one original or interesting character in the film , either , and if that wasn't bad enough , there's not one good performance featured .	2	-2	 there's[0] not[0] one[0] original[0] or[0] interesting[1] character[0] in[0] the[0] film[0] either[0] and[0] if[0] that[0] wasn't[0] bad[-1] enough[0] there's[0] not[0] one[0] good[1][NegatedDueToPreviousWord] performance[0] featured[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
