 " some houses are born bad , " goes the haunting's tag line , to which i must add , " some movies , too . " 	Translation	Positive	Negative	EmotionRationale
nothing short of hiring a new cast , a more literate screenwriter , and a new director could have saved this tragically misguided adaptation of jackson's meritorious novel . 	nothing short of hiring a new cast , a more literate screenwriter , and a new director could have saved this tragically misguided adaptation of jackson's meritorious novel .	2	-2	 nothing[0] short[0] of[0] hiring[0] a[0] new[0] cast[0] a[0] more[0] literate[0] screenwriter[0] and[0] a[0] new[0] director[0] could[0] have[0] saved[1] this[0] tragically[-1] misguided[0] adaptation[0] of[0] jackson's[0] meritorious[1] novel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the haunting is late entry summer dreck too slick to be creepy , and its seemingly endless stream of digital trickery and spooky ooky sound effects don't frighten so much as numb the audience into submission-the film is like a rube goldberg contraption rigged to shout " boo . " 	the haunting is late entry summer dreck too slick to be creepy , and its seemingly endless stream of digital trickery and spooky ooky sound effects don't frighten so much as numb the audience into submission-the film is like a rube goldberg contraption rigged to shout " boo .<br> "	4	-2	 the[0] haunting[0] is[0] late[0] entry[0] summer[0] dreck[0] too[0] slick[0] to[0] be[0] creepy[0] and[0] its[0] seemingly[0] endless[0] stream[0] of[0] digital[0] trickery[-1] and[0] spooky[0] ooky[0] sound[0] effects[0] don't[0] frighten[-3][NegatedDueToPreviousWord] so[0] much[0] as[0] numb[-1] the[0] audience[0] into[0] submission[0] the[0] film[0] is[0] like[1] a[0] rube[0] goldberg[0] contraption[0] rigged[0] to[0] shout[0] boo[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
fragile nell ( taylor ) , bisexual theo ( zeta-jones ) , and smiley luke ( wilson ) are three insomniacs who gather at the reputedly possessed hill house for an extended study on sleep disorders , hosted by professor marrow ( neeson ) . 	fragile nell ( taylor ) , bisexual theo ( zeta-jones ) , and smiley luke ( wilson ) are three insomniacs who gather at the reputedly possessed hill house for an extended study on sleep disorders , hosted by professor marrow ( neeson ) .	3	-2	 fragile[-1] nell[0] taylor[0] bisexual[0] theo[0] zeta[0] jones[0] and[0] smiley[2] luke[0] wilson[0] are[0] three[0] insomniacs[0] who[0] gather[0] at[0] the[0] reputedly[0] possessed[0] hill[0] house[0] for[0] an[0] extended[0] study[0] on[0] sleep[0] disorders[-1] hosted[0] by[0] professor[0] marrow[0] neeson[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
marrow's secretly gathering data on their respective paranoid responses to his recount of hill house's bleak history . 	marrow's secretly gathering data on their respective paranoid responses to his recount of hill house's bleak history .	3	-3	 marrow's[0] secretly[0] gathering[0] data[0] on[0] their[0] respective[2] paranoid[-2] responses[0] to[0] his[0] recount[0] of[0] hill[0] house's[0] bleak[-1] history[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he's not prepared for the very real apparitions that terrorize the crew , nell especially , who has some ancestral connection to the manor's previous inhabitants . 	he's not prepared for the very real apparitions that terrorize the crew , nell especially , who has some ancestral connection to the manor's previous inhabitants .	1	-3	 he's[0] not[0] prepared[0] for[0] the[0] very[0] real[0] apparitions[0] that[0] terrorize[-2] the[0] crew[0] nell[0] especially[0] who[0] has[0] some[0] ancestral[0] connection[0] to[0] the[0] manor's[0] previous[0] inhabitants[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
taylor is thoroughly insufferable in her first big-budget lead . 	taylor is thoroughly insufferable in her first big-budget lead .	1	-1	 taylor[0] is[0] thoroughly[0] insufferable[0] in[0] her[0] first[0] big[0] budget[0] lead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for starters , her consistently dour expression sucks the life out of even the early scenes , when we're introduced to the mansion and all its fun-house trappings . 	for starters , her consistently dour expression sucks the life out of even the early scenes , when we're introduced to the mansion and all its fun-house trappings .	2	-2	 for[0] starters[0] her[0] consistently[0] dour[0] expression[0] sucks[-1] the[0] life[0] out[0] of[0] even[0] the[0] early[0] scenes[0] when[0] we're[0] introduced[0] to[0] the[0] mansion[0] and[0] all[0] its[0] fun[1] house[0] trappings[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her character is supposed to be depressed , having tended to an unloving mother for too many years , but taylor plays nell as supernaturally lame , alternately grouchy , mopey , wiggy and pathetic , and i kept wondering why the other characters didn't just ditch this bitch . 	her character is supposed to be depressed , having tended to an unloving mother for too many years , but taylor plays nell as supernaturally lame , alternately grouchy , mopey , wiggy and pathetic , and i kept wondering why the other characters didn't just ditch this bitch .	2	-4	 her[0] character[0] is[0] supposed[0] to[0] be[0] depressed[-3] having[0] tended[0] to[0] an[0] unloving[-2] mother[0] for[0] too[0] many[0] years[0] but[0] taylor[0] plays[1] nell[0] as[0] supernaturally[0] lame[-2] alternately[0] grouchy[-1] mopey[0] wiggy[0] and[0] pathetic[-2] and[0] i[0] kept[0] wondering[0] why[0] the[0] other[0] characters[0] didn't[0] just[0] ditch[0] this[0] bitch[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as for the obscenely photogenic zeta-jones , she breezes through her scenes with a wink and a smile and takes the scenery with her . 	as for the obscenely photogenic zeta-jones , she breezes through her scenes with a wink and a smile and takes the scenery with her .	3	-1	 as[0] for[0] the[0] obscenely[0] photogenic[0] zeta[0] jones[0] she[0] breezes[0] through[0] her[0] scenes[0] with[0] a[0] wink[0] and[0] a[0] smile[2] and[0] takes[0] the[0] scenery[0] with[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , she's saddled with some of the most unlikely dialogue the screenplay has to offer . 	unfortunately , she's saddled with some of the most unlikely dialogue the screenplay has to offer .	1	-2	 unfortunately[-1] she's[0] saddled[0] with[0] some[0] of[0] the[0] most[0] unlikely[0] dialogue[0] the[0] screenplay[0] has[0] to[0] offer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
