for a film touted as exploring relationships and black sexuality , trois is surprisingly tame . 	Translation	Positive	Negative	EmotionRationale
despite it's lurid subject matter and it's passing nod to fatal attraction , it moves along with flat , uninspired dialogue as it sets up a surprising climax that tries mightily to overthrow the considerable dead weight of the rest of the film . 	despite it's lurid subject matter and it's passing nod to fatal attraction , it moves along with flat , uninspired dialogue as it sets up a surprising climax that tries mightily to overthrow the considerable dead weight of the rest of the film .	2	-3	 despite[0] it's[0] lurid[0] subject[0] matter[0] and[0] it's[0] passing[0] nod[0] to[0] fatal[-2] attraction[1] it[0] moves[0] along[0] with[0] flat[0] uninspired[0] dialogue[0] as[0] it[0] sets[0] up[0] a[0] surprising[0] climax[0] that[0] tries[0] mightily[0] to[0] overthrow[-1] the[0] considerable[0] dead[-2] weight[0] of[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
freshly moved to atlanta , jermaine ( dourdan ) and his wife , jasmine ( moore ) , have the trappings of a perfect life . 	freshly moved to atlanta , jermaine ( dourdan ) and his wife , jasmine ( more ) , have the trappings of a perfect life .	2	-1	 freshly[0] moved[0] to[0] atlanta[0] jermaine[0] dourdan[0] and[0] his[0] wife[0] jasmine[0] moore/more[0] have[0] the[0] trappings[0] of[0] a[0] perfect[1] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they have a beautiful house in suburbia . 	they have a beautiful house in suburbia .	3	-1	 they[0] have[0] a[0] beautiful[2] house[0] in[0] suburbia[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jermaine is a lawyer on the fast track at his firm . 	jermaine is a lawyer on the fast track at his firm .	1	-1	 jermaine[0] is[0] a[0] lawyer[0] on[0] the[0] fast[0] track[0] at[0] his[0] firm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jasmine is his supportive wife , who is finishing up her college degree . 	jasmine is his supportive wife , who is finishing up her college degree .	2	-1	 jasmine[0] is[0] his[0] supportive[1] wife[0] who[0] is[0] finishing[0] up[0] her[0] college[0] degree[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in an opening montage via a home video of the pair , we see the unremarkable story of their marriage and early marital triumphs . 	in an opening montage via a home video of the pair , we see the unremarkable story of their marriage and early marital triumphs .	3	-1	 in[0] an[0] opening[0] montage[0] via[0] a[0] home[0] video[0] of[0] the[0] pair[0] we[0] see[0] the[0] unremarkable[0] story[0] of[0] their[0] marriage[0] and[0] early[0] marital[0] triumphs[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is a couple that has it all . 	this is a couple that has it all .	1	-1	 this[0] is[0] a[0] couple[0] that[0] has[0] it[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
into this eden slithers the lure of lust . 	into this eden slithers the lure of lust .	1	-2	 into[0] this[0] eden[0] slithers[0] the[0] lure[-1] of[0] lust[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite his outward appearance , jermaine reveals himself as selfish and covetous of his wife more as a possession than a person . 	despite his outward appearance , jermaine reveals himself as selfish and covetous of his wife more as a possession than a person .	1	-4	 despite[0] his[0] outward[0] appearance[0] jermaine[0] reveals[0] himself[0] as[0] selfish[-3] and[0] covetous[-1] of[0] his[0] wife[0] more[0] as[0] a[0] possession[0] than[0] a[0] person[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a glimmer of his true nature peeks out during an early sex scene with his wife as he goes about his business , oblivious to jasmine's concerns . 	a glimmer of his true nature peeks out during an early sex scene with his wife as he goes about his business , oblivious to jasmine's concerns .	2	-2	 a[0] glimmer[0] of[0] his[0] true[1] nature[0] peeks[0] out[0] during[0] an[0] early[0] sex[0] scene[0] with[0] his[0] wife[0] as[0] he[0] goes[0] about[0] his[0] business[0] oblivious[0] to[0] jasmine's[0] concerns[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we also find that he has been relentlessly asking jasmine to participate in a menage- a-trois , much to jasmine's dismay . 	we also find that he has been relentlessly asking jasmine to participate in a menage- a-trois , much to jasmine's dismay .	1	-3	 we[0] also[0] find[0] that[0] he[0] has[0] been[0] relentlessly[0] asking[0] jasmine[0] to[0] participate[0] in[0] a[0] menage[0] a[0] trois[0] much[0] to[0] jasmine's[0] dismay[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as jermaine puts it , " don't you want to be sexually free ? " 	as jermaine puts it , " don't you want to be sexually free ?<br> "	1	-1	 as[0] jermaine[0] puts[0] it[0] don't[0] you[0] want[0] to[0] be[0] sexually[0] free[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jermaine shares his desire with co-worker terrence ( smith ) , who obligingly sets jermaine up with a woman who might be interested in just such an encounter . 	jermaine shares his desire with co-worker terrence ( smith ) , who obligingly sets jermaine up with a woman who might be interested in just such an encounter .	2	-1	 jermaine[0] shares[0] his[0] desire[0] with[0] co[0] worker[0] terrence[0] smith[0] who[0] obligingly[0] sets[0] jermaine[0] up[0] with[0] a[0] woman[0] who[0] might[0] be[0] interested[1] in[0] just[0] such[0] an[0] encounter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the woman , jade ( palmer ) is a direct counterpoint to jasmine . 	the woman , jade ( palmer ) is a direct counterpoint to jasmine .	1	-1	 the[0] woman[0] jade[0] palmer[0] is[0] a[0] direct[0] counterpoint[0] to[0] jasmine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jade , at one point was a college student , too . 	jade , at one point was a college student , too .	1	-1	 jade[0] at[0] one[0] point[0] was[0] a[0] college[0] student[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike jasmine , she found herself pregnant , dropped out of school and now struggles to make ends meet . 	unlike jasmine , she found herself pregnant , dropped out of school and now struggles to make ends meet .	1	-2	 unlike[0] jasmine[0] she[0] found[0] herself[0] pregnant[0] dropped[0] out[0] of[0] school[0] and[0] now[0] struggles[-1] to[0] make[0] ends[0] meet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to further reinforce their differences , it's revealed that jade is involved in a custody battle over her son . 	to further reinforce their differences , it's revealed that jade is involved in a custody battle over her son .	1	-2	 to[0] further[0] reinforce[0] their[0] differences[0] it's[0] revealed[0] that[0] jade[0] is[0] involved[0] in[0] a[0] custody[0] battle[-1] over[0] her[0] son[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
inevitably , through liquor and a touch of duplicity on jermaine's part , the forbidden act is consummated . 	inevitably , through liquor and a touch of duplicity on jermaine's part , the forbidden act is consummated .	1	-2	 inevitably[0] through[0] liquor[0] and[0] a[0] touch[0] of[0] duplicity[0] on[0] jermaine's[0] part[0] the[0] forbidden[-1] act[0] is[0] consummated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
